question_id,AMR_Depth
mmlu_anatomy_row_103,5
mmlu_anatomy_row_104,5
mmlu_anatomy_row_105,4
mmlu_anatomy_row_106,3
mmlu_anatomy_row_107,4
mmlu_anatomy_row_108,4
mmlu_anatomy_row_109,6
mmlu_anatomy_row_110,4
mmlu_anatomy_row_111,9
mmlu_anatomy_row_112,4
mmlu_anatomy_row_113,4
mmlu_anatomy_row_114,6
mmlu_anatomy_row_115,4
mmlu_anatomy_row_116,5
mmlu_anatomy_row_117,5
mmlu_anatomy_row_118,8
mmlu_anatomy_row_119,5
mmlu_anatomy_row_120,4
mmlu_anatomy_row_121,4
mmlu_anatomy_row_122,7
mmlu_anatomy_row_123,3
mmlu_anatomy_row_124,4
mmlu_anatomy_row_125,4
mmlu_anatomy_row_126,7
mmlu_anatomy_row_127,5
mmlu_anatomy_row_128,5
mmlu_anatomy_row_129,3
mmlu_anatomy_row_130,9
mmlu_anatomy_row_131,6
mmlu_anatomy_row_132,6
mmlu_anatomy_row_133,4
mmlu_anatomy_row_134,7
mmlu_astronomy_row_0,6
mmlu_astronomy_row_1,6
mmlu_astronomy_row_2,7
mmlu_astronomy_row_3,5
mmlu_astronomy_row_4,4
mmlu_astronomy_row_5,5
mmlu_astronomy_row_6,5
mmlu_astronomy_row_7,5
mmlu_astronomy_row_8,4
mmlu_astronomy_row_9,6
mmlu_astronomy_row_10,5
mmlu_astronomy_row_11,4
mmlu_astronomy_row_12,5
mmlu_astronomy_row_13,6
mmlu_astronomy_row_14,6
mmlu_astronomy_row_15,6
mmlu_astronomy_row_16,4
mmlu_astronomy_row_17,6
mmlu_astronomy_row_18,5
mmlu_astronomy_row_19,6
mmlu_astronomy_row_20,4
mmlu_astronomy_row_21,5
mmlu_astronomy_row_22,4
mmlu_astronomy_row_23,6
mmlu_astronomy_row_24,4
mmlu_astronomy_row_25,4
mmlu_astronomy_row_26,5
mmlu_astronomy_row_27,8
mmlu_astronomy_row_28,7
mmlu_astronomy_row_29,5
mmlu_astronomy_row_30,5
mmlu_astronomy_row_31,5
mmlu_astronomy_row_32,8
mmlu_astronomy_row_33,4
mmlu_astronomy_row_34,5
mmlu_astronomy_row_35,5
mmlu_astronomy_row_36,5
mmlu_astronomy_row_37,5
mmlu_astronomy_row_38,5
mmlu_astronomy_row_39,4
mmlu_astronomy_row_40,3
mmlu_astronomy_row_41,10
mmlu_astronomy_row_42,7
mmlu_astronomy_row_43,6
mmlu_astronomy_row_44,4
mmlu_astronomy_row_45,5
mmlu_astronomy_row_46,5
mmlu_astronomy_row_47,5
mmlu_astronomy_row_48,5
mmlu_astronomy_row_49,5
mmlu_astronomy_row_50,6
mmlu_astronomy_row_51,6
mmlu_astronomy_row_52,5
mmlu_astronomy_row_53,7
mmlu_astronomy_row_54,6
mmlu_astronomy_row_55,5
mmlu_astronomy_row_56,8
mmlu_astronomy_row_57,4
mmlu_astronomy_row_58,5
mmlu_astronomy_row_59,6
mmlu_astronomy_row_60,5
mmlu_astronomy_row_61,3
mmlu_astronomy_row_62,7
mmlu_astronomy_row_63,5
mmlu_astronomy_row_64,3
mmlu_astronomy_row_65,9
mmlu_astronomy_row_66,4
mmlu_astronomy_row_67,4
mmlu_astronomy_row_68,4
mmlu_astronomy_row_69,4
mmlu_astronomy_row_70,5
mmlu_astronomy_row_71,6
mmlu_astronomy_row_72,5
mmlu_astronomy_row_73,5
mmlu_astronomy_row_74,7
mmlu_astronomy_row_75,5
mmlu_astronomy_row_76,4
mmlu_astronomy_row_77,6
mmlu_astronomy_row_78,3
mmlu_astronomy_row_79,5
mmlu_astronomy_row_80,5
mmlu_astronomy_row_81,4
mmlu_astronomy_row_82,4
mmlu_astronomy_row_83,4
mmlu_astronomy_row_84,6
mmlu_astronomy_row_85,4
mmlu_astronomy_row_86,4
mmlu_astronomy_row_87,4
mmlu_astronomy_row_88,5
mmlu_astronomy_row_89,4
mmlu_astronomy_row_90,3
mmlu_astronomy_row_91,5
mmlu_astronomy_row_92,6
mmlu_astronomy_row_93,7
mmlu_astronomy_row_94,6
mmlu_astronomy_row_95,9
mmlu_astronomy_row_96,8
mmlu_astronomy_row_97,4
mmlu_astronomy_row_98,3
mmlu_astronomy_row_99,5
mmlu_astronomy_row_100,4
mmlu_astronomy_row_101,4
mmlu_astronomy_row_102,4
mmlu_astronomy_row_103,5
mmlu_astronomy_row_104,4
mmlu_astronomy_row_105,6
mmlu_astronomy_row_106,7
mmlu_astronomy_row_107,5
mmlu_astronomy_row_108,7
mmlu_astronomy_row_109,5
mmlu_astronomy_row_110,5
mmlu_astronomy_row_111,3
mmlu_astronomy_row_112,5
mmlu_astronomy_row_113,6
mmlu_astronomy_row_114,4
mmlu_astronomy_row_115,4
mmlu_astronomy_row_116,3
mmlu_astronomy_row_117,6
mmlu_astronomy_row_118,5
mmlu_astronomy_row_119,5
mmlu_astronomy_row_120,4
mmlu_astronomy_row_121,4
mmlu_astronomy_row_122,5
mmlu_astronomy_row_123,6
mmlu_astronomy_row_124,6
mmlu_astronomy_row_125,5
mmlu_astronomy_row_126,5
mmlu_astronomy_row_127,6
mmlu_astronomy_row_128,5
mmlu_astronomy_row_129,6
mmlu_astronomy_row_130,6
mmlu_astronomy_row_131,4
mmlu_astronomy_row_132,5
mmlu_astronomy_row_133,3
mmlu_astronomy_row_134,6
mmlu_astronomy_row_135,3
mmlu_astronomy_row_136,8
mmlu_astronomy_row_137,5
mmlu_astronomy_row_138,8
mmlu_astronomy_row_139,3
mmlu_astronomy_row_140,5
mmlu_astronomy_row_141,4
mmlu_astronomy_row_142,5
mmlu_astronomy_row_143,6
mmlu_astronomy_row_144,6
mmlu_astronomy_row_145,6
mmlu_astronomy_row_146,5
mmlu_astronomy_row_147,8
mmlu_astronomy_row_148,5
mmlu_astronomy_row_149,7
mmlu_astronomy_row_150,8
mmlu_astronomy_row_151,7
mmlu_business_ethics_row_0,7
mmlu_business_ethics_row_1,10
mmlu_business_ethics_row_2,3
mmlu_business_ethics_row_3,4
mmlu_business_ethics_row_4,6
mmlu_business_ethics_row_5,7
mmlu_business_ethics_row_6,10
mmlu_business_ethics_row_7,3
mmlu_business_ethics_row_8,7
mmlu_business_ethics_row_9,5
mmlu_business_ethics_row_10,5
mmlu_business_ethics_row_11,7
mmlu_business_ethics_row_12,3
mmlu_business_ethics_row_13,7
mmlu_business_ethics_row_14,9
mmlu_business_ethics_row_15,6
mmlu_business_ethics_row_16,7
mmlu_business_ethics_row_17,4
mmlu_business_ethics_row_18,6
mmlu_business_ethics_row_19,4
mmlu_business_ethics_row_20,7
mmlu_business_ethics_row_21,6
mmlu_business_ethics_row_22,3
mmlu_business_ethics_row_23,5
mmlu_business_ethics_row_24,6
mmlu_business_ethics_row_25,7
mmlu_business_ethics_row_26,8
mmlu_business_ethics_row_27,7
mmlu_business_ethics_row_28,8
mmlu_business_ethics_row_29,7
mmlu_business_ethics_row_30,5
mmlu_business_ethics_row_31,6
mmlu_business_ethics_row_32,4
mmlu_business_ethics_row_33,7
mmlu_business_ethics_row_34,6
mmlu_business_ethics_row_35,7
mmlu_business_ethics_row_36,7
mmlu_business_ethics_row_37,7
mmlu_business_ethics_row_38,7
mmlu_business_ethics_row_39,5
mmlu_business_ethics_row_40,5
mmlu_business_ethics_row_41,7
mmlu_business_ethics_row_42,6
mmlu_business_ethics_row_43,3
mmlu_business_ethics_row_44,6
mmlu_business_ethics_row_45,4
mmlu_business_ethics_row_46,6
mmlu_business_ethics_row_47,7
mmlu_business_ethics_row_48,4
mmlu_business_ethics_row_49,4
mmlu_business_ethics_row_50,3
mmlu_business_ethics_row_51,7
mmlu_business_ethics_row_52,5
mmlu_business_ethics_row_53,8
mmlu_business_ethics_row_54,6
mmlu_business_ethics_row_55,6
mmlu_business_ethics_row_56,8
mmlu_business_ethics_row_57,7
mmlu_business_ethics_row_58,6
mmlu_business_ethics_row_59,5
mmlu_business_ethics_row_60,7
mmlu_business_ethics_row_61,8
mmlu_business_ethics_row_62,7
mmlu_business_ethics_row_63,9
mmlu_business_ethics_row_64,6
mmlu_business_ethics_row_65,6
mmlu_business_ethics_row_66,7
mmlu_business_ethics_row_67,8
mmlu_business_ethics_row_68,4
mmlu_business_ethics_row_69,8
mmlu_business_ethics_row_70,7
mmlu_business_ethics_row_71,9
mmlu_business_ethics_row_72,7
mmlu_business_ethics_row_73,5
mmlu_business_ethics_row_74,8
mmlu_business_ethics_row_75,6
mmlu_business_ethics_row_76,7
mmlu_business_ethics_row_77,4
mmlu_business_ethics_row_78,4
mmlu_business_ethics_row_79,4
mmlu_business_ethics_row_80,9
mmlu_business_ethics_row_81,4
mmlu_business_ethics_row_82,7
mmlu_business_ethics_row_83,7
mmlu_business_ethics_row_84,9
mmlu_business_ethics_row_85,8
mmlu_business_ethics_row_86,6
mmlu_business_ethics_row_87,7
mmlu_business_ethics_row_88,10
mmlu_business_ethics_row_89,5
mmlu_business_ethics_row_90,7
mmlu_business_ethics_row_91,3
mmlu_business_ethics_row_92,5
mmlu_business_ethics_row_93,8
mmlu_business_ethics_row_94,10
mmlu_business_ethics_row_95,8
mmlu_business_ethics_row_96,4
mmlu_business_ethics_row_97,6
mmlu_business_ethics_row_98,5
mmlu_business_ethics_row_99,6
mmlu_clinical_knowledge_row_0,7
mmlu_clinical_knowledge_row_1,6
mmlu_clinical_knowledge_row_2,3
mmlu_clinical_knowledge_row_3,7
mmlu_clinical_knowledge_row_4,3
mmlu_clinical_knowledge_row_5,6
mmlu_clinical_knowledge_row_6,4
mmlu_clinical_knowledge_row_7,3
mmlu_clinical_knowledge_row_8,4
mmlu_clinical_knowledge_row_9,4
mmlu_clinical_knowledge_row_10,7
mmlu_clinical_knowledge_row_11,4
mmlu_clinical_knowledge_row_12,6
mmlu_clinical_knowledge_row_13,4
mmlu_clinical_knowledge_row_14,5
mmlu_clinical_knowledge_row_15,4
mmlu_clinical_knowledge_row_16,5
mmlu_clinical_knowledge_row_17,6
mmlu_clinical_knowledge_row_18,5
mmlu_clinical_knowledge_row_19,5
mmlu_clinical_knowledge_row_20,4
mmlu_clinical_knowledge_row_21,4
mmlu_clinical_knowledge_row_22,5
mmlu_clinical_knowledge_row_23,6
mmlu_clinical_knowledge_row_24,4
mmlu_clinical_knowledge_row_25,5
mmlu_clinical_knowledge_row_26,4
mmlu_clinical_knowledge_row_27,11
mmlu_clinical_knowledge_row_28,5
mmlu_clinical_knowledge_row_29,5
mmlu_clinical_knowledge_row_30,5
mmlu_clinical_knowledge_row_31,3
mmlu_clinical_knowledge_row_32,5
mmlu_clinical_knowledge_row_33,4
mmlu_clinical_knowledge_row_34,5
mmlu_clinical_knowledge_row_35,6
mmlu_clinical_knowledge_row_36,3
mmlu_clinical_knowledge_row_37,4
mmlu_clinical_knowledge_row_38,6
mmlu_clinical_knowledge_row_39,4
mmlu_clinical_knowledge_row_40,4
mmlu_clinical_knowledge_row_41,4
mmlu_clinical_knowledge_row_42,6
mmlu_clinical_knowledge_row_43,6
mmlu_clinical_knowledge_row_44,4
mmlu_clinical_knowledge_row_45,4
mmlu_clinical_knowledge_row_46,4
mmlu_clinical_knowledge_row_47,3
mmlu_clinical_knowledge_row_48,4
mmlu_clinical_knowledge_row_49,4
mmlu_clinical_knowledge_row_50,4
mmlu_clinical_knowledge_row_51,3
mmlu_clinical_knowledge_row_52,4
mmlu_clinical_knowledge_row_53,4
mmlu_clinical_knowledge_row_54,4
mmlu_clinical_knowledge_row_55,5
mmlu_clinical_knowledge_row_56,4
mmlu_clinical_knowledge_row_57,5
mmlu_clinical_knowledge_row_58,4
mmlu_clinical_knowledge_row_59,7
mmlu_clinical_knowledge_row_60,3
mmlu_clinical_knowledge_row_61,4
mmlu_clinical_knowledge_row_62,3
mmlu_clinical_knowledge_row_63,6
mmlu_clinical_knowledge_row_64,5
mmlu_clinical_knowledge_row_65,4
mmlu_clinical_knowledge_row_66,8
mmlu_clinical_knowledge_row_67,5
mmlu_clinical_knowledge_row_68,3
mmlu_clinical_knowledge_row_69,4
mmlu_clinical_knowledge_row_70,4
mmlu_clinical_knowledge_row_71,6
mmlu_clinical_knowledge_row_72,5
mmlu_clinical_knowledge_row_73,6
mmlu_clinical_knowledge_row_74,3
mmlu_clinical_knowledge_row_75,5
mmlu_clinical_knowledge_row_76,4
mmlu_clinical_knowledge_row_77,7
mmlu_clinical_knowledge_row_78,5
mmlu_clinical_knowledge_row_79,5
mmlu_clinical_knowledge_row_80,4
mmlu_clinical_knowledge_row_81,5
mmlu_clinical_knowledge_row_82,4
mmlu_clinical_knowledge_row_83,4
mmlu_clinical_knowledge_row_84,3
mmlu_clinical_knowledge_row_85,3
mmlu_clinical_knowledge_row_86,4
mmlu_clinical_knowledge_row_87,5
mmlu_clinical_knowledge_row_88,3
mmlu_clinical_knowledge_row_89,4
mmlu_clinical_knowledge_row_90,5
mmlu_clinical_knowledge_row_91,4
mmlu_clinical_knowledge_row_92,4
mmlu_clinical_knowledge_row_93,4
mmlu_clinical_knowledge_row_94,4
mmlu_clinical_knowledge_row_95,6
mmlu_clinical_knowledge_row_96,8
mmlu_clinical_knowledge_row_97,3
mmlu_clinical_knowledge_row_98,5
mmlu_clinical_knowledge_row_99,4
mmlu_clinical_knowledge_row_100,6
mmlu_clinical_knowledge_row_101,3
mmlu_clinical_knowledge_row_102,5
mmlu_clinical_knowledge_row_103,4
mmlu_clinical_knowledge_row_104,5
mmlu_clinical_knowledge_row_105,4
mmlu_clinical_knowledge_row_106,4
mmlu_clinical_knowledge_row_107,5
mmlu_clinical_knowledge_row_108,4
mmlu_clinical_knowledge_row_109,4
mmlu_clinical_knowledge_row_110,5
mmlu_clinical_knowledge_row_111,3
mmlu_clinical_knowledge_row_112,4
mmlu_clinical_knowledge_row_113,4
mmlu_clinical_knowledge_row_114,5
mmlu_clinical_knowledge_row_115,9
mmlu_clinical_knowledge_row_116,6
mmlu_clinical_knowledge_row_117,5
mmlu_clinical_knowledge_row_118,4
mmlu_clinical_knowledge_row_119,4
mmlu_clinical_knowledge_row_120,3
mmlu_clinical_knowledge_row_121,3
mmlu_clinical_knowledge_row_122,4
mmlu_clinical_knowledge_row_123,4
mmlu_clinical_knowledge_row_124,3
mmlu_clinical_knowledge_row_125,4
mmlu_clinical_knowledge_row_126,4
mmlu_clinical_knowledge_row_127,6
mmlu_clinical_knowledge_row_128,4
mmlu_clinical_knowledge_row_129,2
mmlu_clinical_knowledge_row_130,5
mmlu_clinical_knowledge_row_131,6
mmlu_clinical_knowledge_row_132,4
mmlu_clinical_knowledge_row_133,5
mmlu_clinical_knowledge_row_134,3
mmlu_clinical_knowledge_row_135,4
mmlu_clinical_knowledge_row_136,4
mmlu_clinical_knowledge_row_137,5
mmlu_clinical_knowledge_row_138,6
mmlu_clinical_knowledge_row_139,4
mmlu_clinical_knowledge_row_140,6
mmlu_clinical_knowledge_row_141,6
mmlu_clinical_knowledge_row_142,4
mmlu_clinical_knowledge_row_143,4
mmlu_clinical_knowledge_row_144,5
mmlu_clinical_knowledge_row_145,4
mmlu_clinical_knowledge_row_146,6
mmlu_clinical_knowledge_row_147,4
mmlu_clinical_knowledge_row_148,4
mmlu_clinical_knowledge_row_149,6
mmlu_clinical_knowledge_row_150,3
mmlu_clinical_knowledge_row_151,4
mmlu_clinical_knowledge_row_152,3
mmlu_clinical_knowledge_row_153,6
mmlu_clinical_knowledge_row_154,4
mmlu_clinical_knowledge_row_155,6
mmlu_clinical_knowledge_row_156,5
mmlu_clinical_knowledge_row_157,5
mmlu_clinical_knowledge_row_158,7
mmlu_clinical_knowledge_row_159,4
mmlu_clinical_knowledge_row_160,3
mmlu_clinical_knowledge_row_161,4
mmlu_clinical_knowledge_row_162,4
mmlu_clinical_knowledge_row_163,7
mmlu_clinical_knowledge_row_164,7
mmlu_clinical_knowledge_row_165,6
mmlu_clinical_knowledge_row_166,5
mmlu_clinical_knowledge_row_167,7
mmlu_clinical_knowledge_row_168,3
mmlu_clinical_knowledge_row_169,4
mmlu_clinical_knowledge_row_170,3
mmlu_clinical_knowledge_row_171,4
mmlu_clinical_knowledge_row_172,5
mmlu_clinical_knowledge_row_173,4
mmlu_clinical_knowledge_row_174,4
mmlu_clinical_knowledge_row_175,4
mmlu_clinical_knowledge_row_176,3
mmlu_clinical_knowledge_row_177,5
mmlu_clinical_knowledge_row_178,4
mmlu_clinical_knowledge_row_179,6
mmlu_clinical_knowledge_row_180,5
mmlu_clinical_knowledge_row_181,5
mmlu_clinical_knowledge_row_182,6
mmlu_clinical_knowledge_row_183,6
mmlu_clinical_knowledge_row_184,3
mmlu_clinical_knowledge_row_185,4
mmlu_clinical_knowledge_row_186,4
mmlu_clinical_knowledge_row_187,5
mmlu_clinical_knowledge_row_188,7
mmlu_clinical_knowledge_row_189,5
mmlu_clinical_knowledge_row_190,6
mmlu_clinical_knowledge_row_191,3
mmlu_clinical_knowledge_row_192,5
mmlu_clinical_knowledge_row_193,4
mmlu_clinical_knowledge_row_194,4
mmlu_clinical_knowledge_row_195,4
mmlu_clinical_knowledge_row_196,4
mmlu_clinical_knowledge_row_197,4
mmlu_clinical_knowledge_row_198,5
mmlu_clinical_knowledge_row_199,4
mmlu_clinical_knowledge_row_200,5
mmlu_clinical_knowledge_row_201,4
mmlu_clinical_knowledge_row_202,5
mmlu_clinical_knowledge_row_203,5
mmlu_clinical_knowledge_row_204,5
mmlu_clinical_knowledge_row_205,5
mmlu_clinical_knowledge_row_206,4
mmlu_clinical_knowledge_row_207,6
mmlu_clinical_knowledge_row_208,4
mmlu_clinical_knowledge_row_209,6
mmlu_clinical_knowledge_row_210,7
mmlu_clinical_knowledge_row_211,5
mmlu_clinical_knowledge_row_212,4
mmlu_clinical_knowledge_row_213,3
mmlu_clinical_knowledge_row_214,3
mmlu_clinical_knowledge_row_215,3
mmlu_clinical_knowledge_row_216,7
mmlu_clinical_knowledge_row_217,7
mmlu_clinical_knowledge_row_218,4
mmlu_clinical_knowledge_row_219,5
mmlu_clinical_knowledge_row_220,7
mmlu_clinical_knowledge_row_221,3
mmlu_clinical_knowledge_row_222,7
mmlu_clinical_knowledge_row_223,7
mmlu_clinical_knowledge_row_224,4
mmlu_clinical_knowledge_row_225,4
mmlu_clinical_knowledge_row_226,6
mmlu_clinical_knowledge_row_227,5
mmlu_clinical_knowledge_row_228,3
mmlu_clinical_knowledge_row_229,5
mmlu_clinical_knowledge_row_230,5
mmlu_clinical_knowledge_row_231,4
mmlu_clinical_knowledge_row_232,4
mmlu_clinical_knowledge_row_233,6
mmlu_clinical_knowledge_row_234,5
mmlu_clinical_knowledge_row_235,3
mmlu_clinical_knowledge_row_236,4
mmlu_clinical_knowledge_row_237,6
mmlu_clinical_knowledge_row_238,7
mmlu_clinical_knowledge_row_239,4
mmlu_clinical_knowledge_row_240,5
mmlu_clinical_knowledge_row_241,4
mmlu_clinical_knowledge_row_242,6
mmlu_clinical_knowledge_row_243,6
mmlu_clinical_knowledge_row_244,5
mmlu_clinical_knowledge_row_245,4
mmlu_clinical_knowledge_row_246,4
mmlu_clinical_knowledge_row_247,4
mmlu_clinical_knowledge_row_248,3
mmlu_clinical_knowledge_row_249,4
mmlu_clinical_knowledge_row_250,6
mmlu_clinical_knowledge_row_251,6
mmlu_clinical_knowledge_row_252,5
mmlu_clinical_knowledge_row_253,4
mmlu_clinical_knowledge_row_254,6
mmlu_clinical_knowledge_row_255,4
mmlu_clinical_knowledge_row_256,7
mmlu_clinical_knowledge_row_257,4
mmlu_clinical_knowledge_row_258,4
mmlu_clinical_knowledge_row_259,6
mmlu_clinical_knowledge_row_260,3
mmlu_clinical_knowledge_row_261,6
mmlu_clinical_knowledge_row_262,4
mmlu_clinical_knowledge_row_263,3
mmlu_clinical_knowledge_row_264,4
mmlu_college_biology_row_0,6
mmlu_college_biology_row_1,6
mmlu_college_biology_row_2,6
mmlu_college_biology_row_3,6
mmlu_college_biology_row_4,6
mmlu_college_biology_row_5,3
mmlu_college_biology_row_6,8
mmlu_college_biology_row_7,6
mmlu_college_biology_row_8,4
mmlu_college_biology_row_9,5
mmlu_college_biology_row_10,5
mmlu_college_biology_row_11,4
mmlu_college_biology_row_12,6
mmlu_college_biology_row_13,6
mmlu_college_biology_row_14,4
mmlu_college_biology_row_15,5
mmlu_college_biology_row_16,7
mmlu_college_biology_row_17,4
mmlu_college_biology_row_18,6
mmlu_college_biology_row_19,4
mmlu_college_biology_row_20,6
mmlu_college_biology_row_21,4
mmlu_college_biology_row_22,3
mmlu_college_biology_row_23,4
mmlu_college_biology_row_24,5
mmlu_college_biology_row_25,4
mmlu_college_biology_row_26,8
mmlu_college_biology_row_27,4
mmlu_college_biology_row_28,5
mmlu_college_biology_row_29,4
