model_name,theta_rasch
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total-bf16,0.76998883
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-500total,0.763673
FairMind/Llama-3-8B-4bit-UltraChat-Ita,0.6073001
FairMind/Phi-3-mini-4k-instruct-bnb-4bit-Ita,0.9720608
Faradaylab/ARIA-70B-V3,0.71952343
Faradaylab/Aria-70B,0.6423035
FelixChao/Llama-3-Petro-Instruct-v1,0.61537373
FelixChao/vicuna-33b-coder,0.22847858
FuseAI/OpenChat-3.5-7B-Mixtral,0.6648823
FuseAI/OpenChat-3.5-7B-Solar,0.6664359
GOAT-AI/GOAT-70B-Storytelling,1.1158447
GeorgiaTechResearchInstitute/galpaca-30b,-0.8629861
Gryphe/Pantheon-RP-1.0-8b-Llama-3,0.8114823
Gryphe/Tiamat-8b-1.2-Llama-3-DPO,0.7445744
HIT-SCIR/Chinese-Mixtral-8x7B,1.1524847
Hastagaras/llama-3-8b-okay,0.9633929
Henk717/airochronos-33B,0.37018186
Henk717/chronoboros-33B,0.33960187
ICBU-NPU/FashionGPT-70B-V1,1.2301307
ICBU-NPU/FashionGPT-70B-V1.1,1.3133743
ICBU-NPU/FashionGPT-70B-V1.2,1.2010819
Iker/Llama-3-Neurona-8b,0.45100576
Isotonic/Hermes-2-Pro-Mixtral-4x7B,0.5044989
Isotonic/TinyMixtral-4x248M-MoE,-1.8656212
Joseph717171/SOLAR-19.2B-Instruct-v1.0,0.6322618
Josephgflowers/Phi-3-mini-4k-instruct-Cinder-llamafied-with-16bit-GGUF,0.46952033
JosephusCheung/Yee-34B-200K-Chat,1.588107
KaeriJenti/Kaori-34B-v1,1.1889769
KaeriJenti/Kaori-34b-v2,-1.8314799
KaeriJenti/kaori-34b-v3,1.1782138
KaeriJenti/kaori-34b-v4,-1.8248482
KaeriJenti/kaori-70b-v1,1.2115347
KeyonZeng/lion-gemma-2b,0.1560446
KnutJaegersberg/Deacon-34b-Adapter,1.6992097
KnutJaegersberg/Deacon-34b-qlora-adapter,1.6990044
KnutJaegersberg/Deita-34b,1.666963
KnutJaegersberg/Galpaca-30b-MiniOrca,-0.7458124
KnutJaegersberg/Walter-Falcon-1B,-1.9142233
KnutJaegersberg/Walter-SOLAR-11B,0.74039155
KnutJaegersberg/YaYi-30b-EverythingLM,1.0888476
KnutJaegersberg/falcon-1b-t-sft,-1.8440291
KoboldAI/Mixtral-8x7B-Holodeck-v1,1.1981158
KoboldAI/OPT-30B-Erebus,-1.9036772
Kquant03/BurningBruce-SOLAR-8x10.7B-bf16,0.8205486
Kukedlc/LLama-3-8b-Maths,0.79750717
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,0.97863686
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,0.9318542
Kukedlc/Smart-LLaMa-3-8b-Python-v4,0.82219785
Kukedlc/Smart-LLama-3-8b-Python-v5,0.7170865
Kukedlc/SmartLlama-3-8B-MS-v0.1,0.88471466
LDCC/LDCC-SOLAR-10.7B,0.8802818
LLMs/WizardLM-30B-V1.0,0.33703154
LeroyDyer/Mixtral_AI_128k,0.64086473
LeroyDyer/Mixtral_AI_128k_b,0.624978
LeroyDyer/Mixtral_AI_128k_bioMedical,0.6279435
LeroyDyer/Mixtral_AI_CyberBrain_3_0,0.5971198
LeroyDyer/Mixtral_AI_CyberBrain_Coder,0.003666739
LeroyDyer/Mixtral_AI_CyberCoder,-0.3834533
LeroyDyer/Mixtral_AI_CyberTron,0.5054266
LeroyDyer/Mixtral_AI_CyberTron_Coder,0.5531204
LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT,0.50345933
LeroyDyer/Mixtral_AI_CyberTron_Ultra,0.4199814
LeroyDyer/Mixtral_AI_CyberUltron_DPO,0.3387487
LeroyDyer/Mixtral_AI_Cyber_2.0,0.2900195
LeroyDyer/Mixtral_AI_Cyber_3.0,0.49106464
LeroyDyer/Mixtral_AI_Cyber_3.1_SFT,0.67025316
LeroyDyer/Mixtral_AI_Cyber_3.m1,0.7095024
LeroyDyer/Mixtral_AI_Cyber_3.m2,0.62843525
LeroyDyer/Mixtral_AI_Cyber_4.0,0.55542
LeroyDyer/Mixtral_AI_Cyber_5.0,0.5749118
LeroyDyer/Mixtral_AI_Cyber_Child,0.33805794
LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0,0.53257996
LeroyDyer/Mixtral_AI_Cyber_MegaMind_3_0,0.53680116
LeroyDyer/Mixtral_AI_LCARS_,0.16948602
LeroyDyer/Mixtral_AI_MasterTron,-0.3391897
LeroyDyer/Mixtral_AI_SwahiliTron_7b,0.2417919
LeroyDyer/Mixtral_AI_base_128k,0.5964727
LeroyDyer/Mixtral_BioMedical,0.60311335
LeroyDyer/Mixtral_Chat_X,0.48343837
LeroyDyer/Mixtral_Chat_X_128k,0.6311178
LeroyDyer/Mixtral_Instruct,0.603246
LeroyDyer/Mixtral_ThoughtsProcess_1,0.48214486
LeroyDyer/Mixtral_Uncensored,0.5338367
Locutusque/Hercules-4.0-Yi-34B,1.5919726
Locutusque/Hyperion-2.0-Yi-34B,1.6695485
Locutusque/Hyperion-3.0-Mixtral-3x7B,0.52479845
Locutusque/Hyperion-3.0-Yi-34B,1.647503
Locutusque/Llama-3-Orca-2.0-8B,0.71166176
Locutusque/llama-3-neural-chat-v1-8b,0.65462977
Locutusque/llama-3-neural-chat-v2.2-8B,0.7014938
MAISAAI/gemma-2b-coder,-1.0712354
MayaPH/GodziLLa-30B,-0.025518447
MayaPH/GodziLLa-30B-plus,-1.9223467
MayaPH/GodziLLa2-70B,1.2148031
MaziyarPanahi/Llama-3-11B-Instruct-v0.1,0.6981184
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,2.0310853
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2,2.0807
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3,2.0739343
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,2.0662754
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1,0.8521308
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.2,0.9346352
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3,0.96514004
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.4,0.91875386
MaziyarPanahi/Llama-3-8B-Instruct-v0.1,0.92519665
MaziyarPanahi/Llama-3-8B-Instruct-v0.2,0.92444974
MaziyarPanahi/Llama-3-8B-Instruct-v0.3,0.94098556
MaziyarPanahi/Llama-3-8B-Instruct-v0.4,0.89860165
MaziyarPanahi/Llama-3-8B-Instruct-v0.5,0.9309847
MaziyarPanahi/Llama-3-8B-Instruct-v0.7,0.8889896
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,0.9191651
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,0.91210496
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.1,1.1013252
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.2,1.1075202
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.3,1.129337
MaziyarPanahi/WizardLM-Math-70B-TIES-v0.1,1.1566333
MaziyarPanahi/WizardLM-Math-70B-v0.1,1.1306081
Menouar/gemma-2b-chat,-0.9210467
Menouar/gemma-2b-chat-ultra,-0.9571602
MetaIX/GPT4-X-Alpasta-30b,0.24605466
Mihaiii/Llama-3-pruned-45B-Drobeta-Turnu-Severin,1.4884024
MisterRid/Llama-3-8B-SaulGoodMan,0.8168666
MoaData/Myrrh_solar_10.7b_3.0,0.710899
Mollel/Swahili-Alpaca-Llama-3-8b_16bit,0.60654444
Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b,-0.015380512
Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b,0.01719233
NeuralNovel/Mini-Mixtral-v0.2,0.6192532
NeuralNovel/Neural-Llama-3,0.6799108
NeverSleep/CausalLM-RP-34B,2.439462
NeverSleep/Llama-3-Lumimaid-70B-v0.1,2.0445516
NeverSleep/Llama-3-Lumimaid-70B-v0.1-alt,2.0390494
NeverSleep/Llama-3-Lumimaid-8B-v0.1,0.87432325
NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS,0.8479057
NeverSleep/MiquMaid-v1-70B,1.5743666
NeverSleep/MiquMaid-v2-70B,1.5713103
NeverSleep/Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss,1.2187587
Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1,0.83072686
Nhoodie/llama-3-sqrt-crocodile-v0.0A,0.9300621
NobodyExistsOnTheInternet/code-llama-70b-python-instruct,-1.996522
NotAiLOL/Athena-Llama-3-8B-v0.1,0.600573
NotAiLOL/Boundary-Meta-Llama-3-2x8B-MoE,0.8402002
NotAiLOL/Knight-Miqu-27B-MoE,-1.776135
NotAiLOL/Yi-1.5-9B-coder,0.8633313
NotAiLOL/Yi-1.5-dolphin-9B,0.88399273
NousResearch/CodeLlama-34b-hf,-1.1299262
NousResearch/Hermes-2-Pro-Llama-3-8B,0.7300851
NousResearch/Hermes-2-Theta-Llama-3-8B,0.8498923
NousResearch/Meta-Llama-3-8B-Instruct,0.8502677
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,1.307544
NousResearch/Nous-Hermes-2-SOLAR-10.7B,0.8304261
NousResearch/Nous-Hermes-Llama2-70b,1.1163393
NousResearch/Nous-Puffin-70B,1.1081972
Open-Orca/Mixtral-SlimOrca-8x7B,0.9320333
OpenAssistant/llama2-70b-oasst-sft-v10,0.9791564
OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,0.025093885
OpenBuddy/openbuddy-deepseek-10b-v17.1-4k,-0.11028209
OpenBuddy/openbuddy-deepseek-67b-v15-base,1.226766
OpenBuddy/openbuddy-deepseek-67b-v15.1,1.1514153
OpenBuddy/openbuddy-deepseek-67b-v15.2,1.2646266
OpenBuddy/openbuddy-deepseek-67b-v15.3-4k,1.1629851
OpenBuddy/openbuddy-deepseek-67b-v18.1-4k,1.1721764
OpenBuddy/openbuddy-deepseekcoder-33b-v16.1-32k,-0.79751235
OpenBuddy/openbuddy-falcon-180b-v12-preview0,0.3275378
OpenBuddy/openbuddy-falcon-180b-v13-preview0,0.76372296
OpenBuddy/openbuddy-falcon-40b-v16.1-4k,0.088846385
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,0.9159055
OpenBuddy/openbuddy-mixtral-7bx8-v16.3-32k,1.2271243
OpenBuddy/openbuddy-mixtral-7bx8-v17.1-32k,1.0861759
OpenBuddy/openbuddy-mixtral-7bx8-v17.2-32k,-2.4280457
OpenBuddy/openbuddy-mixtral-7bx8-v17.3-32k,1.1043761
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,1.2020961
OpenBuddy/openbuddy-mixtral-8x7b-v15.4,1.0678842
OpenBuddy/openbuddy-mixtral-8x7b-v16.1-32k,1.17808
OpenBuddy/openbuddy-mixtral-8x7b-v16.2-32k,1.2017831
OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,0.28707576
OpenLemur/lemur-70b-chat-v1,0.8580659
OpenLemur/lemur-70b-v1,0.7643459
Orenguteng/Lexi-Llama-3-8B-Uncensored,0.895279
Orenguteng/Llama-3-8B-Lexi-Uncensored,0.9107595
PSanni/MPOMixtral-8x7B-Instruct-v0.1,1.1436031
Panchovix/airoboros-33b-gpt4-1.2-SuperHOT-8k,-2.0220838
ParasiticRogue/Merged-RP-Stew-V2-34B,1.8651665
PathFinderKR/Waktaverse-Llama-3-KO-8B-Instruct,0.8607461
PetroGPT/Llama-3-Petro-Instruct-v1,0.63195413
Phind/Phind-CodeLlama-34B-Python-v1,-1.6602026
Phind/Phind-CodeLlama-34B-v1,-1.5948113
Phind/Phind-CodeLlama-34B-v2,-1.8526666
Pierre-obi/Mistral_solar-slerp,-0.9507044
PracticeLLM/SOLAR-tail-10.7B-Merge-v1.0,0.84437877
Qwen/Qwen-72B,1.7844363
Qwen/Qwen1.5-110B,2.1314547
Qwen/Qwen1.5-110B-Chat,1.9091282
Qwen/Qwen1.5-72B,1.7711711
Qwen/Qwen1.5-72B-Chat,1.8302616
Qwen/Qwen2-72B,2.4663432
Qwen/Qwen2-beta-72B,1.7855374
Radiantloom/radiantloom-mixtral-8x7b-fusion-dpo,0.35123932
Replete-AI/Llama-3-11.5B-Instruct-v2,0.8478453
Replete-AI/Llama-3-13B,0.49169254
Riiid/sheep-duck-llama-2-70b-v1.1,1.2784605
SF-Foundation/Ein-70B-v2,1.9346514
SF-Foundation/Ein-72B-v0.11,1.8150277
SF-Foundation/Ein-72B-v0.12,1.7869196
SF-Foundation/Ein-72B-v0.13,1.7949083
SJ-Donald/SJ-SOLAR-10.7b-DPO,0.8941879
SJ-Donald/SOLAR-10.7B-slerp,0.88570875
SUSTech/SUS-Chat-34B,1.7405189
SUSTech/SUS-Chat-72B,1.7317709
Sao10K/Euryale-1.3-L2-70B,1.222722
Sao10K/Euryale-L2-70B,1.044307
Sao10K/Franziska-Mixtral-v1,1.1344004
Sao10K/SOLAR-10.7B-NahIdWin,0.64279896
Sao10K/Sensualize-Mixtral-bf16,1.1864965
Sao10K/Sensualize-Solar-10.7B,0.7281854
Sao10K/Skadi-Mixtral-v1,1.2877483
Sao10K/Test-Instruct-Solar-v1,0.8232234
Sao10K/Test-Raw-Solar-v1,0.7255679
Sao10K/Typhon-Mixtral-v1,1.2021248
Sao10K/WinterGoddess-1.4x-70B-L2,1.3068521
Sao10K/Zephyrus-L1-33B,0.23866294
Secbone/llama-33B-instructed,0.50776094
ShinojiResearch/Senku-70B-Full,1.6003643
SrikanthChellappa/Collaiborator-MEDLLM-Llama-3-8B,0.8267778
StarFox7/gemma-2b-dpo-v1,-1.0472028
Suduk/Llama-3-8B-Viper-16bit,0.66109705
Suduk/Llama-3-8B-Viper-16bit-1,0.6563383
Swisslex/Mixtral-8x7b-DPO-v0.1,1.1411543
Swisslex/Mixtral-8x7b-DPO-v0.2,1.1476302
Swisslex/Mixtral-Orca-v0.1,0.84811413
Syed-Hasan-8503/Llama-3-8B-NOLA,0.84513247
Syed-Hasan-8503/openhermes-gemma-2b-it,-1.0801133
TW3PartnersLLM/TW3-v1-AlpacaSmaug-30B,-2.022989
TW3PartnersLLM/TW3-v2-AlpacaSmaug-72B,-2.026188
Technoculture/Medmerge-tulu-70b,1.1208583
TeeZee/2xbagel-dpo-34b-v0.2,1.5128149
TeeZee/Bielik-SOLAR-LIKE-10.7B-Instruct-v0.1,-0.33218586
TeeZee/Kyllene-34B-v1.1,1.8053048
TeeZee/Xwin-LM-70B-V0.1_Jannie,1.1480289
TeeZee/Xwin-LM-70B-V0.1_Limarpv3,1.1167332
TehVenom/oasst-sft-6-llama-33b-xor-MERGED-16bit,0.22554867
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,-1.0241572
Tensoic/Gemma-2B-Samvaad,-1.3779582
TheBloke/Airoboros-L2-70B-2.1-GPTQ,1.0960256
TheBloke/Chinese-Alpaca-33B-SuperHOT-8K-fp16,-1.9370921
TheBloke/CodeLlama-34B-Instruct-fp16,-0.99981093
TheBloke/CodeLlama-34B-Python-fp16,-1.3490603
TheBloke/GPlatty-30B-SuperHOT-8K-fp16,-1.8682877
TheBloke/Genz-70b-GPTQ,1.1950904
TheBloke/Lemur-70B-Chat-v1-GPTQ,0.754981
TheBloke/Llama-2-70B-chat-GPTQ,0.54966867
TheBloke/Llama-2-70B-fp16,1.0952171
TheBloke/Mixtral-8x7B-v0.1-GPTQ,1.0155841
TheBloke/OpenAssistant-SFT-7-Llama-30B-HF,0.29245335
TheBloke/Platypus-30B-SuperHOT-8K-fp16,-1.9772096
TheBloke/Platypus2-70B-Instruct-GPTQ,1.2447166
TheBloke/Poro-34B-GPTQ,-1.3938347
TheBloke/Vicuna-33B-1-3-SuperHOT-8K-fp16,-1.983072
TheBloke/Wizard-Vicuna-30B-Superhot-8K-fp16,-1.9972708
TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,0.17991704
TheBloke/Wizard-Vicuna-30B-Uncensored-fp16,0.29675642
TheBloke/WizardLM-30B-GPTQ,-1.9006585
TheBloke/WizardLM-30B-fp16,0.34295085
TheBloke/WizardLM-70B-V1.0-GPTQ,0.63488466
TheBloke/airoboros-33B-gpt4-1-4-SuperHOT-8K-fp16,-1.9966338
TheBloke/fiction.live-Kimiko-V2-70B-fp16,1.1036415
TheBloke/llama-2-70b-Guanaco-QLoRA-fp16,1.1618856
TheBloke/llama-30b-supercot-SuperHOT-8K-fp16,-1.9958196
TheBloke/robin-33B-v2-GPTQ,-1.9730672
TheBloke/robin-33B-v2-fp16,0.009922512
TheSkullery/llama-3-cat-8b-instruct,0.55650914
TheSkullery/llama-3-cat-8b-instruct-v1,0.58045226
TigerResearch/tigerbot-70b-chat-v4-4k,1.110289
TomGrc/FusionNet_SOLAR,0.76224476
TriadParty/deepmoney-34b-200k-base,1.4539877
TsinghuaC3I/Llama-3-8B-UltraMedical,0.7653304
Undi95/Llama-3-8B-Instruct-OAS,0.83693063
Undi95/Llama-3-LewdPlay-8B,0.8490243
Undi95/Llama-3-LewdPlay-8B-evo,0.90753263
Undi95/Llama-3-Unholy-8B,0.85818064
Undi95/Meta-Llama-3-8B-hf,0.81742775
Undi95/Miqu-70B-Alpaca-DPO,1.6151599
Undi95/Miqu-MS-70B,1.6086582
Undi95/Mixtral-4x7B-DPO-RPChat,0.6034548
Undi95/Mixtral-8x7B-MoE-RP-Story,-0.76877123
VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,0.91755843
VAGOsolutions/SauerkrautLM-Gemma-2b,-0.7417901
VAGOsolutions/SauerkrautLM-Mixtral-8x7B,0.83556235
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,1.2115486
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,0.8179722
ValiantLabs/Esper-70b,0.053734027
ValiantLabs/Fireplace-34b,-0.3640396
ValiantLabs/Llama3-70B-Fireplace,1.8907126
Walmart-the-bag/Llama-3-LizardCoder-8B,0.8982272
Walmart-the-bag/Solar-10.7B-Cato,0.74378437
Weyaxi/Bagel-Hermes-34B-Slerp,1.8265316
Weyaxi/HelpSteer-filtered-Solar-Instruct,0.63681513
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Linear,1.7719853
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.7948993
Weyaxi/Qwen-72B-Llama,1.5770538
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,0.8154939
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test,0.8178337
WhiteRabbitNeo/WhiteRabbitNeo-33B-v1,-0.96085393
WizardLM/WizardCoder-Python-34B-V1.0,-0.36565238
WizardLM/WizardLM-70B-V1.0,0.7035138
Xwin-LM/Xwin-LM-70B-V0.1,1.1184901
Xwin-LM/Xwin-Math-70B-V1.0,0.8952512
Xwin-LM/XwinCoder-34B,-0.35393068
YeungNLP/firefly-llama-30b,0.27911517
YeungNLP/firefly-mixtral-8x7b-v0.1,1.1860727
YeungNLP/firefly-mixtral-8x7b-v1,1.1962438
Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,0.21921857
Zangs3011/falcon_7b_DolphinCoder,-1.7753729
Zangs3011/mixtral_8x7b_MonsterInstruct,1.0733354
Zardos/A.I.Kant-Test_Llama-3-8B-Instruct_v0.1.0,0.5725639
Zardos/A.I.Kant-Test_Llama-3-8B-Instruct_v0.1.1,-0.9969679
Zardos/nil_Llama-3-8B-Instruct_v0.1.0,0.92155814
Zardos/nil_Llama-3-8B-Instruct_v0.1.1,0.82748824
abacusai/Liberated-Qwen1.5-72B,1.7679074
abacusai/Llama-3-Giraffe-70B,1.7353773
abacusai/Llama-3-Giraffe-70B-Instruct,1.7598238
abacusai/Llama-3-Smaug-8B,0.7573139
abacusai/MM-OV-bagel-DPO-34b-c1000-250,1.783275
abacusai/MM-Orc-Vic-bagel-34b-c1000,1.7648928
abacusai/MetaMath-Bagel-DPO-34B,1.7866058
abacusai/MetaMath-bagel-34b-v0.2-c1500,1.616353
abacusai/Smaug-2-72B,1.824754
abacusai/Smaug-34B-v0.1,1.8127726
abacusai/Smaug-70B-v0.1,1.7877421
abacusai/Smaug-72B-v0.1,1.7901329
abacusai/Smaug-Mixtral-v0.1,1.1292503
