model_name,theta_score,accuracy_overall,accuracy_stem,accuracy_nonstem,reasoning_sensitivity,semantic_sensitivity
jondurbin/nontoxic-bagel-34b-v0.2,1.7800213,0.768979,0.680622,0.794563,-0.12449,-0.11144
SUSTech/SUS-Chat-34B,1.7635705,0.768409,0.684428,0.792727,-0.125376,-0.127076
migtissera/Tess-34B-v1.5b,1.7609884,0.76727,0.677767,0.793186,-0.133592,-0.103959
kyujinpy/PlatYi-34B-200k-Q-FastChat,1.7549756,0.775958,0.694259,0.799614,-0.128913,-0.127899
SF-Foundation/Ein-72B-v0.12,1.7472943,0.774818,0.695211,0.797869,-0.117129,-0.093996
ibivibiv/alpaca-dragon-72b-v1,1.7461331,0.775958,0.696797,0.79888,-0.119012,-0.097786
migtissera/Tess-2.0-Llama-3-70B,1.7438909,0.792765,0.715826,0.815043,-0.141154,-0.078473
binbi/Ein-72B-v0.1,1.7289349,0.773964,0.694259,0.797043,-0.120074,-0.097851
abacusai/Smaug-72B-v0.1,1.725551,0.773608,0.694894,0.7964,-0.114908,-0.096483
abacusai/Smaug-70B-v0.1,1.7233006,0.773608,0.694894,0.7964,-0.114908,-0.096483
SF-Foundation/Ein-72B-v0.13,1.7212437,0.77375,0.693308,0.797043,-0.115281,-0.08912
SF-Foundation/Ein-72B-v0.11,1.7202065,0.774961,0.696162,0.797778,-0.119141,-0.08953
01-ai/Yi-34B,1.7017317,0.764207,0.678402,0.789053,-0.12187,-0.097938
KnutJaegersberg/Deacon-34b-Adapter,1.6983037,0.763282,0.678719,0.787767,-0.119955,-0.098437
KnutJaegersberg/Deacon-34b-qlora-adapter,1.6864148,0.763495,0.681573,0.787216,-0.111793,-0.100608
jondurbin/airoboros-70b-3.3,1.6789371,0.789987,0.736124,0.805584,-0.125851,-0.077704
moreh/MoMo-72B-lora-1.8.7-DPO,1.6786635,0.77489,0.692991,0.798604,-0.122328,-0.108368
moreh/MoMo-70B-lora-1.8.6-DPO,1.6724349,0.777097,0.699968,0.799431,-0.123454,-0.102407
migtissera/Tess-2.0-Llama-3-70B-v0.2,1.6680591,0.790414,0.717095,0.811645,-0.140552,-0.066851
moreh/MoMo-70B-lora-1.8.5-DPO,1.6639024,0.777026,0.699651,0.799431,-0.117938,-0.110969
adamo1139/yi-34b-200k-rawrr-dpo-1,1.6621267,0.762213,0.668887,0.789237,-0.14805,-0.09244
ValiantLabs/Llama3-70B-Fireplace,1.6487703,0.785999,0.719949,0.805124,-0.126946,-0.07916
adamo1139/yi-34b-200k-rawrr-dpo-2,1.6424211,0.761644,0.667618,0.78887,-0.145421,-0.102023
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties,1.6423537,0.760291,0.668887,0.786757,-0.121005,-0.108616
dfurman/Llama-3-70B-Orpo-v0.1,1.641295,0.788207,0.714875,0.809441,-0.132218,-0.067545
moreh/MoMo-72B-LoRA-V1.4,1.6393744,0.774035,0.695845,0.796676,-0.113148,-0.101645
meta-llama/Meta-Llama-3-70B,1.6351149,0.786426,0.712337,0.80788,-0.133985,-0.078244
logicker/SkkuDS-DPO-72B-v1,1.6350019,0.772326,0.706311,0.791441,-0.110561,-0.086726
adamo1139/Yi-34B-200K-rawrr1-LORA-DPO-experimental-r3,1.6216551,0.761288,0.670473,0.787584,-0.145625,-0.087944
Qwen/Qwen1.5-72B-Chat,1.6087443,0.777026,0.712337,0.795757,-0.123781,-0.094983
Locutusque/Hyperion-2.0-Yi-34B,1.6073997,0.759721,0.676499,0.783819,-0.127281,-0.10546
Azure99/blossom-v5.1-34b,1.6030039,0.778522,0.725024,0.794012,-0.106858,-0.0796
moreh/MoMo-70B-LoRA-V1.4,1.5990227,0.772967,0.691088,0.796676,-0.117403,-0.10406
logicker/SkkuDS-DPO-72B-v3,1.5969771,0.772611,0.70758,0.791441,-0.110225,-0.08392
Qwen/Qwen2-beta-72B,1.5918983,0.771258,0.702823,0.791074,-0.112544,-0.077958
abacusai/Smaug-2-72B,1.5900347,0.777453,0.711703,0.796492,-0.12115,-0.075336
adamo1139/Yi-34B-200K-AEZAKMI-v2,1.5893276,0.758866,0.662226,0.786849,-0.139855,-0.125311
Locutusque/Hyperion-3.0-Yi-34B,1.5836184,0.757513,0.673327,0.78189,-0.129653,-0.102802
abacusai/Liberated-Qwen1.5-72B,1.5815896,0.772112,0.696162,0.794104,-0.130642,-0.082915
APMIC/caigun-lora-model-34B-v2,1.580939,0.755448,0.667618,0.78088,-0.123372,-0.091071
jondurbin/bagel-dpo-34b-v0.5,1.5804623,0.76378,0.679036,0.788318,-0.131186,-0.130655
jondurbin/bagel-34b-v0.5,1.5778787,0.764065,0.67745,0.789145,-0.128478,-0.126899
Qwen/Qwen1.5-72B,1.5774503,0.771258,0.702823,0.791074,-0.112544,-0.077958
dreamgen/opus-v1-34b,1.5760036,0.756659,0.663812,0.783543,-0.146082,-0.118583
Qwen/Qwen-72B,1.5496688,0.773964,0.699017,0.795665,-0.123233,-0.088138
adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701,1.5493246,0.757371,0.66857,0.783084,-0.132838,-0.096569
01-ai/Yi-34B-200K,1.5484703,0.757513,0.666984,0.783727,-0.133542,-0.115468
adamo1139/Yi-34B-200K-HESOYAM-0905,1.5344206,0.755946,0.667618,0.781523,-0.139038,-0.112994
APMIC/caigun-lora-model-34B-v3,1.5338182,0.754237,0.660641,0.781339,-0.126598,-0.095923
adamo1139/Yi-34b-200K-rawrr-v2-run-0902-LoRA,1.5283624,0.758083,0.668252,0.784094,-0.13195,-0.089161
01-ai/Yi-1.5-34B-Chat-16K,1.5179385,0.777809,0.724389,0.793278,-0.109951,-0.06328
AbacusResearch/Jallabi-34B,1.5158263,0.763068,0.687282,0.785012,-0.134443,-0.121671
migtissera/Tess-72B-v1.5b,1.5154111,0.767341,0.683793,0.791533,-0.118384,-0.107693
01-ai/Yi-1.5-34B-32K,1.5062704,0.775602,0.725658,0.790063,-0.123284,-0.066693
mistral-community/Mixtral-8x22B-v0.1,1.5005765,0.774534,0.697748,0.796767,-0.141479,-0.056535
nvidia/Llama3-ChatQA-1.5-70B,1.4971014,0.777809,0.695211,0.801727,-0.136546,-0.071183
Qwen/Qwen1.5-110B-Chat,1.4938966,0.785287,0.724072,0.803012,-0.116512,-0.079872
01-ai/Yi-1.5-34B,1.4815836,0.7714,0.719949,0.786298,-0.120024,-0.052103
mistralai/Mixtral-8x22B-Instruct-v0.1,1.4800222,0.774961,0.697748,0.797318,-0.131106,-0.073417
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301,1.4778367,0.754237,0.659689,0.781614,-0.121293,-0.119056
CausalLM/72B-preview-llamafied-qwen-llamafy,1.4718798,0.769192,0.702188,0.788594,-0.124979,-0.091512
Locutusque/Hercules-4.0-Yi-34B,1.4702184,0.752457,0.665081,0.777757,-0.127781,-0.082615
microsoft/Phi-3-medium-4k-instruct,1.4675143,0.780302,0.710117,0.800624,-0.108485,-0.084436
migtissera/Tess-34B-v1.4,1.4641721,0.753098,0.669204,0.77739,-0.130303,-0.101015
CausalLM/72B-preview,1.4636874,0.769121,0.70314,0.788227,-0.120914,-0.086386
mistralai/Mixtral-8x22B-v0.1,1.4623481,0.774391,0.695845,0.797135,-0.140638,-0.053552
unsloth/Phi-3-medium-4k-instruct,1.4504212,0.78016,0.710117,0.800441,-0.110005,-0.088153
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301-LoRA,1.4418892,0.753383,0.663178,0.779502,-0.126428,-0.115292
migtissera/Tess-2.0-Yi-34B-200K,1.434801,0.75559,0.667935,0.780972,-0.134372,-0.1054
SUSTech/SUS-Chat-72B,1.4271543,0.766557,0.687916,0.789329,-0.127403,-0.085871
abacusai/Llama-3-Giraffe-70B-Instruct,1.3726317,0.770617,0.706311,0.789237,-0.116401,-0.071422
Azure99/blossom-v3_1-yi-34b,1.360144,0.746261,0.661275,0.77087,-0.123102,-0.118652
JosephusCheung/Yee-34B-200K-Chat,1.3358729,0.751887,0.650492,0.781247,-0.138458,-0.119727
01-ai/Yi-34B-Chat,1.3313135,0.749537,0.653029,0.777482,-0.133817,-0.118495
jondurbin/airoboros-34b-3.3,1.3206462,0.752884,0.661909,0.779227,-0.127192,-0.136338
abacusai/MetaMath-bagel-34b-v0.2-c1500,1.3168472,0.753881,0.651443,0.783543,-0.12148,-0.109275
KnutJaegersberg/Deita-34b,1.3159858,0.759578,0.704408,0.775553,-0.115869,-0.070169
abacusai/Llama-3-Giraffe-70B,1.3140717,0.767412,0.696797,0.787859,-0.128946,-0.074307
jondurbin/bagel-34b-v0.4,1.3057023,0.751317,0.657786,0.7784,-0.135591,-0.138458
jondurbin/airoboros-34b-3.2,1.298272,0.746973,0.653663,0.773992,-0.134297,-0.126871
adamo1139/Yi-34B-200K-AEZAKMI-XLCTX-v3,1.2574488,0.743769,0.665398,0.766462,-0.118212,-0.093429
DrNicefellow/ChatAllInOne-Yi-34B-200K-V1,1.241557,0.739638,0.639708,0.768574,-0.129954,-0.121466
152334H/miqu-1-70b-sf,1.2212242,0.755092,0.655566,0.78391,-0.122183,-0.054873
maywell/kiqu-70b,1.2098732,0.752742,0.650174,0.782441,-0.11083,-0.051618
alchemonaut/QuartetAnemoi-70B-t0.0001,1.208416,0.754309,0.656835,0.782533,-0.118472,-0.048209
ShinojiResearch/Senku-70B-Full,1.2042485,0.753098,0.651126,0.782625,-0.114763,-0.068181
Undi95/Miqu-MS-70B,1.2023152,0.754878,0.655883,0.783543,-0.118041,-0.060428
Undi95/Miqu-70B-Alpaca-DPO,1.2015421,0.753952,0.657786,0.781798,-0.118815,-0.053559
Azure99/blossom-v4-yi-34b,1.2000374,0.743413,0.648589,0.77087,-0.138593,-0.129861
cookinai/OrcaHermes-Mistral-70B-miqu,1.2000238,0.754451,0.659055,0.782074,-0.106801,-0.065639
kyujinpy/PlatYi-34B-Llama-Q-v3,1.1926064,0.746902,0.658738,0.772431,-0.138546,-0.113008
microsoft/Phi-3-medium-128k-instruct,1.1828473,0.767412,0.69648,0.787951,-0.112661,-0.085832
TriadParty/deepmoney-34b-200k-base,1.1551611,0.736718,0.64732,0.762604,-0.136059,-0.092396
TeeZee/2xbagel-dpo-34b-v0.2,1.1402824,0.741134,0.648271,0.768023,-0.122744,-0.123141
adamo1139/Yi-34B-AEZAKMI-v1,1.1314367,0.744766,0.64954,0.772339,-0.117866,-0.119977
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2901,1.1304129,0.740778,0.653029,0.766186,-0.125525,-0.119632
NeverSleep/MiquMaid-v2-70B,1.1239253,0.749039,0.653346,0.776747,-0.115838,-0.033593
migtissera/Tess-70B-v1.6,1.120254,0.751674,0.64288,0.783176,-0.117686,-0.081411
alchemonaut/BoreanGale-70B,1.1126549,0.750463,0.657786,0.777298,-0.093032,-0.035383
01-ai/Yi-1.5-34B-Chat,1.107117,0.765062,0.720901,0.777849,-0.109984,-0.048616
NeverSleep/MiquMaid-v1-70B,1.101374,0.747686,0.649857,0.776012,-0.124356,-0.048916
ontocord/phi-3-22b,1.0896446,0.761572,0.680939,0.784921,-0.100989,-0.075537
kyujinpy/PlatYi-34B-200K-Q,1.0881052,0.750392,0.671424,0.773257,-0.127362,-0.13064
gradientai/Llama-3-70B-Instruct-Gradient-262k,0.97829354,0.754522,0.691405,0.772798,-0.115232,-0.079507
jukofyork/Dark-Miqu-70B,0.9216952,0.740137,0.628291,0.772523,-0.108429,-0.053499
gradientai/Llama-3-70B-Instruct-Gradient-524k,0.87643033,0.748255,0.682842,0.767196,-0.118189,-0.104397
jukofyork/Dusk-Miqu-70B,0.86341494,0.734938,0.625119,0.766737,-0.103244,-0.051295
databricks/dbrx-base,0.8618761,0.74035,0.658421,0.764074,-0.128284,-0.084599
jukofyork/Dawn-Miqu-70B,0.82070833,0.732161,0.629876,0.761778,-0.107087,-0.04252
CohereForAI/c4ai-command-r-plus,0.77219206,0.737003,0.63844,0.765543,-0.130211,-0.09501
databricks/dbrx-instruct,0.75440603,0.73095,0.644783,0.7559,-0.118875,-0.071881
Mihaiii/Llama-3-pruned-45B-Drobeta-Turnu-Severin,0.7349597,0.738641,0.641294,0.766829,-0.11806,-0.073543
ICBU-NPU/FashionGPT-70B-V1.1,0.73310393,0.716209,0.593403,0.751768,-0.120049,-0.086658
Sao10K/WinterGoddess-1.4x-70B-L2,0.7230124,0.717206,0.593086,0.753145,-0.104598,-0.061663
Riiid/sheep-duck-llama-2-70b-v1.1,0.7183509,0.71393,0.588646,0.750207,-0.106223,-0.087142
ChuckMcSneed/ArcaneEntanglement-model64-70b,0.7147278,0.710867,0.586426,0.746901,-0.112927,-0.074558
upstage/SOLAR-0-70b-16bit,0.7069887,0.707592,0.591817,0.741115,-0.112149,-0.082897
upstage/Llama-2-70b-instruct-v2,0.706298,0.707592,0.591817,0.741115,-0.112149,-0.082897
lloorree/kssht-dahj-70b,0.7030389,0.711152,0.582303,0.748462,-0.128763,-0.092955
deepnight-research/llama-2-70B-inst,0.700048,0.707592,0.591817,0.741115,-0.112149,-0.082897
AIDC-ai-business/Marcoroni-70B-v1,0.6935901,0.714214,0.58928,0.75039,-0.114984,-0.084265
llmixer/BigWeave-v16-103b,0.6930546,0.727959,0.642563,0.752686,-0.10331,-0.075372
ICBU-NPU/FashionGPT-70B-V1,0.69277966,0.707164,0.587377,0.74185,-0.103408,-0.09076
Weyaxi/Qwen-72B-Llama,0.688113,0.749964,0.679353,0.770411,-0.138194,-0.105888
ChuckMcSneed/Gembo-v1-70b,0.6773122,0.712861,0.594037,0.747268,-0.117166,-0.061873
KaeriJenti/kaori-70b-v1,0.6768642,0.705526,0.59594,0.737258,-0.111266,-0.068705
deepseek-ai/deepseek-llm-67b-chat,0.6720659,0.720909,0.608944,0.753329,-0.108721,-0.105491
quantumaikr/llama-2-70b-fb16-guanaco-1k,0.6669609,0.704957,0.582303,0.740472,-0.103083,-0.064809
ConvexAI/Luminex-72B-v0.1,0.6658186,0.729312,0.659055,0.749656,-0.12613,-0.074168
s1ghhh/medllama-2-70b-qlora-1.1,0.6639928,0.710155,0.585791,0.746166,-0.110221,-0.067864
ChuckMcSneed/Gembo-v1.1-70b,0.6546598,0.710013,0.591183,0.744421,-0.118927,-0.061778
jondurbin/spicyboros-70b-2.2,0.65423083,0.704672,0.581034,0.740472,-0.119458,-0.084331
ChuckMcSneed/SMaxxxer-v1-70b,0.65154815,0.707022,0.586108,0.742033,-0.1194,-0.083711
ChuckMcSneed/PMaxxxer-v1-70b,0.64010483,0.705811,0.582303,0.741574,-0.111998,-0.072759
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,0.63749444,0.717348,0.619093,0.745799,-0.116399,-0.088753
jondurbin/airoboros-l2-70b-gpt4-2.0,0.63676655,0.70339,0.5804,0.739003,-0.110232,-0.088261
jondurbin/airoboros-l2-70b-gpt4-m2.0,0.6331881,0.705384,0.581351,0.741299,-0.112881,-0.07255
lloorree/kssht-castor-70b,0.632193,0.70396,0.585791,0.738176,-0.134369,-0.088612
TheBloke/Genz-70b-GPTQ,0.62724257,0.70396,0.582303,0.739186,-0.114923,-0.081783
Sao10K/Euryale-1.3-L2-70B,0.6202038,0.707164,0.584206,0.742768,-0.129767,-0.075834
migtissera/Synthia-70B-v1.1,0.617651,0.702891,0.58484,0.737074,-0.102379,-0.068717
Sao10K/Skadi-Mixtral-v1,0.6144257,0.714072,0.620679,0.741115,-0.123928,-0.082797
chargoddard/MelangeA-70b,0.6116898,0.711722,0.587377,0.747727,-0.108712,-0.080627
ICBU-NPU/FashionGPT-70B-V1.2,0.6095745,0.703105,0.58262,0.737992,-0.095653,-0.071591
chargoddard/MelangeC-70b,0.6077755,0.709586,0.582937,0.746258,-0.108978,-0.09328
lloorree/kssht-euripedes-70b,0.60723066,0.703675,0.582937,0.738635,-0.121984,-0.083698
binbi/MoMo-70B-V1.2_1,0.60131043,0.704102,0.578497,0.740472,-0.119134,-0.069813
chargoddard/MelangeB-70b,0.6010428,0.708304,0.58262,0.744696,-0.116647,-0.087526
migtissera/Synthia-70B-v1.2,0.59966034,0.700969,0.583254,0.735054,-0.104908,-0.072968
leejunhyeok/MoMo-70B-LoRA-V1.2_1,0.5994826,0.703176,0.577545,0.739554,-0.122574,-0.077016
garage-bAInd/Platypus2-70B-instruct,0.59904563,0.712434,0.581668,0.750298,-0.105886,-0.060262
deepseek-ai/deepseek-llm-67b-base,0.59895784,0.713146,0.606724,0.743962,-0.121448,-0.083433
sophosympatheia/Aurora-Nights-70B-v1.0,0.59223455,0.701966,0.581034,0.736982,-0.124799,-0.06789
jondurbin/airoboros-l2-70b-gpt4-1.4.1,0.5839529,0.704102,0.582937,0.739186,-0.125158,-0.079977
upstage/Llama-2-70b-instruct,0.5769075,0.701538,0.583888,0.735605,-0.118378,-0.061617
quantumaikr/quantumairk-llama-2-70B-instruct,0.57681006,0.709372,0.585157,0.745339,-0.123913,-0.051642
yeontaek/llama-2-70B-ensemble-v5,0.5741038,0.701467,0.583254,0.735697,-0.112796,-0.081466
Doctor-Shotgun/mythospice-70b,0.5715057,0.699046,0.576911,0.734411,-0.128095,-0.101117
jondurbin/airoboros-l2-70b-2.2.1,0.569147,0.700399,0.576911,0.736156,-0.129478,-0.070883
Doctor-Shotgun/mythospice-limarp-70b,0.56739146,0.699615,0.57818,0.734778,-0.137236,-0.094845
itsliupeng/Mixtral-8x7B-v0.1-top3,0.5599554,0.707805,0.620044,0.733217,-0.120972,-0.102136
OpenBuddy/openbuddy-deepseek-67b-v15.2,0.5587531,0.71101,0.608627,0.740656,-0.120511,-0.10613
TheBloke/llama-2-70b-Guanaco-QLoRA-fp16,0.5577805,0.698761,0.586743,0.731197,-0.095123,-0.071793
TheBloke/Platypus2-70B-Instruct-GPTQ,0.55102843,0.708232,0.575959,0.746533,-0.116305,-0.076494
yeontaek/llama-2-70B-ensemble-v4,0.5494427,0.707307,0.579448,0.744329,-0.107774,-0.048352
migtissera/SynthIA-70B-v1.5,0.5461763,0.695841,0.56803,0.73285,-0.134441,-0.078664
jondurbin/airoboros-l2-70b-3.1.2,0.5342594,0.698405,0.57818,0.733217,-0.128666,-0.086344
OpenBuddy/openbuddy-deepseek-67b-v15-base,0.53065103,0.705597,0.604821,0.734778,-0.126551,-0.123601
KoboldAI/Mixtral-8x7B-Holodeck-v1,0.5192696,0.703675,0.615604,0.729176,-0.12733,-0.069194
MaziyarPanahi/WizardLM-Math-70B-TIES-v0.1,0.51828706,0.697408,0.566762,0.735237,-0.129489,-0.085427
TeeZee/Xwin-LM-70B-V0.1_Jannie,0.51825744,0.697764,0.579765,0.731931,-0.121595,-0.094854
MayaPH/GodziLLa2-70B,0.5174378,0.706808,0.582303,0.74286,-0.104383,-0.046292
llmixer/BigWeave-v15-103b,0.5068666,0.713289,0.61275,0.742401,-0.095786,-0.035511
hfl/chinese-mixtral-instruct,0.5046997,0.7046,0.613384,0.731013,-0.105789,-0.089989
OpenBuddy/openbuddy-mixtral-8x7b-v16.2-32k,0.5046295,0.703888,0.605138,0.732482,-0.112995,-0.085561
Technoculture/Medmerge-tulu-70b,0.50363344,0.694488,0.585157,0.726146,-0.123822,-0.077109
OpenBuddy/openbuddy-mixtral-7bx8-v16.3-32k,0.5007367,0.706025,0.624485,0.729635,-0.105486,-0.078313
YeungNLP/firefly-mixtral-8x7b-v1,0.50004065,0.702464,0.614018,0.728074,-0.112489,-0.083813
NousResearch/Nous-Hermes-Llama2-70b,0.49951047,0.692565,0.576594,0.726146,-0.137007,-0.077337
YeungNLP/firefly-mixtral-8x7b-v0.1,0.49859062,0.702464,0.614018,0.728074,-0.112489,-0.083813
sophosympatheia/Midnight-Rose-70B-v2.0.3,0.49854302,0.696197,0.576594,0.730829,-0.112711,-0.095369
jordiclive/Llama-2-70b-oasst-1-200,0.49823838,0.692708,0.581034,0.725044,-0.114804,-0.079021
mistralai/Mixtral-8x7B-v0.1,0.497463,0.703746,0.620044,0.727982,-0.117943,-0.086273
allenai/tulu-2-dpo-70b,0.48587877,0.696553,0.577862,0.730921,-0.122602,-0.068972
quantumaikr/llama-2-70b-fb16-orca-chat-10k,0.4830166,0.693705,0.573422,0.728533,-0.110925,-0.092706
llmixer/BigWeave-v20-110b,0.48265195,0.698832,0.595623,0.728717,-0.114228,-0.059732
bongchoi/test-llama2-70b,0.48207,0.691924,0.582303,0.723666,-0.111116,-0.076473
