scheme,r2_stem,r2_nonstem,lrt,lrt_df,p_lrt,z_mdd,p_mdd
MC draw 41,0.0791893691383212,0.042564818491392264,445.0511601884573,11,1.6276207352407607e-88,4.312483424372872,1.6143098832188792e-05
MC draw 42,0.07955392844012676,0.03877524140125144,455.4072610350195,11,1.0174372096761854e-90,4.08012547266601,4.501139787171062e-05
MC draw 43,0.08247290906198756,0.03572140611919383,490.37965141735185,11,3.608503843414398e-98,3.6283212598052876,0.0002852701468881752
MC draw 44,0.07992338616620531,0.03748800497572724,427.1613187085095,11,1.0386611223102208e-84,3.927241827247648,8.592557593123096e-05
MC draw 45,0.08219223660612385,0.037009630417826345,519.8585505556985,11,1.8607862332798035e-104,3.8668183018449436,0.00011026451804554024
MC draw 46,0.07852912600522755,0.04219807764495309,455.8172235818056,11,8.322160552267022e-91,4.292351750476294,1.7679058608439812e-05
MC draw 47,0.07960197817410775,0.03717741164393484,479.873547472409,11,6.259643842810513e-96,4.091357786021915,4.2885490230417526e-05
MC draw 48,0.07967278997898664,0.039827187812140896,462.4744094502312,11,3.1831577097793496e-92,4.185740434871437,2.8423801455203017e-05
MC draw 49,0.08129745074067529,0.038045531472658545,457.48008894067607,11,3.6832784315682624e-91,4.041051760081759,5.3212010952941934e-05
MC draw 50,0.07994854481199087,0.03767910881376546,461.73027460076264,11,4.58470772687157e-92,4.052895463327903,5.058761055015196e-05
MC draw 51,0.07951156112837265,0.038866210519664435,393.81044041562564,11,1.2601966413128802e-77,3.796937073717996,0.00014649495719004578
MC draw 52,0.07880456909360212,0.037813827295916314,447.92929264011036,11,3.972971976011397e-89,3.93078048502731,8.467055202224716e-05
MC draw 53,0.07982697810894879,0.03973199250479342,408.4991487648804,11,9.594717285098497e-81,3.9614662923709494,7.449089931715818e-05
MC draw 54,0.07946243243312856,0.04120948931467461,413.1040735807983,11,1.0089855718142862e-81,4.086926579780405,4.371253762940267e-05
MC draw 55,0.07988420016479636,0.03602072572793302,446.04431931876024,11,1.0005251576143316e-88,3.872296605910093,0.00010781463685079045
MC draw 56,0.07955369705835469,0.03598828305928048,452.68770892353496,11,3.8583122136018717e-90,3.841845859240852,0.0001221125165572135
MC draw 57,0.07810149625881402,0.03955569724004715,441.37537032490945,11,9.853862870879624e-88,4.079159856981028,4.519874970511729e-05
MC draw 58,0.07907644800946911,0.03738726975971651,466.925857686947,11,3.5882112078952277e-93,4.089970238819075,4.31428543840884e-05
MC draw 59,0.07927835338307354,0.03801638359855197,419.4154425957677,11,4.601259509740625e-83,3.8935972635544265,9.876857476598226e-05
MC draw 60,0.08221162066577914,0.03560434772348586,507.785913858148,11,7.0064219458953936e-102,3.6834105458799686,0.00023013406708277272
MC draw 61,0.0828538265300911,0.03498901521819231,511.4068588331138,11,1.1831766453577192e-102,3.671054741904079,0.00024155159292779866
MC draw 62,0.08221715055826784,0.03714072570495175,507.2212558326064,11,9.245799147821558e-102,3.885803443223045,0.00010199200609757215
MC draw 63,0.07855845677214823,0.04055929783945866,395.06055884817033,11,6.841333490684613e-78,3.8216498029626003,0.00013256184876246958
MC draw 64,0.07899241512075439,0.03773128594490216,420.841963463703,11,2.289367369710972e-83,3.810780352523144,0.00013852881169631984
MC draw 65,0.08249114429717397,0.036655186256889793,512.7667093887649,11,6.066400166076032e-103,3.8492965054126853,0.00011845754715141687
MC draw 66,0.08034986786827303,0.03691861351214165,451.8808924151017,11,5.729604825854382e-90,3.9187340417426704,8.901526927204619e-05
MC draw 67,0.0785285524401893,0.03651160920678076,454.9753104892079,11,1.2573557739191614e-90,3.9262764791595988,8.627098675837337e-05
MC draw 68,0.07875822375139052,0.03880639833159316,453.1988982144685,11,3.0032384660318215e-90,4.14505231527235,3.3973613740372734e-05
MC draw 69,0.07876990401852046,0.03841011570825614,452.51513516137493,11,4.198841129359394e-90,4.102631468304936,4.084776105460173e-05
MC draw 70,0.0793598690530174,0.039207183781818755,465.487400263155,11,7.26492652593109e-93,4.205380305460156,2.6064350260690853e-05
MC draw 71,0.0823580422865392,0.03701017441622523,516.1022757471219,11,1.1782679545376545e-103,3.8830596048667987,0.00010315026972810702
MC draw 72,0.08242386777370991,0.03678780924291247,500.2873341854356,11,2.785053586911549e-100,3.829836182927835,0.0001282285934105078
MC draw 73,0.0802532307299968,0.04009570287069919,445.13018898748123,11,1.565805286272326e-88,4.1017893887441215,4.099673533765636e-05
MC draw 74,0.0825163182448656,0.0354178365600597,499.09965322661446,11,4.990095961956207e-100,3.6299831452062006,0.0002834397273178469
MC draw 75,0.08219968929571475,0.03636471005536601,520.2382439935463,11,1.5440751640619524e-104,3.8140499174103293,0.00013670783630245406
MC draw 76,0.08221336143928948,0.037720928464339276,501.0891639918991,11,1.8786053896568104e-100,3.92311645618359,8.74108725058903e-05
MC draw 77,0.0787600726522859,0.03776602790009431,478.95060333223955,11,9.845048730126308e-96,4.155749954433731,3.2422226410093286e-05
MC draw 78,0.08222203913583792,0.03513257551449234,484.27628055385867,11,7.215762145717736e-97,3.560162745656268,0.0003706250275356807
MC draw 79,0.07969612845607732,0.04055774393314804,454.40237183120917,11,1.6650167164304223e-90,4.277598475853911,1.889203913405356e-05
MC draw 80,0.07871189385570021,0.04026263784212192,436.94478672718105,11,8.631165342581083e-87,4.076166903007546,4.5784162112353104e-05
MC draw 81,0.07901136207575132,0.039362027754479834,431.0674986356389,11,1.534489512973042e-85,3.929926471830722,8.497184157723136e-05
MC draw 82,0.082198025529725,0.03590833400164717,511.28134893546667,11,1.2584208930543803e-102,3.701239701263064,0.000214548677720504
MC draw 83,0.08221022453340177,0.03819755630804478,517.5313376320919,11,5.838617956813535e-104,3.9851867425034824,6.742707698134998e-05
MC draw 84,0.08238314149713,0.037626378604642685,508.5552018694725,11,4.801691936172788e-102,3.9372882515327063,8.240759454236983e-05
MC draw 85,0.07931461916888116,0.03909496093010589,467.25895891126856,11,3.0474294367457485e-93,4.1437682227649155,3.416450507293416e-05
MC draw 86,0.07951566419759137,0.04060171070334384,452.61520622884564,11,3.997877617361208e-90,4.30194622808834,1.693044036847395e-05
MC draw 87,0.08236532331512159,0.035560209670512766,525.2856605645502,11,1.292506359574637e-105,3.7379600633700196,0.00018551940614913067
MC draw 88,0.07944779722815398,0.03891943260894426,473.79720787525,11,1.233704489868856e-94,4.214759295639944,2.5004472625646217e-05
MC draw 89,0.07912384895823399,0.038189491150382504,472.4437300127538,11,2.3963385750185723e-94,4.1891104656784455,2.8005005858559565e-05
MC draw 90,0.07866397855809937,0.03925874669864249,446.0833042375234,11,9.815955358715046e-89,4.103645634709873,4.0669024332534475e-05
MC draw 91,0.07903567799206423,0.03815786627303619,486.87926456805144,11,2.0113339387010655e-97,4.220963173109437,2.4326067981645446e-05
MC draw 92,0.07880888713225165,0.037505602966829144,477.5361356486683,11,1.9706516983242783e-95,4.092646030710873,4.264784924491125e-05
MC draw 93,0.07943544066512231,0.041340994045340196,420.46000880547217,11,2.759877984150146e-83,4.139294446446199,3.4837558453357836e-05
MC draw 94,0.08048069991227935,0.03781379129460738,453.2688179124598,11,2.90206472320799e-90,4.0527753020982695,5.061360962714679e-05
MC draw 95,0.0788017416938116,0.038882331414980875,443.15822326875787,11,4.1144057341979715e-88,4.097781806551628,4.171281894181348e-05
MC draw 96,0.07801604214849234,0.04238708210563957,487.9440175145428,11,1.1926899332817268e-97,4.539916082948308,5.627662168093778e-06
MC draw 97,0.07912787604506066,0.038085272457912156,461.3765352113405,11,5.4529803450740414e-92,4.06038489959106,4.899188456101572e-05
MC draw 98,0.07922542090015894,0.03638701228036767,418.6841475551919,11,6.580840330027348e-83,3.6295198598183434,0.0002839488857872529
MC draw 99,0.07931089871677288,0.039073288937807704,458.50462753905595,11,2.2290067776091905e-91,4.150819723164069,3.312866345132615e-05
MC draw 100,0.07989845184196775,0.039259017320407485,461.54101423987595,11,5.030501685815323e-92,4.2210894186999735,2.4312446316055664e-05
