model_name,theta_score
abacusai/MM-OV-bagel-DPO-34b-c1000-250,1.8960981
davidkim205/Rhea-72b-v0.5,1.8887008
SF-Foundation/Ein-70B-v2,1.8847858
jondurbin/bagel-34b-v0.2,1.883274
tenyx/Llama3-TenyxChat-70B,1.8819631
davidkim205/Rhea-72b-v0.3,1.8539699
ConvexAI/Luminex-34B-v0.1,1.8521501
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Linear,1.845543
abacusai/MM-Orc-Vic-bagel-34b-c1000,1.8417144
kyujinpy/PlatYi-34B-Llama-Q-v2,1.8200818
brucethemoose/CapyTessBorosYi-34B-200K-DARE-Ties,1.8150845
wenbopan/Faro-Yi-34B,1.814637
wenbopan/Faro-Yi-34B-200K,1.8059337
shenzhi-wang/Llama3-70B-Chinese-Chat,1.8028786
mncai/yi-34B-v3,1.7958705
Azure99/blossom-v5-34b,1.79061
mncai/yi-34B-v2,1.7816261
jondurbin/nontoxic-bagel-34b-v0.2,1.7800213
SUSTech/SUS-Chat-34B,1.7635705
migtissera/Tess-34B-v1.5b,1.7609884
kyujinpy/PlatYi-34B-200k-Q-FastChat,1.7549756
SF-Foundation/Ein-72B-v0.12,1.7472943
ibivibiv/alpaca-dragon-72b-v1,1.7461331
migtissera/Tess-2.0-Llama-3-70B,1.7438909
binbi/Ein-72B-v0.1,1.7289349
abacusai/Smaug-72B-v0.1,1.725551
abacusai/Smaug-70B-v0.1,1.7233006
SF-Foundation/Ein-72B-v0.13,1.7212437
SF-Foundation/Ein-72B-v0.11,1.7202065
01-ai/Yi-34B,1.7017317
KnutJaegersberg/Deacon-34b-Adapter,1.6983037
KnutJaegersberg/Deacon-34b-qlora-adapter,1.6864148
jondurbin/airoboros-70b-3.3,1.6789371
moreh/MoMo-72B-lora-1.8.7-DPO,1.6786635
moreh/MoMo-70B-lora-1.8.6-DPO,1.6724349
migtissera/Tess-2.0-Llama-3-70B-v0.2,1.6680591
moreh/MoMo-70B-lora-1.8.5-DPO,1.6639024
adamo1139/yi-34b-200k-rawrr-dpo-1,1.6621267
ValiantLabs/Llama3-70B-Fireplace,1.6487703
adamo1139/yi-34b-200k-rawrr-dpo-2,1.6424211
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties,1.6423537
dfurman/Llama-3-70B-Orpo-v0.1,1.641295
moreh/MoMo-72B-LoRA-V1.4,1.6393744
meta-llama/Meta-Llama-3-70B,1.6351149
logicker/SkkuDS-DPO-72B-v1,1.6350019
adamo1139/Yi-34B-200K-rawrr1-LORA-DPO-experimental-r3,1.6216551
Qwen/Qwen1.5-72B-Chat,1.6087443
Locutusque/Hyperion-2.0-Yi-34B,1.6073997
Azure99/blossom-v5.1-34b,1.6030039
moreh/MoMo-70B-LoRA-V1.4,1.5990227
logicker/SkkuDS-DPO-72B-v3,1.5969771
Qwen/Qwen2-beta-72B,1.5918983
abacusai/Smaug-2-72B,1.5900347
adamo1139/Yi-34B-200K-AEZAKMI-v2,1.5893276
Locutusque/Hyperion-3.0-Yi-34B,1.5836184
abacusai/Liberated-Qwen1.5-72B,1.5815896
APMIC/caigun-lora-model-34B-v2,1.580939
jondurbin/bagel-dpo-34b-v0.5,1.5804623
jondurbin/bagel-34b-v0.5,1.5778787
Qwen/Qwen1.5-72B,1.5774503
dreamgen/opus-v1-34b,1.5760036
Qwen/Qwen-72B,1.5496688
adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701,1.5493246
01-ai/Yi-34B-200K,1.5484703
adamo1139/Yi-34B-200K-HESOYAM-0905,1.5344206
APMIC/caigun-lora-model-34B-v3,1.5338182
adamo1139/Yi-34b-200K-rawrr-v2-run-0902-LoRA,1.5283624
01-ai/Yi-1.5-34B-Chat-16K,1.5179385
AbacusResearch/Jallabi-34B,1.5158263
migtissera/Tess-72B-v1.5b,1.5154111
01-ai/Yi-1.5-34B-32K,1.5062704
mistral-community/Mixtral-8x22B-v0.1,1.5005765
nvidia/Llama3-ChatQA-1.5-70B,1.4971014
Qwen/Qwen1.5-110B-Chat,1.4938966
01-ai/Yi-1.5-34B,1.4815836
mistralai/Mixtral-8x22B-Instruct-v0.1,1.4800222
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301,1.4778367
CausalLM/72B-preview-llamafied-qwen-llamafy,1.4718798
Locutusque/Hercules-4.0-Yi-34B,1.4702184
microsoft/Phi-3-medium-4k-instruct,1.4675143
migtissera/Tess-34B-v1.4,1.4641721
CausalLM/72B-preview,1.4636874
mistralai/Mixtral-8x22B-v0.1,1.4623481
unsloth/Phi-3-medium-4k-instruct,1.4504212
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301-LoRA,1.4418892
migtissera/Tess-2.0-Yi-34B-200K,1.434801
SUSTech/SUS-Chat-72B,1.4271543
abacusai/Llama-3-Giraffe-70B-Instruct,1.3726317
Azure99/blossom-v3_1-yi-34b,1.360144
JosephusCheung/Yee-34B-200K-Chat,1.3358729
01-ai/Yi-34B-Chat,1.3313135
jondurbin/airoboros-34b-3.3,1.3206462
abacusai/MetaMath-bagel-34b-v0.2-c1500,1.3168472
KnutJaegersberg/Deita-34b,1.3159858
abacusai/Llama-3-Giraffe-70B,1.3140717
jondurbin/bagel-34b-v0.4,1.3057023
jondurbin/airoboros-34b-3.2,1.298272
adamo1139/Yi-34B-200K-AEZAKMI-XLCTX-v3,1.2574488
DrNicefellow/ChatAllInOne-Yi-34B-200K-V1,1.241557
152334H/miqu-1-70b-sf,1.2212242
maywell/kiqu-70b,1.2098732
alchemonaut/QuartetAnemoi-70B-t0.0001,1.208416
ShinojiResearch/Senku-70B-Full,1.2042485
Undi95/Miqu-MS-70B,1.2023152
Undi95/Miqu-70B-Alpaca-DPO,1.2015421
Azure99/blossom-v4-yi-34b,1.2000374
cookinai/OrcaHermes-Mistral-70B-miqu,1.2000238
kyujinpy/PlatYi-34B-Llama-Q-v3,1.1926064
microsoft/Phi-3-medium-128k-instruct,1.1828473
TriadParty/deepmoney-34b-200k-base,1.1551611
TeeZee/2xbagel-dpo-34b-v0.2,1.1402824
adamo1139/Yi-34B-AEZAKMI-v1,1.1314367
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2901,1.1304129
NeverSleep/MiquMaid-v2-70B,1.1239253
migtissera/Tess-70B-v1.6,1.120254
alchemonaut/BoreanGale-70B,1.1126549
01-ai/Yi-1.5-34B-Chat,1.107117
NeverSleep/MiquMaid-v1-70B,1.101374
ontocord/phi-3-22b,1.0896446
kyujinpy/PlatYi-34B-200K-Q,1.0881052
gradientai/Llama-3-70B-Instruct-Gradient-262k,0.97829354
jukofyork/Dark-Miqu-70B,0.9216952
gradientai/Llama-3-70B-Instruct-Gradient-524k,0.87643033
jukofyork/Dusk-Miqu-70B,0.86341494
databricks/dbrx-base,0.8618761
jukofyork/Dawn-Miqu-70B,0.82070833
CohereForAI/c4ai-command-r-plus,0.77219206
databricks/dbrx-instruct,0.75440603
Mihaiii/Llama-3-pruned-45B-Drobeta-Turnu-Severin,0.7349597
ICBU-NPU/FashionGPT-70B-V1.1,0.73310393
Sao10K/WinterGoddess-1.4x-70B-L2,0.7230124
Riiid/sheep-duck-llama-2-70b-v1.1,0.7183509
ChuckMcSneed/ArcaneEntanglement-model64-70b,0.7147278
upstage/SOLAR-0-70b-16bit,0.7069887
upstage/Llama-2-70b-instruct-v2,0.706298
lloorree/kssht-dahj-70b,0.7030389
deepnight-research/llama-2-70B-inst,0.700048
AIDC-ai-business/Marcoroni-70B-v1,0.6935901
llmixer/BigWeave-v16-103b,0.6930546
ICBU-NPU/FashionGPT-70B-V1,0.69277966
Weyaxi/Qwen-72B-Llama,0.688113
ChuckMcSneed/Gembo-v1-70b,0.6773122
KaeriJenti/kaori-70b-v1,0.6768642
deepseek-ai/deepseek-llm-67b-chat,0.6720659
quantumaikr/llama-2-70b-fb16-guanaco-1k,0.6669609
ConvexAI/Luminex-72B-v0.1,0.6658186
s1ghhh/medllama-2-70b-qlora-1.1,0.6639928
ChuckMcSneed/Gembo-v1.1-70b,0.6546598
jondurbin/spicyboros-70b-2.2,0.65423083
ChuckMcSneed/SMaxxxer-v1-70b,0.65154815
ChuckMcSneed/PMaxxxer-v1-70b,0.64010483
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,0.63749444
jondurbin/airoboros-l2-70b-gpt4-2.0,0.63676655
jondurbin/airoboros-l2-70b-gpt4-m2.0,0.6331881
lloorree/kssht-castor-70b,0.632193
TheBloke/Genz-70b-GPTQ,0.62724257
Sao10K/Euryale-1.3-L2-70B,0.6202038
migtissera/Synthia-70B-v1.1,0.617651
Sao10K/Skadi-Mixtral-v1,0.6144257
chargoddard/MelangeA-70b,0.6116898
ICBU-NPU/FashionGPT-70B-V1.2,0.6095745
chargoddard/MelangeC-70b,0.6077755
lloorree/kssht-euripedes-70b,0.60723066
binbi/MoMo-70B-V1.2_1,0.60131043
chargoddard/MelangeB-70b,0.6010428
migtissera/Synthia-70B-v1.2,0.59966034
leejunhyeok/MoMo-70B-LoRA-V1.2_1,0.5994826
garage-bAInd/Platypus2-70B-instruct,0.59904563
deepseek-ai/deepseek-llm-67b-base,0.59895784
sophosympatheia/Aurora-Nights-70B-v1.0,0.59223455
jondurbin/airoboros-l2-70b-gpt4-1.4.1,0.5839529
upstage/Llama-2-70b-instruct,0.5769075
quantumaikr/quantumairk-llama-2-70B-instruct,0.57681006
yeontaek/llama-2-70B-ensemble-v5,0.5741038
Doctor-Shotgun/mythospice-70b,0.5715057
jondurbin/airoboros-l2-70b-2.2.1,0.569147
Doctor-Shotgun/mythospice-limarp-70b,0.56739146
itsliupeng/Mixtral-8x7B-v0.1-top3,0.5599554
OpenBuddy/openbuddy-deepseek-67b-v15.2,0.5587531
TheBloke/llama-2-70b-Guanaco-QLoRA-fp16,0.5577805
TheBloke/Platypus2-70B-Instruct-GPTQ,0.55102843
yeontaek/llama-2-70B-ensemble-v4,0.5494427
migtissera/SynthIA-70B-v1.5,0.5461763
jondurbin/airoboros-l2-70b-3.1.2,0.5342594
OpenBuddy/openbuddy-deepseek-67b-v15-base,0.53065103
KoboldAI/Mixtral-8x7B-Holodeck-v1,0.5192696
MaziyarPanahi/WizardLM-Math-70B-TIES-v0.1,0.51828706
TeeZee/Xwin-LM-70B-V0.1_Jannie,0.51825744
MayaPH/GodziLLa2-70B,0.5174378
llmixer/BigWeave-v15-103b,0.5068666
hfl/chinese-mixtral-instruct,0.5046997
OpenBuddy/openbuddy-mixtral-8x7b-v16.2-32k,0.5046295
Technoculture/Medmerge-tulu-70b,0.50363344
OpenBuddy/openbuddy-mixtral-7bx8-v16.3-32k,0.5007367
YeungNLP/firefly-mixtral-8x7b-v1,0.50004065
NousResearch/Nous-Hermes-Llama2-70b,0.49951047
YeungNLP/firefly-mixtral-8x7b-v0.1,0.49859062
sophosympatheia/Midnight-Rose-70B-v2.0.3,0.49854302
jordiclive/Llama-2-70b-oasst-1-200,0.49823838
mistralai/Mixtral-8x7B-v0.1,0.497463
allenai/tulu-2-dpo-70b,0.48587877
quantumaikr/llama-2-70b-fb16-orca-chat-10k,0.4830166
llmixer/BigWeave-v20-110b,0.48265195
bongchoi/test-llama2-70b,0.48207
TeeZee/Xwin-LM-70B-V0.1_Limarpv3,0.4791276
vistagi/Mixtral-8x7b-v0.1-sft,0.4774517
vistagi/Mixtral-8x7b-v0.1-dpo,0.47714418
liuxiang886/llama2-70B-qlora-gpt4,0.4760503
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,0.47529966
Sao10K/Sensualize-Mixtral-bf16,0.47434893
GOAT-AI/GOAT-70B-Storytelling,0.47391856
garage-bAInd/Platypus2-70B,0.47388503
MaziyarPanahi/WizardLM-Math-70B-v0.1,0.47127458
Xwin-LM/Xwin-LM-70B-V0.1,0.47064388
mistralai/Mixtral-8x7B-Instruct-v0.1,0.47016972
Sao10K/Typhon-Mixtral-v1,0.46953776
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,0.4686227
abhishek/autotrain-mixtral-8x7b-orpo-v1,0.4678255
meta-llama/Llama-2-70b-hf,0.4665283
ibivibiv/megamarcoroni-120b,0.45955753
OpenBuddy/openbuddy-mixtral-8x7b-v16.1-32k,0.45905203
chujiezheng/tulu-2-dpo-70b-ExPO,0.45761588
TheBloke/fiction.live-Kimiko-V2-70B-fp16,0.45685834
NousResearch/Nous-Puffin-70B,0.456098
TheBloke/Llama-2-70B-fp16,0.45449767
NeverSleep/Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss,0.4525097
quantumaikr/QuantumLM-llama2-70B-Korean-LoRA,0.4516641
cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO,0.45005262
meta-math/MetaMath-70B-V1.0,0.44766146
rufjdk5480/mixtral-ko-qna-merged,0.44610426
jondurbin/airoboros-l2-70b-2.1,0.44594252
OpenBuddy/openbuddy-deepseek-67b-v18.1-4k,0.44231465
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,0.43932405
KaeriJenti/kaori-34b-v3,0.42462674
garage-bAInd/Camel-Platypus2-70B,0.42121017
KaeriJenti/Kaori-34B-v1,0.4159644
migtissera/Tess-2.0-Mixtral-v0.2,0.41365778
elinas/chronos007-70b,0.40929863
TheBloke/Airoboros-L2-70B-2.1-GPTQ,0.40840846
OpenBuddy/openbuddy-deepseek-67b-v15.3-4k,0.40306604
ehartford/dolphin-2.2-70b,0.40242583
garage-bAInd/Dolphin-Platypus2-70B,0.3985264
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,0.39818752
dfurman/llama-2-70b-dolphin-peft,0.3980614
Swisslex/Mixtral-8x7b-DPO-v0.2,0.39739445
Swisslex/Mixtral-8x7b-DPO-v0.1,0.39735124
ibivibiv/strix-rufipes-70b,0.3959764
v2ray/LLaMA-2-Wizard-70B-QLoRA,0.38532108
abacusai/Smaug-Mixtral-v0.1,0.3804749
cognitivecomputations/mixtral-instruct-0.1-laser,0.3783032
chargoddard/MixtralRPChat-ZLoss,0.37416244
HIT-SCIR/Chinese-Mixtral-8x7B,0.37400505
OpenBuddy/openbuddy-deepseek-67b-v15.1,0.37285283
llm-agents/tora-70b-v1.0,0.37024763
cognitivecomputations/MegaDolphin-120b,0.36855033
PSanni/MPOMixtral-8x7B-Instruct-v0.1,0.3642979
migtissera/Synthia-70B,0.355188
smelborp/MixtralOrochi8x7B,0.3526763
tiiuae/falcon-180B,0.3526452
hfl/chinese-mixtral,0.35141808
chargoddard/mixtralmerge-8x7B-rebalanced-test,0.33953574
Sao10K/Euryale-L2-70B,0.33946314
Sao10K/Franziska-Mixtral-v1,0.3367809
abhishek/autotrain-mixtral-8x7b-orpo-v2,0.33495915
DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K,0.3345511
yeontaek/llama-2-70B-ensemble-v7,0.33418408
yeontaek/llama-2-70B-ensemble-v6,0.32516938
OpenBuddy/openbuddy-mixtral-7bx8-v17.1-32k,0.32306945
OpenBuddy/openbuddy-mixtral-7bx8-v17.3-32k,0.30823252
DiscoResearch/DiscoLM-70b,0.30346248
rhysjones/Phi-3-mini-mango-1,0.3031637
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.3,0.3019848
smelborp/MixtralOrochi8x7B-Alt,0.2989932
OpenBuddy/openbuddy-mixtral-8x7b-v15.4,0.29870152
yeontaek/llama-2-70B-ensemble-v2,0.29785755
yeontaek/llama-2-70B-ensemble-v3,0.29066244
unsloth/Phi-3-mini-4k-instruct,0.288883
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.2,0.28184438
microsoft/Phi-3-mini-4k-instruct,0.28009012
Ba2han/Llama-Phi-3_DoRA,0.26544937
cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,0.26121166
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.1,0.2559464
Zangs3011/mixtral_8x7b_MonsterInstruct,0.23752539
ehartford/Samantha-1.11-70b,0.23519124
BAAI/Aquila2-34B,0.23477724
01-ai/Yi-1.5-9B-Chat-16K,0.2251492
01-ai/Yi-1.5-9B,0.2226055
01-ai/Yi-1.5-9B-32K,0.21623746
microsoft/Phi-3-mini-128k-instruct,0.2151378
bunkalab/Phi-3-mini-128k-instruct-LinearBunkaScore-4.6k-DPO,0.19826603
alykassem/ds_diasum_md_mixtral,0.19770962
TheBloke/Mixtral-8x7B-v0.1-GPTQ,0.18905862
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,0.15472409
ddobokki/Llama-2-70b-orca-200k,0.14546004
DopeorNope/COKAL-v1-70B,0.14210074
OpenAssistant/llama2-70b-oasst-sft-v10,0.140608
dfurman/Mixtral-8x7B-peft-v0.1,0.1255882
nbeerbower/llama-3-stinky-8B,0.12094889
nbeerbower/llama-3-stella-8B,0.120408006
vicgalle/Configurable-Yi-1.5-9B-Chat,0.11719358
Hastagaras/llama-3-8b-okay,0.11718169
nbeerbower/llama-3-dragonmaid-8B-v2,0.11642066
martyn/mixtral-megamerge-dare-8x7b-v2,0.115508385
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3,0.11359363
mlabonne/ChimeraLlama-3-8B-v3,0.111161135
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,0.10720528
uygarkurt/llama-3-merged-linear,0.10285393
SJ-Donald/SJ-SOLAR-10.7b-DPO,0.09837502
01-ai/Yi-1.5-9B-Chat,0.09697299
MaziyarPanahi/Llama-3-8B-Instruct-v0.3,0.09679098
FairMind/Phi-3-mini-4k-instruct-bnb-4bit-Ita,0.094929986
nbeerbower/llama-3-stinky-v2-8B,0.09093019
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.2,0.09070071
nbeerbower/llama-3-slerp-kraut-dragon-8B,0.08901925
SJ-Donald/SOLAR-10.7B-slerp,0.08808353
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,0.087642945
MaziyarPanahi/Llama-3-8B-Instruct-v0.5,0.08727305
nbeerbower/llama-3-stella-truthy-dpo-8B,0.08659746
elinas/Llama-3-8B-Ultra-Instruct,0.08600703
nbeerbower/llama-3-gutenberg-8B,0.08532488
DeepMount00/Llama-3-8b-Ita,0.08514751
MaziyarPanahi/Llama-3-8B-Instruct-v0.2,0.08500753
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,0.08498854
nbeerbower/llama-3-wissenschaft-8B,0.083063625
VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,0.08302082
MaziyarPanahi/Llama-3-8B-Instruct-v0.1,0.08190757
nbeerbower/llama-3-sauce-v2-8B,0.08185953
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.4,0.080766015
TigerResearch/tigerbot-70b-chat-v4-4k,0.07983056
DeepMount00/Phi-3-Mini-4K-Boost,0.07618535
mlabonne/ChimeraLlama-3-8B-v2,0.075637914
CohereForAI/c4ai-command-r-v01,0.07186723
Undi95/Llama-3-LewdPlay-8B-evo,0.069531575
Zardos/nil_Llama-3-8B-Instruct_v0.1.0,0.06904268
Nhoodie/llama-3-sqrt-crocodile-v0.0A,0.06839035
grimjim/Llama-3-Instruct-demi-merge-8B,0.066834494
Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle,0.06430986
elinas/Llama-3-15B-Instruct-zeroed,0.060473394
hfl/llama-3-chinese-8b-instruct-v3,0.059596412
MaziyarPanahi/Llama-3-8B-Instruct-v0.4,0.0594945
nbeerbower/llama-3-spicy-abliterated-stella-8B,0.05707632
nbeerbower/llama-3-wissenschaft-8B-v2,0.0558455
elinas/Llama-3-15B-Instruct-zeroed-ft,0.051257666
Orenguteng/Llama-3-8B-Lexi-Uncensored,0.046860017
bongchoi/MoMo-70B-LoRA-V1.1,0.046316013
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,0.045903996
MaziyarPanahi/Llama-3-8B-Instruct-v0.7,0.04502245
NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS,0.04135738
LDCC/LDCC-SOLAR-10.7B,0.039858304
macadeliccc/Orca-SOLAR-4x10.7b,0.03938306
macadeliccc/SOLAR-math-2x10.7b,0.03686549
Orenguteng/Lexi-Llama-3-8B-Uncensored,0.03627926
rmihaylov/Llama-3-DARE-v1-8B,0.033794925
Walmart-the-bag/Llama-3-LizardCoder-8B,0.025104156
vicgalle/Configurable-Llama-3-8B-v0.1,0.02499949
vicgalle/Configurable-Llama-3-8B-v0.2,0.023742016
grimjim/llama-3-merge-pp-instruct-8B,0.02346034
NeverSleep/Llama-3-Lumimaid-8B-v0.1,0.02245599
tokyotech-llm/Swallow-70b-instruct-hf,0.019617923
Aratako/c4ai-command-r-v01-japanese-instruct,0.019384148
yeontaek/llama-2-70b-IA3-guanaco,0.019000607
grimjim/llama-3-merge-avalon-8B,0.017265469
mlabonne/ChimeraLlama-3-8B,0.016342945
Open-Orca/Mixtral-SlimOrca-8x7B,0.013883401
Kukedlc/SmartLlama-3-8B-MS-v0.1,0.012488807
PracticeLLM/SOLAR-tail-10.7B-Merge-v1.0,0.011093197
elinas/Llama-3-15B-Instruct-ft-v2,0.01089456
win10/Meta-Llama-3-15B-Instruct,0.009891065
Xwin-LM/Xwin-Math-70B-V1.0,0.0085259685
Sao10K/Test-Instruct-Solar-v1,0.006857451
Undi95/Llama-3-Unholy-8B,0.0059379498
OpenLemur/lemur-70b-chat-v1,0.0043849805
vicgalle/Configurable-Llama-3-8B-v0.3,0.0042508543
rmihaylov/Llama-3-DARE-v2-8B,0.003326689
Kquant03/BurningBruce-SOLAR-8x10.7B-bf16,-0.0012774274
DopeorNope/SOLARC-MOE-10.7Bx6,-0.001747414
meta-llama/Meta-Llama-3-8B-Instruct,-0.003582715
mlabonne/Llama-3-8B-Instruct-abliterated-dpomix,-0.0037806395
kyujinpy/Sakura-SOLAR-Instruct-DPO-v2,-0.0051214565
rhysjones/Phi-3-mini-mango-1-llamafied,-0.0070181973
vonjack/phi-3-mini-4k-instruct-llamafied,-0.007422284
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1,-0.007964011
vicgalle/ConfigurableSOLAR-10.7B,-0.009860634
NousResearch/Meta-Llama-3-8B-Instruct,-0.011446068
macadeliccc/SOLAR-math-2x10.7b-v0.2,-0.011879169
DopeorNope/SOLARC-M-10.7B,-0.012089095
Replete-AI/Llama-3-11.5B-Instruct-v2,-0.012476569
kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP,-0.013452544
NotAiLOL/Boundary-Meta-Llama-3-2x8B-MoE,-0.013500422
bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,-0.013747772
raincandy-u/Llama-3-Aplite-Instruct-4x8B,-0.014213615
vicgalle/Unsafe-Llama-3-8B,-0.014819677
macadeliccc/SOLAR-10.7b-Instruct-dpo,-0.014839625
naseerfaheem/SOLAR-10.7B-Instruct-ties,-0.014880173
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,-0.015188964
Undi95/Llama-3-LewdPlay-8B,-0.015231474
kyujinpy/Sakura-SOLAR-Instruct,-0.015540801
invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,-0.016014172
cloudyu/Mixtral_11Bx2_MoE_19B,-0.01632361
kodonho/SolarM-SakuraSolar-SLERP,-0.017665006
Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1,-0.017794596
saucam/aqua-smaug-0.3-8B,-0.018343449
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,-0.018453324
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,-0.018712586
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test,-0.019964142
dddsaty/SOLAR-Instruct-ko-Adapter-Attach,-0.020176345
pinkyponky/SOLAR-10.7B-dpo-instruct-tuned-v0.1,-0.020195322
DopeorNope/SOLARC-MOE-10.7Bx4,-0.020606881
abhishekchohan/SOLAR-10.7B-Instruct-Forest-DPO-v1,-0.021352435
raincandy-u/Llama-3-Aplite-Instruct-4x8B-MoE,-0.022298021
upstage/SOLAR-10.7B-Instruct-v1.0,-0.024135297
abhishek/autotrain-mixtral7x8b-math,-0.024189377
rmihaylov/Llama-3-DARE-v3-8B,-0.024695192
dddsaty/Merge_Sakura_Solar,-0.026808882
mlabonne/Meta-Llama-3-12B-Instruct,-0.02910491
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-n128-v3,-0.029828418
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-v2,-0.030747864
PathFinderKR/Waktaverse-Llama-3-KO-8B-Instruct,-0.03214624
Undi95/Llama-3-8B-Instruct-OAS,-0.035501417
bhavinjawade/SOLAR-10B-Nector-DPO-Jawade,-0.037101537
fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,-0.039516024
raincandy-u/phillama-3.8b-v0.1,-0.04178885
dillfrescott/Nous-Hermes-2-SOLAR-10.7B-x2-MoE,-0.043125317
