subject,domain_group,n_items,R2_insample,R2_adjusted,R2_cv,R2_cv_sd,reported
college_computer_science,STEM,100,0.14934406750423346,0.06427847425465683,-0.20018354692997903,0.3782416868977529,True
logical_fallacies,Non-STEM,163,0.13172818104754735,0.08065336816799129,-0.20644992800715517,0.4766389043803194,True
abstract_algebra,STEM,100,0.180230665152608,0.09825373166786877,-0.2064801763727023,1.4212480162447574,True
college_mathematics,STEM,100,0.10907581605640415,0.0199833976620446,-0.20850165039257818,0.2597072710279829,True
high_school_us_history,Non-STEM,204,0.0386480871639544,-0.0059507129160683014,-0.2187898263624677,0.4429050024850621,True
high_school_government_and_politics,Non-STEM,193,0.07555837894087669,0.030094036921575418,-0.23456690512879255,0.3497763740321308,True
management,Non-STEM,103,0.14671939406125367,0.0641438515510524,-0.24447447553337565,0.4763538106697812,True
college_biology,STEM,144,0.06774279891087798,0.005128509285489136,-0.2514335839700896,0.391009184964001,True
human_sexuality,Non-STEM,131,0.05324190095207726,-0.0171781229440493,-0.2644986923952191,0.3388225009436162,True
global_facts,Non-STEM,100,0.07267697613277613,-0.020055326253946237,-0.3415440788809237,0.3298172709531543,True
computer_security,STEM,100,0.16413427890331256,0.08054770679364387,-0.35112143031807946,0.8377161982178886,True
international_law,Non-STEM,121,0.11018681459154667,0.038039799558428844,-0.3521171656689126,0.6917504339437437,True
business_ethics,Non-STEM,100,0.2000303562521044,0.12003339187731477,-0.35556467133172925,0.8818234568063005,True
world_religions,Non-STEM,171,0.03762432006933547,-0.01617307818765834,-0.3867008993617227,2.1958465578372093,True
jurisprudence,Non-STEM,108,0.07188043125224552,-0.013355039347038078,-0.5955438034598043,1.6633136274993787,True
us_foreign_policy,Non-STEM,100,0.09863136352506818,0.008494499877575112,-0.738871788020553,1.9363268071870148,True
