model_name,family,size_b,coarse_cluster,fine_cluster,accuracy_overall,accuracy_stem,accuracy_nonstem,rank_overall,rank_stem,rank_nonstem
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-v2,llama,8.0,llama:4-9B,llama-3-8b-instruct-ortho-baukit-toxic,0.65375304,0.5645417,0.6795849,473,430,491
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,llama,8.0,llama:4-9B,meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,0.6326734,0.53250873,0.66167694,628,636,619
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-2fail-128total,llama,8.0,llama:4-9B,meta-llama-3-8b-instruct-hf-ortho-baukit-2fail-128total,0.6486968,0.5540755,0.6760951,526,520,527
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total-bf16,llama,8.0,llama:4-9B,meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total,0.64620423,0.5483666,0.6745339,538,550,538
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-500total,llama,8.0,llama:4-9B,meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-500total,0.6465603,0.5562956,0.67269725,536,500,549
FairMind/Llama-3-8B-4bit-UltraChat-Ita,llama,8.0,llama:4-9B,llama-3-8b-4bit-ultrachat-ita,0.625267,0.5448779,0.64854443,653,570,669
FairMind/Phi-3-mini-4k-instruct-bnb-4bit-Ita,phi,,phi:unknown,phi-3-mini-4k-instruct-bnb-4bit-ita,0.6725538,0.58547413,0.6977684,357,280,362
Faradaylab/ARIA-70B-V3,unclassified,70.0,unclassified:40-80B,aria-70b,0.6374448,0.52933717,0.66874826,592,652,580
Faradaylab/Aria-70B,unclassified,70.0,unclassified:40-80B,aria-70b,0.63067937,0.5220425,0.6621361,635,675,613
FelixChao/Llama-3-Petro-Instruct-v1,llama,,llama:unknown,llama-3-petro-instruct,0.62512463,0.5363146,0.6508403,654,612,657
FelixChao/vicuna-33b-coder,llama,33.0,llama:16-40B,vicuna-33b-coder,0.5692209,0.43894702,0.6069428,770,818,760
FuseAI/OpenChat-3.5-7B-Mixtral,mixtral,7.0,mixtral:4-9B,openchat-3-5-7b-mixtral,0.63345677,0.5242626,0.6650748,622,667,597
FuseAI/OpenChat-3.5-7B-Solar,solar,7.0,solar:4-9B,openchat-3-5-7b-solar,0.63288707,0.5226768,0.66479933,626,672,598
GOAT-AI/GOAT-70B-Storytelling,unclassified,70.0,unclassified:40-80B,goat-70b-storytelling,0.6937046,0.57881385,0.72697216,296,326,284
GeorgiaTechResearchInstitute/galpaca-30b,llama,30.0,llama:16-40B,galpaca-30b,0.40371743,0.3942277,0.40646523,861,848,863
Gryphe/Pantheon-RP-1.0-8b-Llama-3,llama,8.0,llama:4-9B,pantheon-rp-1-0-8b-llama-3,0.6522575,0.5645417,0.67765635,496,430,518
Gryphe/Tiamat-8b-1.2-Llama-3-DPO,llama,8.0,llama:4-9B,tiamat-8b-1-2-llama-3-dpo,0.6432132,0.54741514,0.6709523,558,555,565
HIT-SCIR/Chinese-Mixtral-8x7B,mixtral,56.0,mixtral:40-80B,chinese-mixtral-8x7b,0.6984048,0.60989535,0.7240334,265,205,296
Hastagaras/llama-3-8b-okay,llama,8.0,llama:4-9B,llama-3-8b-okay,0.672625,0.5835712,0.6984112,356,289,359
Henk717/airochronos-33B,unclassified,33.0,unclassified:16-40B,airochronos-33b,0.5907278,0.4887409,0.620259,725,736,731
Henk717/chronoboros-33B,unclassified,33.0,unclassified:16-40B,chronoboros-33b,0.5870246,0.4817634,0.6175039,736,743,734
ICBU-NPU/FashionGPT-70B-V1,unclassified,70.0,unclassified:40-80B,fashiongpt-70b,0.7071642,0.5873771,0.7418496,207,272,204
ICBU-NPU/FashionGPT-70B-V1.1,unclassified,70.0,unclassified:40-80B,fashiongpt-70b,0.7162085,0.5934031,0.7517678,184,258,182
ICBU-NPU/FashionGPT-70B-V1.2,unclassified,70.0,unclassified:40-80B,fashiongpt-70b,0.703105,0.5826197,0.73799247,240,296,223
Iker/Llama-3-Neurona-8b,llama,8.0,llama:4-9B,llama-3-neurona-8b,0.60133886,0.5264827,0.62301403,712,664,722
Isotonic/Hermes-2-Pro-Mixtral-4x7B,mixtral,28.0,mixtral:16-40B,hermes-2-pro-mixtral-4x7b,0.610668,0.51189345,0.639269,699,703,699
Isotonic/TinyMixtral-4x248M-MoE,mixtral,0.248,mixtral:<1B,tinymixtral-4x248m-moe,0.25032046,0.23818585,0.25383416,953,967,945
Joseph717171/SOLAR-19.2B-Instruct-v1.0,solar,19.2,solar:16-40B,solar-19-2b-instruct,0.6279732,0.5340945,0.65515655,643,624,645
Josephgflowers/Phi-3-mini-4k-instruct-Cinder-llamafied-with-16bit-GGUF,llama,,llama:unknown,phi-3-mini-4k-instruct-cinder-llamafied-with-16bit,0.6039026,0.5334602,0.62429976,710,629,720
JosephusCheung/Yee-34B-200K-Chat,unclassified,34.0,unclassified:16-40B,yee-34b-200k-chat,0.7518872,0.6504916,0.78124714,152,167,144
KaeriJenti/Kaori-34B-v1,unclassified,34.0,unclassified:16-40B,kaori-34b,0.7019655,0.60640657,0.7296354,247,218,260
KaeriJenti/Kaori-34b-v2,unclassified,34.0,unclassified:16-40B,kaori-34b,0.25744197,0.26228988,0.2560382,939,939,939
KaeriJenti/kaori-34b-v3,unclassified,34.0,unclassified:16-40B,kaori-34b,0.70103973,0.6095782,0.7275232,252,207,281
KaeriJenti/kaori-34b-v4,unclassified,34.0,unclassified:16-40B,kaori-34b,0.25744197,0.26228988,0.2560382,939,939,939
KaeriJenti/kaori-70b-v1,unclassified,70.0,unclassified:40-80B,kaori-70b,0.7055263,0.59594035,0.7372578,214,251,225
KeyonZeng/lion-gemma-2b,gemma,2.0,gemma:1-4B,lion-gemma-2b,0.55804014,0.49254677,0.5770043,781,733,788
KnutJaegersberg/Deacon-34b-Adapter,unclassified,34.0,unclassified:16-40B,deacon-34b-adapter,0.7632816,0.6787187,0.78776747,119,117,118
KnutJaegersberg/Deacon-34b-qlora-adapter,unclassified,34.0,unclassified:16-40B,deacon-34b-qlora-adapter,0.7634952,0.6815731,0.7872165,118,110,120
KnutJaegersberg/Deita-34b,unclassified,34.0,unclassified:16-40B,deita-34b,0.7595784,0.7044085,0.7755533,127,47,157
KnutJaegersberg/Galpaca-30b-MiniOrca,llama,30.0,llama:16-40B,galpaca-30b-miniorca,0.4235864,0.40247384,0.4296997,850,845,852
KnutJaegersberg/Walter-Falcon-1B,falcon,1.0,falcon:1-4B,walter-falcon-1b,0.24554907,0.24579765,0.24547708,962,957,959
KnutJaegersberg/Walter-SOLAR-11B,solar,11.0,solar:9-16B,walter-solar-11b,0.64235866,0.5442436,0.6707687,566,574,566
KnutJaegersberg/YaYi-30b-EverythingLM,unclassified,30.0,unclassified:16-40B,yayi-30b-everythinglm,0.6905711,0.6495401,0.702452,324,171,350
KnutJaegersberg/falcon-1b-t-sft,falcon,1.0,falcon:1-4B,falcon-1b-t-sft,0.2543085,0.25721535,0.2534668,944,945,946
KoboldAI/Mixtral-8x7B-Holodeck-v1,mixtral,56.0,mixtral:40-80B,mixtral-8x7b-holodeck,0.7036747,0.61560416,0.7291762,233,195,264
KoboldAI/OPT-30B-Erebus,opt,30.0,opt:16-40B,opt-30b-erebus,0.24683094,0.25404376,0.2447424,960,952,960
Kquant03/BurningBruce-SOLAR-8x10.7B-bf16,solar,85.6,solar:>80B,burningbruce-solar-8x10-7b,0.6528272,0.55724704,0.68050325,489,487,477
Kukedlc/LLama-3-8b-Maths,llama,8.0,llama:4-9B,llama-3-8b-maths,0.6498362,0.5537583,0.67765635,520,525,518
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,llama,8.0,llama:4-9B,neuralllama-3-8b-dt,0.6715568,0.57754517,0.69877857,358,338,358
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,llama,8.0,llama:4-9B,neuralllama-3-8b-orpo,0.670631,0.5778624,0.6974929,359,333,363
Kukedlc/Smart-LLaMa-3-8b-Python-v4,llama,8.0,llama:4-9B,smart-llama-3-8b-python,0.651759,0.5607358,0.67811555,508,462,511
Kukedlc/Smart-LLama-3-8b-Python-v5,llama,8.0,llama:4-9B,smart-llama-3-8b-python,0.64193135,0.5553441,0.6670034,568,507,589
Kukedlc/SmartLlama-3-8B-MS-v0.1,llama,8.0,llama:4-9B,smartllama-3-8b-ms,0.66301095,0.5673961,0.690697,406,401,413
LDCC/LDCC-SOLAR-10.7B,solar,10.7,solar:9-16B,ldcc-solar-10-7b,0.66187155,0.56137013,0.69097257,412,456,411
LLMs/WizardLM-30B-V1.0,unclassified,30.0,unclassified:16-40B,wizardlm-30b,0.58752316,0.46875992,0.621912,732,756,725
LeroyDyer/Mixtral_AI_128k,mixtral,,mixtral:unknown,mixtral-ai-128k,0.6286142,0.53821754,0.6547892,639,601,646
LeroyDyer/Mixtral_AI_128k_b,mixtral,,mixtral:unknown,mixtral-ai-128k-b,0.6264065,0.53250873,0.6535954,650,636,649
LeroyDyer/Mixtral_AI_128k_bioMedical,mixtral,,mixtral:unknown,mixtral-ai-128k-biomedical,0.6259792,0.53092295,0.65350354,652,644,650
LeroyDyer/Mixtral_AI_CyberBrain_3_0,mixtral,,mixtral:unknown,mixtral-ai-cyberbrain-3-0,0.6226321,0.5347288,0.64808524,661,620,671
LeroyDyer/Mixtral_AI_CyberBrain_Coder,mixtral,,mixtral:unknown,mixtral-ai-cyberbrain-coder,0.537103,0.4475103,0.56304526,808,810,803
