model_name,theta_stem,theta_nonstem,theta_stem_z,theta_nonstem_z,gap_z
AIGym/deepseek-coder-1.3b-chat-and-function-calling,-1.5651331,-1.8676052,-1.511,-1.6908578,0.17985773
AIGym/deepseek-coder-6.7b-chat,-1.3154672,-1.5543449,-1.2482848,-1.4033046,0.15501976
AIGym/deepseek-coder-6.7b-chat-and-function-calling,-1.3254554,-1.56364,-1.2587951,-1.4118369,0.15304172
APMIC/caigun-lora-model-33B,-1.8254335,-2.0815036,-1.7849056,-1.8872029,0.102297306
APMIC/caigun-lora-model-34B-v2,1.3687136,1.6566613,1.5761901,1.5441959,0.031994224
APMIC/caigun-lora-model-34B-v3,1.2866826,1.6277525,1.4898716,1.5176595,-0.027787924
AbacusResearch/Jallabi-34B,1.4918175,1.5188799,1.7057283,1.4177213,0.28800702
Aeala/GPT4-x-AlpacaDente-30b,-0.8644436,-0.7561635,-0.77368754,-0.6706245,-0.10306305
Aeala/GPT4-x-AlpacaDente2-30b,-0.8062849,-0.67439115,-0.71248907,-0.5955627,-0.11692637
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,0.25296834,0.461837,0.40212816,0.44742286,-0.045294702
Aratako/c4ai-command-r-v01-japanese-instruct,-0.21713305,0.08716362,-0.092544004,0.1034964,-0.1960404
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,-0.8611685,-0.6529367,-0.77024126,-0.57586884,-0.19437242
Aspik101/llama-30b-2048-instruct-PL-lora_unload,-0.57994556,-0.41077965,-0.47431964,-0.35358402,-0.120735615
Aspik101/llama-30b-instruct-2048-PL-lora,-0.5898605,-0.43718615,-0.4847528,-0.37782353,-0.10692927
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,-0.39226365,-0.4179649,-0.27682814,-0.36017963,0.08335149
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,-0.17455459,-0.13292708,-0.047740098,-0.09853293,0.050792832
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,-0.9366542,-1.117177,-0.8496724,-1.0020121,0.15233976
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,-0.11251063,-0.065743506,0.017546713,-0.036862664,0.054409377
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,-0.18508244,-0.03265359,-0.058818206,-0.006488212,-0.052329995
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,-0.890261,-0.9630296,-0.8008543,-0.8605145,0.059660196
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,-0.20627631,-0.029843405,-0.08111983,-0.0039086407,-0.07721119
AwanLLM/Llama-3-8B-Cumulus-v0.1,-0.45259818,-0.43180534,-0.34031624,-0.37288427,0.032568038
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,-0.18070473,-0.080882035,-0.054211687,-0.050758876,-0.0034528114
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,-0.21733876,-0.116221376,-0.092760466,-0.08319815,-0.009562314
Azure99/blossom-v3_1-yi-34b,1.1999998,1.4601579,1.3986582,1.3638183,0.03483987
Azure99/blossom-v4-yi-34b,0.98454136,1.2687675,1.1719383,1.188134,-0.016195655
Azure99/blossom-v5-34b,1.4347911,1.9421974,1.6457213,1.8063,-0.16057873
Azure99/blossom-v5.1-34b,1.7952561,1.5649549,2.0250268,1.4600153,0.5650115
BAAI/Aquila2-34B,0.052902427,0.27705717,0.19160542,0.27780667,-0.08620125
BEE-spoke-data/Meta-Llama-3-8Bee,-0.27240998,-0.12640983,-0.15071009,-0.09255051,-0.058159582
BEE-spoke-data/Mixtral-GQA-400m-v2,-1.5611492,-1.8917942,-1.5068079,-1.7130617,0.20625377
Ba2han/Llama-Phi-3_DoRA,0.35322925,0.26566547,0.5076294,0.2673498,0.24027959
BarraHome/llama-3-orpo-v1-merged_16bit,-1.734003,-1.9994131,-1.6886961,-1.8118491,0.12315297
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,0.2975755,0.51161915,0.44906682,0.49311975,-0.04405293
CalderaAI/30B-Epsilon,-0.81103694,-0.7659956,-0.7174895,-0.6796498,-0.03783971
CalderaAI/30B-Lazarus,-0.8392784,-0.7668896,-0.74720705,-0.68047035,-0.0667367
CallComply/SOLAR-10.7B-Instruct-v1.0-128k,-0.78158575,-0.7290042,-0.68649894,-0.645694,-0.040804923
Cartinoe5930/SOLAR-DUS-implement,-0.4438505,-0.3417097,-0.3311113,-0.29018217,-0.04092914
CausalLM/34b-beta,3.1482549,3.2039802,3.4487426,2.964537,0.48420572
CausalLM/72B-preview,1.5261276,1.4745457,1.7418317,1.3770254,0.3648063
CausalLM/72B-preview-canary-llamafied-qwen-llamafy-unbias-qkv,0.023280377,-0.08010037,0.16043511,-0.05004136,0.21047647
CausalLM/72B-preview-llamafied-qwen-llamafy,1.5183176,1.4517652,1.7336135,1.3561143,0.37749922
Changgil/K2S3-SOLAR-11b-v1.0,-1.564219,-1.733473,-1.5100381,-1.5677328,0.057694674
Changgil/K2S3-SOLAR-11b-v2.0,-1.3902336,-1.5307009,-1.326959,-1.381601,0.054641962
Changgil/K2S3-SOLAR-11b-v3.0,-0.2224559,-0.12735182,-0.098145075,-0.0934152,-0.0047298744
Changgil/K2S3-SOLAR-11b-v4.0,-0.2820878,-0.18717039,-0.16089375,-0.14832485,-0.012568906
ChavyvAkvar/llama-3-habib,-0.5168566,-0.50187546,-0.4079332,-0.4372042,0.029271007
ChavyvAkvar/llama-3-lumimaid-habib,-0.17602044,-0.100359775,-0.04928257,-0.068638206,0.019355636
ChavyvAkvar/llama-3-lumimaid-habib-v3,-0.18896131,-0.1530987,-0.06289982,-0.1170492,0.05414938
ChavyvAkvar/llama-3-lumimaid-habib-v5,-0.15245764,-0.13324594,-0.024488209,-0.09882563,0.07433742
ChavyvAkvar/llama-3-lumimaid-habib-v7,-0.15374045,-0.054800503,-0.02583807,-0.026817678,0.0009796079
Chickaboo/Chicka-Mixtral-3x7b,-0.3249729,-0.19460277,-0.20602033,-0.15514731,-0.05087301
ChuckMcSneed/ArcaneEntanglement-model64-70b,0.20815215,0.9002953,0.35496956,0.8498999,-0.49493033
ChuckMcSneed/Gembo-v1-70b,0.23949428,0.8605252,0.38794988,0.8133934,-0.42544353
ChuckMcSneed/Gembo-v1.1-70b,0.20467436,0.8141859,0.35131004,0.7708569,-0.41954687
ChuckMcSneed/PMaxxxer-v1-70b,0.14717263,0.78506416,0.29080287,0.74412495,-0.45332208
ChuckMcSneed/SMaxxxer-v1-70b,0.22106111,0.8278371,0.36855328,0.78338784,-0.41483456
ChuckMcSneed/WinterGoddess-1.4x-70b-32k,-0.3201405,0.026140781,-0.20093536,0.0474813,-0.24841666
CohereForAI/c4ai-command-r-plus,0.5617167,0.8499101,0.7270139,0.8036494,-0.07663554
CohereForAI/c4ai-command-r-v01,-0.1939044,0.163752,-0.06810127,0.17379971,-0.24190098
Columbia-NLP/gemma-2b-zephyr-dpo,-1.1511478,-1.3508587,-1.075377,-1.2165171,0.1411401
Columbia-NLP/gemma-2b-zephyr-sft,-1.1640918,-1.3455251,-1.0889975,-1.2116213,0.1226238
ConvexAI/Luminex-34B-v0.1,1.7533371,1.924361,1.9809169,1.7899274,0.1909895
ConvexAI/Luminex-34B-v0.2,1.7808492,2.0967438,2.009867,1.948164,0.061702967
ConvexAI/Luminex-72B-v0.1,0.80719644,0.63675106,0.98532414,0.60798293,0.3773412
DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K,0.24634126,0.37187064,0.3951547,0.36483943,0.03031528
DBCMLAB/Llama-3-instruction-constructionsafety-layertuning,-0.8691628,-0.80337775,-0.7786534,-0.7139642,-0.06468916
Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle,-0.08735498,0.11277556,0.044017173,0.12700655,-0.08298937
DataLinguistic/DataLinguistic-34B-V1.0,-1.8253491,-2.07987,-1.7848167,-1.8857033,0.10088658
DeepMount00/Llama-3-8b-Ita,0.039416242,0.09766317,0.17741434,0.113134325,0.06428002
DeepMount00/Phi-3-Large-5.6b,-1.8319273,-2.0897315,-1.7917387,-1.8947555,0.103016734
DeepMount00/Phi-3-Mini-4K-Boost,0.12528408,0.07569163,0.26777026,0.09296585,0.17480442
DeepMount00/Phi-3-Mini-4K-Boost_v2,-1.8371614,-2.0868008,-1.7972465,-1.8920653,0.09481883
DenLabs/llama-3-7B-DenBot,-0.5845902,-0.61848444,-0.47920704,-0.5442439,0.06503683
DiscoResearch/DiscoLM-70b,0.005379575,0.417986,0.14159869,0.40717041,-0.2655717
Doctor-Shotgun/mythospice-70b,0.1500726,0.73579043,0.2938544,0.6988948,-0.4050404
Doctor-Shotgun/mythospice-limarp-70b,0.1346474,0.72318304,0.27762294,0.687322,-0.40969908
DopeorNope/COKAL-v1-70B,-0.15231545,0.24188656,-0.024338592,0.24552226,-0.26986086
DopeorNope/SOLARC-M-10.7B,-0.057264693,-0.016023258,0.07568019,0.00877738,0.06690281
DopeorNope/SOLARC-MOE-10.7Bx4,-0.070196,-0.014777715,0.062073,0.009920709,0.05215229
DopeorNope/SOLARC-MOE-10.7Bx6,-0.07348887,-0.0059679,0.058608025,0.018007562,0.040600464
DrNicefellow/ChatAllInOne-Yi-34B-200K-V1,0.97358143,1.3769028,1.1604056,1.2873954,-0.12698972
DrNicefellow/Mistral-1-from-Mixtral-8x7B-v0.1,-1.568589,-1.9313478,-1.5146365,-1.7493695,0.23473299
DrNicefellow/Mistral-2-from-Mixtral-8x7B-v0.1,-1.6306975,-1.9499571,-1.5799912,-1.7664516,0.18646038
DrNicefellow/Mistral-3-from-Mixtral-8x7B-v0.1,-1.5718956,-1.9444201,-1.518116,-1.761369,0.243253
DrNicefellow/Mistral-4-from-Mixtral-8x7B-v0.1,-1.6118047,-1.9467992,-1.560111,-1.7635528,0.20344174
DrNicefellow/Mistral-5-from-Mixtral-8x7B-v0.1,-1.5977619,-1.9524273,-1.5453342,-1.7687191,0.22338486
DrNicefellow/Mistral-6-from-Mixtral-8x7B-v0.1,-1.5417719,-1.9013042,-1.4864178,-1.7217914,0.23537362
DrNicefellow/Mistral-7-from-Mixtral-8x7B-v0.1,-1.5718046,-1.923928,-1.5180203,-1.7425585,0.2245382
DrNicefellow/Mistral-8-from-Mixtral-8x7B-v0.1,-1.620356,-1.969649,-1.5691092,-1.7845274,0.21541822
DrNicefellow/Mixtral-6x7B-Instruct-v0.1-bfloat16-Trimmed024567,-0.923977,-1.0058599,-0.8363326,-0.89983,0.063497365
ENERGY-DRINK-LOVE/SOLAR_merge2_dpo,-0.2844437,-0.21859983,-0.1633728,-0.17717509,0.01380229
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-n128-v3,-0.13033319,-0.009810688,-0.0012073757,0.014480126,-0.015687501
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-v2,-0.11822659,-0.01841674,0.0115319975,0.0065803146,0.004951683
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,-0.35812274,-0.25301746,-0.24090281,-0.2087683,-0.032134518
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-2fail-128total,-0.19724028,-0.08829668,-0.0716115,-0.057565052,-0.014046449
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total-bf16,-0.28108972,-0.10918116,-0.1598435,-0.07673568,-0.08310782
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-500total,-0.15706755,-0.043223225,-0.029339068,-0.01619047,-0.013148598
FairMind/Llama-3-8B-4bit-UltraChat-Ita,-0.30013844,-0.28350416,-0.17988785,-0.23675317,0.05686532
FairMind/Phi-3-mini-4k-instruct-bnb-4bit-Ita,0.14873374,0.05303035,0.29244557,0.07216422,0.22028135
Faradaylab/ARIA-70B-V3,-0.31389797,-0.092674166,-0.19436654,-0.061583307,-0.13278323
Faradaylab/Aria-70B,-0.4237465,-0.13358793,-0.30995655,-0.09913955,-0.21081701
FelixChao/Llama-3-Petro-Instruct-v1,-0.36537755,-0.36252218,-0.24853681,-0.3092867,0.060749903
FelixChao/vicuna-33b-coder,-0.9112696,-0.69568837,-0.822961,-0.6151122,-0.20784879
FuseAI/OpenChat-3.5-7B-Mixtral,-0.36203396,-0.21221268,-0.24501847,-0.1713121,-0.07370637
FuseAI/OpenChat-3.5-7B-Solar,-0.35141522,-0.21727796,-0.23384471,-0.1759617,-0.05788301
GOAT-AI/GOAT-70B-Storytelling,0.077719666,0.6074857,0.2177198,0.5811192,-0.3633994
GeorgiaTechResearchInstitute/galpaca-30b,-1.1635044,-1.4641153,-1.0883793,-1.3204795,0.23210025
Gryphe/Pantheon-RP-1.0-8b-Llama-3,-0.13540901,-0.036504064,-0.0065485016,-0.0100227045,0.003474203
Gryphe/Tiamat-8b-1.2-Llama-3-DPO,-0.30606362,-0.18918544,-0.18612272,-0.15017454,-0.035948172
HIT-SCIR/Chinese-Mixtral-8x7B,0.33965552,0.3855566,0.49334624,0.37740228,0.11594397
Hastagaras/llama-3-8b-okay,-0.0062069884,0.14956804,0.12940653,0.16077971,-0.031373188
Henk717/airochronos-33B,-0.7008067,-0.5655874,-0.6014978,-0.49568772,-0.105810106
Henk717/chronoboros-33B,-0.72789836,-0.6052536,-0.6300055,-0.53209877,-0.09790671
ICBU-NPU/FashionGPT-70B-V1,0.20669578,0.85059255,0.3534371,0.8042759,-0.45083877
ICBU-NPU/FashionGPT-70B-V1.1,0.23761551,0.9118041,0.38597292,0.8604642,-0.4744913
ICBU-NPU/FashionGPT-70B-V1.2,0.19297683,0.7723533,0.33900112,0.7324572,-0.3934561
Iker/Llama-3-Neurona-8b,-0.4600138,-0.51735306,-0.3481194,-0.45141166,0.10329226
Isotonic/Hermes-2-Pro-Mixtral-4x7B,-0.48916623,-0.40525573,-0.37879556,-0.34851342,-0.03028214
Isotonic/TinyMixtral-4x248M-MoE,-1.7264286,-1.9687824,-1.6807259,-1.783732,0.103006124
Joseph717171/SOLAR-19.2B-Instruct-v1.0,-0.29051763,-0.32078004,-0.16976418,-0.27097008,0.1012059
Josephgflowers/Phi-3-mini-4k-instruct-Cinder-llamafied-with-16bit-GGUF,-0.41083238,-0.63259125,-0.29636744,-0.557193,0.26082554
JosephusCheung/Yee-34B-200K-Chat,1.057423,1.4746476,1.2486293,1.377119,-0.12848961
KaeriJenti/Kaori-34B-v1,0.32151875,0.46367228,0.4742615,0.44910753,0.025153965
KaeriJenti/Kaori-34b-v2,-1.61395,-1.8615291,-1.5623684,-1.6852803,0.12291193
KaeriJenti/kaori-34b-v3,0.33719915,0.4448226,0.4907615,0.43180472,0.058956772
KaeriJenti/kaori-34b-v4,-1.606042,-1.8601362,-1.5540471,-1.6840017,0.12995458
KaeriJenti/kaori-70b-v1,0.28790238,0.80752915,0.4388881,0.7647464,-0.32585832
KeyonZeng/lion-gemma-2b,-0.69556993,-0.8252169,-0.5959874,-0.7340112,0.1380238
KnutJaegersberg/Deacon-34b-Adapter,1.4801776,1.8006667,1.69348,1.6763837,0.017096281
KnutJaegersberg/Deacon-34b-qlora-adapter,1.4579933,1.795197,1.6701362,1.671363,-0.0012267828
KnutJaegersberg/Deita-34b,1.540487,1.2913682,1.7569417,1.2088801,0.5480616
KnutJaegersberg/Galpaca-30b-MiniOrca,-1.1142689,-1.3934734,-1.0365704,-1.2556348,0.21906435
KnutJaegersberg/Walter-Falcon-1B,-1.6667873,-1.9581598,-1.6179674,-1.7739811,0.15601373
KnutJaegersberg/Walter-SOLAR-11B,-0.23665461,-0.12521566,-0.1130859,-0.09145434,-0.021631561
KnutJaegersberg/YaYi-30b-EverythingLM,-0.5654928,-0.72226894,-0.45911148,-0.63951147,0.18039998
KnutJaegersberg/falcon-1b-t-sft,-1.5753748,-1.8456231,-1.521777,-1.6706796,0.14890254
KoboldAI/Mixtral-8x7B-Holodeck-v1,0.4111463,0.53380644,0.56857365,0.51348627,0.055087388
KoboldAI/OPT-30B-Erebus,-1.6312916,-1.9577862,-1.5806165,-1.7736382,0.19302177
Kquant03/BurningBruce-SOLAR-8x10.7B-bf16,-0.08969999,0.008502044,0.041549593,0.031290054,0.010259539
Kukedlc/LLama-3-8b-Maths,-0.20768666,-0.064829394,-0.08260389,-0.03602357,-0.04658032
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,0.030953217,0.17382897,0.16850898,0.18304972,-0.014540747
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,0.0048045632,0.153022,0.14099362,0.16395025,-0.022956625
Kukedlc/Smart-LLaMa-3-8b-Python-v4,-0.15389262,-0.07495493,-0.025998194,-0.045318164,0.01931997
Kukedlc/Smart-LLama-3-8b-Python-v5,-0.19390534,-0.1713326,-0.068102255,-0.13378677,0.06568451
Kukedlc/SmartLlama-3-8B-MS-v0.1,-0.09502692,0.08201775,0.035944246,0.098772824,-0.06282858
LDCC/LDCC-SOLAR-10.7B,-0.013072063,0.07372283,0.12218263,0.09115861,0.031024016
LLMs/WizardLM-30B-V1.0,-0.725967,-0.53018653,-0.6279732,-0.46319196,-0.16478124
LeroyDyer/Mixtral_AI_128k,-0.34788868,-0.276766,-0.23013385,-0.23056798,0.00043413043
LeroyDyer/Mixtral_AI_128k_b,-0.35396725,-0.2608573,-0.23653013,-0.2159648,-0.020565331
LeroyDyer/Mixtral_AI_128k_bioMedical,-0.3877951,-0.2944995,-0.27212602,-0.24684618,-0.025279835
LeroyDyer/Mixtral_AI_CyberBrain_3_0,-0.39049977,-0.31970733,-0.27497208,-0.2699854,-0.0049866736
LeroyDyer/Mixtral_AI_CyberBrain_Coder,-0.8367007,-0.8911308,-0.74449456,-0.79451597,0.05002141
LeroyDyer/Mixtral_AI_CyberCoder,-1.1383678,-1.0962034,-1.0619289,-0.9827597,-0.079169154
LeroyDyer/Mixtral_AI_CyberTron,-0.48244697,-0.37621382,-0.37172508,-0.32185477,-0.049870312
LeroyDyer/Mixtral_AI_CyberTron_Coder,-0.45950955,-0.3301783,-0.3475888,-0.27959707,-0.06799173
LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT,-0.44607073,-0.4032524,-0.33344758,-0.34667447,0.0132268965
LeroyDyer/Mixtral_AI_CyberTron_Ultra,-0.43894354,-0.45751813,-0.32594788,-0.396487,0.07053912
LeroyDyer/Mixtral_AI_CyberUltron_DPO,-0.6042139,-0.5810651,-0.4998564,-0.50989527,0.010038853
LeroyDyer/Mixtral_AI_Cyber_2.0,-0.6162578,-0.624119,-0.5125298,-0.549416,0.036886215
LeroyDyer/Mixtral_AI_Cyber_3.0,-0.50357085,-0.4147852,-0.39395306,-0.35726088,-0.036692172
LeroyDyer/Mixtral_AI_Cyber_3.1_SFT,-0.3766964,-0.21264607,-0.26044726,-0.17170991,-0.08873735
LeroyDyer/Mixtral_AI_Cyber_3.m1,-0.3028399,-0.08802128,-0.18273051,-0.05731225,-0.12541826
LeroyDyer/Mixtral_AI_Cyber_3.m2,-0.3617873,-0.2097201,-0.2447589,-0.16902407,-0.07573484
LeroyDyer/Mixtral_AI_Cyber_4.0,-0.44375876,-0.33560884,-0.33101478,-0.284582,-0.046432793
LeroyDyer/Mixtral_AI_Cyber_5.0,-0.3883299,-0.30328786,-0.2726888,-0.25491336,-0.017775446
LeroyDyer/Mixtral_AI_Cyber_Child,-0.5834423,-0.5590386,-0.47799912,-0.48967633,0.011677206
LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0,-0.5292831,-0.39925897,-0.4210092,-0.34300876,-0.078000456
LeroyDyer/Mixtral_AI_Cyber_MegaMind_3_0,-0.44462863,-0.34251022,-0.33193013,-0.290917,-0.04101312
LeroyDyer/Mixtral_AI_LCARS_,-0.7371531,-0.74135953,-0.639744,-0.6570354,0.017291427
LeroyDyer/Mixtral_AI_MasterTron,-0.9630748,-1.1184112,-0.8774739,-1.003145,0.12567109
LeroyDyer/Mixtral_AI_SwahiliTron_7b,-0.7369488,-0.72783786,-0.63952893,-0.6446234,0.0050944686
LeroyDyer/Mixtral_AI_base_128k,-0.38082677,-0.30065295,-0.26479352,-0.2524947,-0.012298822
LeroyDyer/Mixtral_BioMedical,-0.36621353,-0.29628563,-0.24941649,-0.24848576,-0.0009307265
LeroyDyer/Mixtral_Chat_X,-0.60208726,-0.40725332,-0.49761862,-0.35034707,-0.14727154
LeroyDyer/Mixtral_Chat_X_128k,-0.34372276,-0.202928,-0.2257502,-0.16278934,-0.06296085
LeroyDyer/Mixtral_Instruct,-0.38493472,-0.3094386,-0.26911616,-0.26055935,-0.008556813
LeroyDyer/Mixtral_ThoughtsProcess_1,-0.5524193,-0.43238112,-0.44535467,-0.37341282,-0.07194185
LeroyDyer/Mixtral_Uncensored,-0.47826093,-0.4339519,-0.36732027,-0.37485468,0.0075344145
Locutusque/Hercules-4.0-Yi-34B,1.1420299,1.6268011,1.3376583,1.5167862,-0.17912793
Locutusque/Hyperion-2.0-Yi-34B,1.4755477,1.693877,1.688608,1.5783576,0.11025047
Locutusque/Hyperion-3.0-Mixtral-3x7B,-0.44101137,-0.37161392,-0.32812378,-0.31763235,-0.010491431
Locutusque/Hyperion-3.0-Yi-34B,1.3675358,1.6735497,1.5749508,1.5596983,0.015252471
Locutusque/Llama-3-Orca-2.0-8B,-0.34859073,-0.14914334,-0.2308726,-0.11341843,-0.11745417
Locutusque/llama-3-neural-chat-v1-8b,-0.3277285,-0.23304354,-0.20891997,-0.1904335,-0.01848647
Locutusque/llama-3-neural-chat-v2.2-8B,-0.30825275,-0.13672952,-0.18842627,-0.10202334,-0.08640293
MAISAAI/gemma-2b-coder,-1.3878149,-1.5335714,-1.3244139,-1.3842359,0.059821963
MayaPH/GodziLLa-30B,-0.8871669,-0.8690949,-0.79759854,-0.7742884,-0.023310125
MayaPH/GodziLLa-30B-plus,-1.6708202,-1.9020896,-1.6222111,-1.7225122,0.10030115
MayaPH/GodziLLa2-70B,0.07243846,0.6928973,0.21216254,0.65952164,-0.44735909
MaziyarPanahi/Llama-3-11B-Instruct-v0.1,-0.3438095,-0.25291735,-0.22584145,-0.2086764,-0.01716505
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,1.7553539,1.9728804,1.983039,1.834465,0.148574
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2,1.9687604,2.0157242,2.2075996,1.8737931,0.3338065
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3,1.9121488,2.0600927,2.148029,1.9145205,0.23350859
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,1.9199651,2.0320177,2.156254,1.8887495,0.26750457
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1,-0.12743998,0.005052237,0.0018370532,0.02812335,-0.026286298
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.2,-0.05822336,0.14044932,0.07467142,0.15240932,-0.0777379
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3,-0.03901512,0.1190393,0.09488361,0.13275626,-0.03787265
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.4,-0.07497707,0.12586689,0.05704204,0.13902356,-0.08198152
MaziyarPanahi/Llama-3-8B-Instruct-v0.1,-0.070964135,0.1234955,0.061264716,0.13684677,-0.07558205
MaziyarPanahi/Llama-3-8B-Instruct-v0.2,-0.09425305,0.103419006,0.036758564,0.11841783,-0.081659265
MaziyarPanahi/Llama-3-8B-Instruct-v0.3,-0.07813326,0.12792502,0.05372088,0.1409128,-0.087191924
MaziyarPanahi/Llama-3-8B-Instruct-v0.4,0.00018103003,0.10390845,0.13612844,0.11886711,0.017261334
MaziyarPanahi/Llama-3-8B-Instruct-v0.5,-0.07281978,0.12739968,0.059312087,0.14043057,-0.08111848
MaziyarPanahi/Llama-3-8B-Instruct-v0.7,-0.077781215,0.07380451,0.05409133,0.09123359,-0.03714226
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,0.033429433,0.08055289,0.17111462,0.09742817,0.07368645
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,0.03839565,0.09930952,0.17634042,0.11464557,0.061694846
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.1,0.23921736,0.22813714,0.38765848,0.23290117,0.1547573
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.2,0.31188488,0.26796046,0.4641241,0.26945645,0.19466767
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.3,0.34194005,0.29416555,0.4957502,0.29351106,0.20223913
MaziyarPanahi/WizardLM-Math-70B-TIES-v0.1,0.06130829,0.69259614,0.20045063,0.6592452,-0.45879456
MaziyarPanahi/WizardLM-Math-70B-v0.1,0.034210764,0.62431157,0.1719368,0.59656423,-0.42462742
Menouar/gemma-2b-chat,-1.3113378,-1.4568589,-1.2439396,-1.3138186,0.069878936
Menouar/gemma-2b-chat-ultra,-1.2985113,-1.4654514,-1.2304426,-1.3217059,0.091263294
MetaIX/GPT4-X-Alpasta-30b,-0.827185,-0.6665569,-0.7344815,-0.58837134,-0.14611018
Mihaiii/Llama-3-pruned-45B-Drobeta-Turnu-Severin,0.4383751,0.83819044,0.59722555,0.7928915,-0.19566596
MisterRid/Llama-3-8B-SaulGoodMan,-0.19792366,-0.009108888,-0.0723306,0.015124334,-0.08745494
MoaData/Myrrh_solar_10.7b_3.0,-0.371797,-0.2951611,-0.2552918,-0.24745351,-0.007838279
Mollel/Swahili-Alpaca-Llama-3-8b_16bit,-0.3110285,-0.3107637,-0.1913471,-0.2617757,0.070428595
