model_name,theta,theta_3pl,beta_marginal,beta_partial_text,beta_partial_difficulty,beta_null_mean
AbacusResearch/Jallabi-34B,1.5158263,1.3108883,-0.13444296328819816,-0.03763971214166215,-0.00953582753700543,-0.10520896306326721
Aeala/GPT4-x-AlpacaDente-30b,-0.7592462,-1.3584867,-0.08612836941741993,-0.04079970948693514,-0.012137734711745396,-0.08302365605645426
Aeala/GPT4-x-AlpacaDente2-30b,-0.6778352,-1.2766719,-0.08573695176899378,-0.0414442947872051,-0.01298472293457568,-0.08382613901152343
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,0.39818752,0.32134432,-0.11789338870162479,-0.049933676835591384,-0.02277068438011094,-0.10950293440292871
Aratako/c4ai-command-r-v01-japanese-instruct,0.019384148,-0.33773977,-0.10321234970058439,-0.05035189774573413,-0.025234397961081904,-0.10204910416442481
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,-0.6758812,-1.3617504,-0.07997353189463009,-0.037040105798741924,-0.005630614109125771,-0.08285428281843192
Aspik101/llama-30b-2048-instruct-PL-lora_unload,-0.44624758,-0.94888127,-0.08214796747035631,-0.03374887567688672,-0.004025711147001551,-0.0949515654688339
Aspik101/llama-30b-instruct-2048-PL-lora,-0.43395898,-0.91203284,-0.09273769213554778,-0.035087705793717575,-0.004941524772054672,-0.08730711578822284
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,-0.40505946,-0.46107408,-0.09805094594694014,-0.05598973643885625,-0.02884325267589921,-0.10300156132543735
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,-0.1361152,-0.1569884,-0.10674672512640034,-0.0550435083267927,-0.02510986808937471,-0.10580935095073367
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,-1.0728972,-1.8885463,-0.06481080712248594,-0.043778741837060486,-0.029505493327033377,-0.060036944655558366
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,-0.06230337,-0.09175402,-0.12123855186365384,-0.07103683061728366,-0.05260417924258092,-0.1086252626759592
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,-0.06856195,-0.18818325,-0.11788511884960716,-0.06010922717292257,-0.029911815902723248,-0.10866466960711824
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,-0.9362043,-1.5235733,-0.085970813477591,-0.042208714850528135,-0.021925761160506943,-0.07822273947450592
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,-0.08274452,-0.23541105,-0.11221189814259575,-0.06607747036541958,-0.041906492103914686,-0.10908762936916348
AwanLLM/Llama-3-8B-Cumulus-v0.1,-0.43001306,-0.5553172,-0.10890588306435843,-0.0713719387949458,-0.050828204071552564,-0.09806429731663091
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,-0.10119573,-0.15873513,-0.11290439090413333,-0.058086904442822246,-0.02687333769210875,-0.10551988708736344
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,-0.14497769,-0.2537648,-0.11436133983189842,-0.07162846576372855,-0.05283297902924662,-0.10311448743730217
Azure99/blossom-v3_1-yi-34b,1.360144,1.1552503,-0.12310221892453063,-0.018264250408797526,0.03262427842702872,-0.10977103343085916
Azure99/blossom-v4-yi-34b,1.2000374,1.0721228,-0.138592943410603,-0.03479851840034839,0.005412266904953272,-0.1118559904700212
Azure99/blossom-v5-34b,1.79061,1.3010486,-0.13345249467225587,-0.03783097489668489,-0.005687596965224634,-0.10847830513383083
Azure99/blossom-v5.1-34b,1.6030039,1.4046962,-0.10685835798840611,0.020803716617975553,0.0739488647018515,-0.11096100186669197
BAAI/Aquila2-34B,0.23477724,-0.25185478,-0.07313442800477188,-0.008488655864257942,0.00929026108739893,-0.10622961602869997
BEE-spoke-data/Meta-Llama-3-8Bee,-0.1392552,-0.27938735,-0.114498884668584,-0.04467024191860882,-0.011524145278870713,-0.10352176046744554
BEE-spoke-data/Mixtral-GQA-400m-v2,-1.770879,-5.7087984,0.03011799721868569,0.01594459210164799,0.01464678984116432,0.001716066745213245
Ba2han/Llama-Phi-3_DoRA,0.26544937,0.40038887,-0.13217017803115458,-0.05161267020342363,-0.02545940967232011,-0.10961344868595047
BarraHome/llama-3-orpo-v1-merged_16bit,-1.8637943,-4.2591343,-0.04465732073619912,-0.06035270680982959,-0.06009552583369203,-0.0030649375502176043
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,0.43932405,0.33812985,-0.1195083837841446,-0.05452551559056855,-0.0309867835421583,-0.10970238155744265
CalderaAI/30B-Epsilon,-0.7564279,-1.3544469,-0.0911869439952297,-0.044389843396371066,-0.017741230101262398,-0.0815458815107706
CalderaAI/30B-Lazarus,-0.7661599,-1.3717098,-0.07849151703784517,-0.03484207137047132,-0.005943708911249555,-0.08019176297193294
CallComply/SOLAR-10.7B-Instruct-v1.0-128k,-0.7065267,-1.2585741,-0.10224269410420748,-0.03767674683346137,-0.012293229488852387,-0.07978749154279964
Cartinoe5930/SOLAR-DUS-implement,-0.3559021,-0.75104165,-0.09198045361333247,-0.052596645065391356,-0.03094272899170515,-0.09478860991253714
CausalLM/34b-beta,3.1440434,2.194551,-0.09469229401054804,-0.01928568577776317,0.0007220847807813943,-0.10570921396550896
CausalLM/72B-preview,1.4636874,1.2093792,-0.12091410541285444,-0.026377136452075924,0.010082885396932475,-0.1094445361302594
CausalLM/72B-preview-canary-llamafied-qwen-llamafy-unbias-qkv,-0.063416705,0.08861488,-0.10235422803045435,-0.05233999377936215,-0.030627347433092353,-0.10568495812653612
CausalLM/72B-preview-llamafied-qwen-llamafy,1.4718798,1.2236503,-0.12497869840177282,-0.030715334233941186,0.0032878231983425143,-0.11268847387686654
Changgil/K2S3-SOLAR-11b-v1.0,-1.6561067,-4.0397687,0.01934492438877594,0.030311008047592403,0.03604462883332323,-0.0017966659040233072
Changgil/K2S3-SOLAR-11b-v2.0,-1.4498214,-2.9906893,-0.03821287423083115,0.0011944858271998736,0.013269709132964248,-0.026699932086618135
Changgil/K2S3-SOLAR-11b-v3.0,-0.13601436,-0.2635317,-0.10910211569379855,-0.06500911983405437,-0.04349873062974369,-0.10074503370565303
Changgil/K2S3-SOLAR-11b-v4.0,-0.2160806,-0.32605362,-0.10919710362253932,-0.0574800310649311,-0.02976921301578932,-0.10344594465999785
ChavyvAkvar/llama-3-habib,-0.498483,-0.61284643,-0.10809513207005429,-0.06450332149208678,-0.041124002008830846,-0.09391237326658405
ChavyvAkvar/llama-3-lumimaid-habib,-0.12002526,-0.19211717,-0.1115159226774371,-0.05535218974632163,-0.024101672326178967,-0.10474641307673292
ChavyvAkvar/llama-3-lumimaid-habib-v3,-0.15509339,-0.17386506,-0.10372611207996203,-0.04512073935008772,-0.009393391313106575,-0.1077727472098916
ChavyvAkvar/llama-3-lumimaid-habib-v5,-0.11505734,-0.14194515,-0.10649536780639877,-0.04809086908542066,-0.016333072842912168,-0.10426056048857055
ChavyvAkvar/llama-3-lumimaid-habib-v7,-0.068264455,-0.12968904,-0.11163351754971093,-0.060809606088151176,-0.035698373694694814,-0.09739128392522663
Chickaboo/Chicka-Mixtral-3x7b,-0.21331035,-0.4351469,-0.12137059532999056,-0.06257916219626743,-0.03738383911270614,-0.09971409085868974
ChuckMcSneed/ArcaneEntanglement-model64-70b,0.7147278,0.3734308,-0.11292737447441445,-0.03962661554194465,0.0010419673129988972,-0.10730794616687597
ChuckMcSneed/Gembo-v1-70b,0.6773122,0.3757599,-0.11716589289957523,-0.06193090379170095,-0.040547277107819704,-0.11186382722913894
ChuckMcSneed/Gembo-v1.1-70b,0.6546598,0.3705675,-0.11892663052034454,-0.06250256150154555,-0.04105693312581537,-0.10977683845487254
ChuckMcSneed/PMaxxxer-v1-70b,0.64010483,0.33745202,-0.11199800761670067,-0.054752913154333574,-0.027823436228031694,-0.11112040441607833
ChuckMcSneed/SMaxxxer-v1-70b,0.65154815,0.34836268,-0.1193999615627799,-0.06607099910943284,-0.04678862391691657,-0.11275296428334756
ChuckMcSneed/WinterGoddess-1.4x-70b-32k,-0.046898074,-0.30228215,-0.10584203364309254,-0.06542263278181837,-0.044296810955574493,-0.10356146317545338
CohereForAI/c4ai-command-r-plus,0.77219206,0.60722005,-0.1302107105199208,-0.052980927602805095,-0.03130944313781276,-0.10892129530817983
CohereForAI/c4ai-command-r-v01,0.07186723,-0.34940484,-0.10596295832736673,-0.05198334832198889,-0.029330649023936037,-0.1055375322524778
Columbia-NLP/gemma-2b-zephyr-dpo,-1.2718555,-2.2570233,-0.08023547021337157,-0.04466606354784333,-0.028154999432896333,-0.0516824489637696
Columbia-NLP/gemma-2b-zephyr-sft,-1.2739977,-2.2859058,-0.06964547404065939,-0.026852156579859173,-0.010482578472007224,-0.045904056416921114
ConvexAI/Luminex-34B-v0.1,1.8521501,1.5439311,-0.13320305355450315,-0.043382317400132146,-0.01919352442568575,-0.10706580725669197
ConvexAI/Luminex-34B-v0.2,1.972023,1.5554194,-0.12804708160772282,-0.02879037602074749,0.009643710975467179,-0.10750827697647469
ConvexAI/Luminex-72B-v0.1,0.6658186,0.8272,-0.1261304978125106,-0.03573442297799745,-0.005153810955828179,-0.11013312366582263
DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K,0.3345511,0.31042483,-0.13009904094083735,-0.060059313049308935,-0.03736419258528455,-0.10518421606761616
DBCMLAB/Llama-3-instruction-constructionsafety-layertuning,-0.7969797,-1.438225,-0.08541774293784336,-0.054908673230803076,-0.032782132986987074,-0.0767717806191852
Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle,0.06430986,-0.060182266,-0.10951718035135177,-0.06347203907861718,-0.039764932920784465,-0.1052837186788611
DataLinguistic/DataLinguistic-34B-V1.0,-1.9704831,-4.166551,-0.026359173134731146,-0.02867172448810651,-0.029393611832042338,-0.008964306599296697
DeepMount00/Llama-3-8b-Ita,0.08514751,0.024533803,-0.10908846504036283,-0.047746625795679044,-0.013504701263617594,-0.10552325708646397
DeepMount00/Phi-3-Large-5.6b,-1.965973,-4.169452,-0.026359173134731146,-0.02867172448810651,-0.029393611832042338,-0.00445121519912409
DeepMount00/Phi-3-Mini-4K-Boost,0.07618535,0.13583525,-0.13835661134656815,-0.06751622595446287,-0.04840573670662321,-0.1051218251287306
DeepMount00/Phi-3-Mini-4K-Boost_v2,-1.9819269,-4.203402,-0.026359173134731146,-0.02867172448810651,-0.029393611832042338,-0.005114410848735949
DenLabs/llama-3-7B-DenBot,-0.6084372,-0.8920706,-0.12757780158612422,-0.043178021526758405,-0.011158320944517824,-0.0936270554030666
DiscoResearch/DiscoLM-70b,0.30346248,0.18510127,-0.13720002970099465,-0.07086977636378297,-0.051259014596319014,-0.10598071538621555
Doctor-Shotgun/mythospice-70b,0.5715057,0.30843982,-0.12809479105492463,-0.07161301039106259,-0.05595703429697945,-0.10798172203380575
Doctor-Shotgun/mythospice-limarp-70b,0.56739146,0.30034307,-0.13723603619776653,-0.0853445250515595,-0.07976437765211276,-0.1081966125383164
DopeorNope/COKAL-v1-70B,0.14210074,-0.18229665,-0.0888507417127648,-0.05382104838226826,-0.031399167552161523,-0.10385540404243597
DopeorNope/SOLARC-M-10.7B,-0.012089095,-0.02065184,-0.11171960527524975,-0.05428493620774831,-0.028092497972633176,-0.10487639235324847
DopeorNope/SOLARC-MOE-10.7Bx4,-0.020606881,-0.03614444,-0.11436998260706067,-0.056806554201263584,-0.03238153852536804,-0.10783606810451375
DopeorNope/SOLARC-MOE-10.7Bx6,-0.001747414,-0.033949025,-0.11206205353457302,-0.05408428666981748,-0.028071094335523475,-0.10557107782504745
DrNicefellow/ChatAllInOne-Yi-34B-200K-V1,1.241557,1.0359054,-0.12995353923064798,-0.01963886364931253,0.0353255705887336,-0.10591071586848849
DrNicefellow/Mistral-1-from-Mixtral-8x7B-v0.1,-1.8011005,-5.990301,0.02728623920838365,0.011826861325167613,0.011454452752959489,0.008184449251943594
DrNicefellow/Mistral-2-from-Mixtral-8x7B-v0.1,-1.8256875,-5.9619803,0.03133673067503611,0.03927582114205614,0.04015942333702033,0.003930275252749406
DrNicefellow/Mistral-3-from-Mixtral-8x7B-v0.1,-1.821145,-6.0451307,0.04109058973513444,0.029986257983334923,0.02996231439246901,0.0020039886995945307
DrNicefellow/Mistral-4-from-Mixtral-8x7B-v0.1,-1.8287103,-5.860331,0.039264855009416746,0.02849699562510182,0.027005696119450265,0.004103898716413909
DrNicefellow/Mistral-5-from-Mixtral-8x7B-v0.1,-1.8196812,-5.6167192,0.04024003611904238,0.02926331229121856,0.030944129973519585,-0.00022217881244777498
DrNicefellow/Mistral-6-from-Mixtral-8x7B-v0.1,-1.7779078,-5.3622203,0.025925284148728606,0.01411690969140255,0.014855174735977689,0.000545405151503907
DrNicefellow/Mistral-7-from-Mixtral-8x7B-v0.1,-1.7964917,-5.5506997,0.02231772785623486,0.006641750696132846,0.0057020574712546455,0.0029656440963902377
DrNicefellow/Mistral-8-from-Mixtral-8x7B-v0.1,-1.8492935,-5.049582,0.02249195029141882,0.012151515397213633,0.013140696945249076,-0.00032842722536442206
DrNicefellow/Mixtral-6x7B-Instruct-v0.1-bfloat16-Trimmed024567,-0.9624513,-1.6806228,-0.06497623526646235,-0.027197074729263516,-0.006792224172960631,-0.07226444598573656
ENERGY-DRINK-LOVE/SOLAR_merge2_dpo,-0.2314792,-0.3463241,-0.10544784344139646,-0.053799408350573494,-0.025408782834694173,-0.10433126248440569
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-n128-v3,-0.029828418,-0.105305985,-0.1099840220804736,-0.06827268787881964,-0.047957452358543165,-0.10150066480738489
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-v2,-0.030747864,-0.121544965,-0.11116154984771422,-0.06983180350121503,-0.051096164565208296,-0.10874621233789278
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,-0.27111053,-0.36943606,-0.11304119839169506,-0.06451286562565951,-0.039484142371612914,-0.0994491102542665
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-2fail-128total,-0.12132281,-0.20829868,-0.10218302716465479,-0.05306364939585349,-0.020679298367092626,-0.1049861127139099
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total-bf16,-0.10530036,-0.26248568,-0.10186786593686738,-0.052730606237017155,-0.024691345444889087,-0.10240187767023501
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-500total,-0.053686406,-0.16950098,-0.10418204564665683,-0.04384261733968058,-0.012194656940112856,-0.10445932028434618
FairMind/Llama-3-8B-4bit-UltraChat-Ita,-0.29468805,-0.46607763,-0.09219837170721232,-0.028508021588044805,0.0076361029211493925,-0.09555377675302378
FairMind/Phi-3-mini-4k-instruct-bnb-4bit-Ita,0.094929986,0.18176298,-0.1442447264881943,-0.0849293505133656,-0.07265492380372075,-0.10687269945794399
Faradaylab/ARIA-70B-V3,-0.118537284,-0.368162,-0.0972822857586885,-0.05309897543303994,-0.026258439468307495,-0.09910278925125945
Faradaylab/Aria-70B,-0.20332178,-0.6240645,-0.09663438984591881,-0.062460339294181676,-0.03989486749244359,-0.09631891655347768
FelixChao/Llama-3-Petro-Instruct-v1,-0.3387376,-0.3871326,-0.09996181088878993,-0.03748134648124228,0.003799189047610353,-0.10081920070336606
FelixChao/vicuna-33b-coder,-0.71241784,-1.416828,-0.08883756539644105,-0.050463434953171675,-0.025221111135143064,-0.07923187298439442
FuseAI/OpenChat-3.5-7B-Mixtral,-0.23595907,-0.5665405,-0.09675050058936335,-0.019566303883132043,0.01969388926640096,-0.09903123371819968
FuseAI/OpenChat-3.5-7B-Solar,-0.23818864,-0.58254045,-0.09974641507328239,-0.02154025770334621,0.01736943362705445,-0.10270494634131427
GOAT-AI/GOAT-70B-Storytelling,0.47391856,0.24997465,-0.1192473236154056,-0.060927292314647184,-0.0370219537033287,-0.10482941282486591
GeorgiaTechResearchInstitute/galpaca-30b,-1.3566753,-2.085275,-0.06717923055579395,-0.037326959672704677,-0.01754931019990849,-0.051356134205720036
Gryphe/Pantheon-RP-1.0-8b-Llama-3,-0.04820394,-0.16350853,-0.09081147411370022,-0.024655639633769672,0.01961274937807977,-0.10527606507599889
Gryphe/Tiamat-8b-1.2-Llama-3-DPO,-0.20511349,-0.3516562,-0.11724171965114774,-0.053626351255429396,-0.025058791727823656,-0.09941897217935133
HIT-SCIR/Chinese-Mixtral-8x7B,0.37400505,0.40398917,-0.12381040199807745,-0.0368799641143763,-5.629723317914875e-05,-0.10905456126953171
Hastagaras/llama-3-8b-okay,0.11718169,-0.015563838,-0.10294614823193797,-0.053013465409049915,-0.023946797862879586,-0.1054474341880463
Henk717/airochronos-33B,-0.5626668,-1.1302658,-0.0869268236561892,-0.03379538218241581,-0.004410251683306617,-0.0875629687050767
Henk717/chronoboros-33B,-0.60870516,-1.1455983,-0.08644373036526899,-0.04351009103426338,-0.01584006678765123,-0.08254707112105518
ICBU-NPU/FashionGPT-70B-V1,0.69277966,0.35788998,-0.10340752547818616,-0.041161485791183006,-0.003850514075513291,-0.11027179539026251
ICBU-NPU/FashionGPT-70B-V1.1,0.73310393,0.41833973,-0.12004940031781786,-0.056215242522077644,-0.031158334046011663,-0.10681118768690966
ICBU-NPU/FashionGPT-70B-V1.2,0.6095745,0.34813434,-0.09565291046533433,-0.025821313539360048,0.015399668960897873,-0.1087962936316545
Iker/Llama-3-Neurona-8b,-0.49355727,-0.6375734,-0.09782947426403142,-0.050239196898698824,-0.023721406576282137,-0.09175415958145047
Isotonic/Hermes-2-Pro-Mixtral-4x7B,-0.4068365,-0.70496196,-0.11486937117822033,-0.07221884958272169,-0.05312162143883216,-0.09890746794950697
Isotonic/TinyMixtral-4x248M-MoE,-1.8629204,-4.9186826,-0.016028752564569093,0.007420269790584268,0.00498858411951805,0.0004030598600415947
Joseph717171/SOLAR-19.2B-Instruct-v1.0,-0.31228417,-0.4196745,-0.09694938098176742,-0.038844812512816296,-0.00882751815286244,-0.09993044410861429
Josephgflowers/Phi-3-mini-4k-instruct-Cinder-llamafied-with-16bit-GGUF,-0.5667289,-0.6231234,-0.10527055093447592,-0.04244304985712392,-0.014788251771511976,-0.09482070913336363
JosephusCheung/Yee-34B-200K-Chat,1.3358729,1.0964986,-0.1384575230361978,-0.0349761203258589,-0.0006199621718489262,-0.10880870747474435
KaeriJenti/Kaori-34B-v1,0.4159644,0.5313823,-0.1295633762073741,-0.034441180709945805,0.0013861720172371414,-0.10842480957944278
KaeriJenti/Kaori-34b-v2,-1.7619371,-5.8741736,0.011005221921234308,0.021796306577616612,0.023548776232990315,0.0029986855843220283
KaeriJenti/kaori-34b-v3,0.42462674,0.58175105,-0.1310444704585858,-0.03764384660334184,-0.0029791717078152913,-0.10867208886764484
KaeriJenti/kaori-34b-v4,-1.7623569,-5.7367764,0.011005221921234308,0.021796306577616612,0.023548776232990315,0.0007825816495308511
KaeriJenti/kaori-70b-v1,0.6768642,0.40161157,-0.11126579706534775,-0.04771638148407291,-0.01794417712190053,-0.10858387594532265
KeyonZeng/lion-gemma-2b,-0.770257,-1.2516711,-0.09689055757608897,-0.047917273248709744,-0.02867262150031332,-0.08375270899373495
KnutJaegersberg/Deacon-34b-Adapter,1.6983037,1.3464062,-0.11995528649327605,-0.024808902329408886,0.016369974927442722,-0.11008613160059272
KnutJaegersberg/Deacon-34b-qlora-adapter,1.6864148,1.347368,-0.1117933228409971,-0.01673423279321025,0.028326164020474918,-0.10909358925920545
KnutJaegersberg/Deita-34b,1.3159858,1.278788,-0.11586928680280778,0.007305520918302517,0.06398449375305192,-0.11025716383871959
KnutJaegersberg/Galpaca-30b-MiniOrca,-1.2891082,-2.012327,-0.07815674712568307,-0.034906341148239844,-0.014373152029225659,-0.06176075878458787
KnutJaegersberg/Walter-Falcon-1B,-1.8399462,-4.961805,-0.009635042060898118,0.004435900558291037,0.008924949167929403,-3.023447094065005e-06
KnutJaegersberg/Walter-SOLAR-11B,-0.15492904,-0.2862733,-0.11603579261994107,-0.06614112589907534,-0.045512578675082765,-0.10713187458226608
KnutJaegersberg/YaYi-30b-EverythingLM,-0.6629439,-1.4088321,-0.06116682373550182,-0.049327551069689037,-0.041587035814621386,-0.07829163342406784
KnutJaegersberg/falcon-1b-t-sft,-1.7395027,-6.2556953,0.011697131873253292,0.0070264078113754305,0.00990914835609068,0.006005763751131904
KoboldAI/Mixtral-8x7B-Holodeck-v1,0.5192696,0.4464633,-0.12732976786163425,-0.052373342931074984,-0.027354726069473007,-0.10799870037481842
KoboldAI/OPT-30B-Erebus,-1.8393803,-5.3538146,0.00702824452550672,0.01685869467753422,0.015596748250810812,0.0017200858112127813
Kquant03/BurningBruce-SOLAR-8x10.7B-bf16,-0.0012774274,-0.047954433,-0.1280664388947405,-0.06506377392040594,-0.04167372658500297,-0.10267006742785094
Kukedlc/LLama-3-8b-Maths,-0.096085794,-0.18766189,-0.12302860321179566,-0.06703004909410384,-0.042979249691675395,-0.10612335768608294
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,0.15472409,0.057531163,-0.11093822433139966,-0.05736371348449312,-0.029072916985902437,-0.10687526068921312
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,0.10720528,0.009304374,-0.12079014237063064,-0.0682587435588001,-0.048878044157503894,-0.10434251016799612
Kukedlc/Smart-LLaMa-3-8b-Python-v4,-0.07985772,-0.14633921,-0.12150890675699282,-0.06154436658054543,-0.033684581694050614,-0.10917985175578257
Kukedlc/Smart-LLama-3-8b-Python-v5,-0.19101048,-0.24910857,-0.11865465119467572,-0.07000874833401581,-0.04966754695242452,-0.10925825905213363
Kukedlc/SmartLlama-3-8B-MS-v0.1,0.012488807,-0.11278049,-0.11936366140087067,-0.0642399446874125,-0.04064554567261844,-0.10339040990308188
LDCC/LDCC-SOLAR-10.7B,0.039858304,-0.05771056,-0.09488385475638111,-0.038643941443326925,-0.007973830387264581,-0.10575125363359159
LLMs/WizardLM-30B-V1.0,-0.56913155,-1.1574236,-0.10968979741728434,-0.06417879897830929,-0.03892411353546684,-0.08776212058684299
LeroyDyer/Mixtral_AI_128k,-0.27727857,-0.5177795,-0.1011321484310325,-0.05427851375781358,-0.02842923775556042,-0.0993683913218201
LeroyDyer/Mixtral_AI_128k_b,-0.28211966,-0.56789035,-0.09746703699143514,-0.04464454591043297,-0.014028942817115241,-0.1023590362206254
LeroyDyer/Mixtral_AI_128k_bioMedical,-0.27894554,-0.5350916,-0.09641223783259134,-0.04475410241719903,-0.014339146273747154,-0.09888330400421422
LeroyDyer/Mixtral_AI_CyberBrain_3_0,-0.3228331,-0.53082985,-0.11569996921467789,-0.07326796897606926,-0.055269609765559516,-0.09623603879818142
LeroyDyer/Mixtral_AI_CyberBrain_Coder,-0.8527939,-1.3721771,-0.10471572774488082,-0.050729543286764434,-0.025854225499174332,-0.07828532489081214
LeroyDyer/Mixtral_AI_CyberCoder,-1.0758893,-2.151009,-0.06620019736359019,-0.03091733359769397,-0.012487473395167962,-0.05598900548802121
LeroyDyer/Mixtral_AI_CyberTron,-0.4044898,-0.7621919,-0.09935265834261489,-0.05097381793392662,-0.023431510447880045,-0.09610612032631567
LeroyDyer/Mixtral_AI_CyberTron_Coder,-0.35161445,-0.71800536,-0.1064484529486769,-0.056795193895754756,-0.03248420170133584,-0.09326035065715062
LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT,-0.38586798,-0.6195787,-0.09732980901155826,-0.04885690680824268,-0.01931677852096994,-0.09709494568110452
LeroyDyer/Mixtral_AI_CyberTron_Ultra,-0.44401863,-0.8078989,-0.09402077186791245,-0.025242695105650505,0.006591779182614708,-0.09515152368382494
