corpus,criterion,criterion_alt,WSCG_Nodes,WSCG_Depth,word_count
GSM8K,2,2.0,17,3.0,33
GSM8K,3,3.0,22,1.5,39
GSM8K,5,5.0,25,3.0,50
GSM8K,4,4.0,14,2.5,27
GSM8K,2,2.0,26,5.0,54
GSM8K,2,2.0,32,3.0,90
GSM8K,2,2.0,22,2.5,35
GSM8K,2,2.0,15,2.5,27
GSM8K,6,6.0,33,7.0,59
GSM8K,4,4.0,22,3.0,45
GSM8K,3,3.0,22,2.0,42
GSM8K,2,2.0,12,2.5,25
GSM8K,4,4.0,29,3.0,46
GSM8K,3,3.0,17,3.0,36
GSM8K,2,2.0,12,3.5,21
GSM8K,1,3.0,21,4.0,36
GSM8K,5,6.0,29,6.0,45
GSM8K,5,5.0,29,3.5,59
GSM8K,2,2.0,13,2.5,33
GSM8K,2,3.0,14,6.0,27
GSM8K,1,7.0,13,2.5,32
GSM8K,2,2.0,24,3.0,39
GSM8K,4,4.0,27,4.0,40
GSM8K,7,7.0,52,16.5,110
GSM8K,3,3.0,17,3.0,31
GSM8K,3,3.0,32,5.5,62
GSM8K,4,4.0,46,6.5,104
GSM8K,2,2.0,29,2.0,50
GSM8K,2,2.0,21,2.0,35
GSM8K,5,5.0,33,2.0,78
GSM8K,4,5.0,32,4.5,74
GSM8K,3,3.0,18,6.5,31
GSM8K,5,5.0,36,3.5,85
GSM8K,7,7.0,35,6.0,45
GSM8K,6,6.0,33,9.5,48
GSM8K,2,2.0,30,6.5,53
GSM8K,6,8.0,35,3.5,82
GSM8K,3,3.0,22,3.0,37
GSM8K,2,2.0,16,1.0,43
GSM8K,1,2.0,24,2.0,45
GSM8K,7,7.0,32,6.5,46
GSM8K,4,4.0,18,3.0,31
GSM8K,3,3.0,24,3.5,43
GSM8K,2,2.0,21,4.0,53
GSM8K,2,2.0,33,1.5,88
GSM8K,2,2.0,21,3.0,46
GSM8K,2,6.0,10,3.0,22
GSM8K,2,2.0,10,0.5,20
GSM8K,3,3.0,12,4.5,23
GSM8K,4,4.0,22,7.0,48
GSM8K,4,4.0,23,9.5,38
GSM8K,5,5.0,31,4.5,51
GSM8K,4,4.0,32,12.0,55
GSM8K,2,3.0,38,6.5,85
GSM8K,5,5.0,29,6.0,47
GSM8K,1,2.0,14,6.0,33
GSM8K,7,7.0,32,3.5,66
GSM8K,4,4.0,17,3.5,29
GSM8K,2,2.0,18,4.0,33
GSM8K,2,2.0,21,2.5,39
GSM8K,2,2.0,36,8.5,73
GSM8K,4,4.0,17,4.0,27
GSM8K,3,4.0,60,12.5,102
GSM8K,2,2.0,23,3.5,33
GSM8K,4,5.0,46,9.5,96
GSM8K,3,3.0,15,3.0,29
GSM8K,3,3.0,27,7.0,57
GSM8K,3,4.0,26,7.5,50
GSM8K,2,2.0,9,1.5,19
GSM8K,2,2.0,15,3.0,30
GSM8K,5,5.0,19,3.5,36
GSM8K,4,4.0,42,4.0,90
GSM8K,2,2.0,14,2.0,29
GSM8K,2,2.0,13,2.5,26
GSM8K,2,2.0,15,3.5,33
GSM8K,2,2.0,17,4.0,34
GSM8K,5,5.0,31,8.0,63
GSM8K,5,5.0,39,9.0,64
GSM8K,3,3.0,24,9.0,39
GSM8K,4,4.0,27,3.5,53
GSM8K,2,2.0,24,7.0,37
GSM8K,4,4.0,42,3.5,81
GSM8K,4,4.0,26,8.5,47
GSM8K,3,4.0,33,6.0,59
GSM8K,5,5.0,33,6.5,60
GSM8K,4,4.0,25,9.5,40
GSM8K,3,4.0,28,3.0,55
GSM8K,4,5.0,14,3.5,27
GSM8K,6,6.0,39,10.0,77
GSM8K,1,7.0,23,4.0,46
GSM8K,4,4.0,17,7.5,35
GSM8K,3,3.0,23,5.5,46
GSM8K,2,7.0,23,2.5,51
GSM8K,2,2.0,18,3.0,38
GSM8K,4,4.0,16,4.0,36
GSM8K,2,2.0,11,2.0,27
GSM8K,7,7.0,20,3.5,34
GSM8K,3,6.0,23,3.0,43
GSM8K,3,3.0,23,2.5,39
GSM8K,3,3.0,18,2.0,50
GSM8K,2,2.0,11,3.5,17
GSM8K,2,2.0,16,2.0,35
GSM8K,3,3.0,29,2.5,51
GSM8K,2,2.0,23,1.5,53
GSM8K,3,4.0,30,6.0,50
GSM8K,4,4.0,33,2.0,67
GSM8K,4,4.0,20,2.0,43
GSM8K,4,4.0,30,4.0,63
GSM8K,5,5.0,19,8.0,39
GSM8K,2,2.0,23,2.0,45
GSM8K,1,2.0,19,3.5,34
GSM8K,4,4.0,17,5.0,35
GSM8K,4,4.0,15,2.0,43
GSM8K,2,2.0,21,3.5,42
GSM8K,3,3.0,20,3.0,53
GSM8K,1,2.0,16,2.5,34
GSM8K,3,3.0,17,3.5,31
GSM8K,2,4.0,37,3.0,69
GSM8K,3,3.0,15,2.0,29
GSM8K,2,2.0,18,4.0,31
GSM8K,5,5.0,23,3.0,49
GSM8K,2,2.0,26,4.0,46
GSM8K,2,5.0,31,2.5,58
GSM8K,3,3.0,28,6.5,52
GSM8K,5,5.0,35,3.0,69
GSM8K,2,2.0,31,3.0,55
GSM8K,2,2.0,13,3.5,24
GSM8K,6,6.0,26,2.5,51
GSM8K,4,4.0,28,5.0,43
GSM8K,2,2.0,12,1.5,27
GSM8K,5,5.0,23,4.5,35
GSM8K,2,2.0,13,5.0,30
GSM8K,3,3.0,28,3.0,47
GSM8K,4,4.0,22,4.5,38
GSM8K,6,6.0,20,2.5,34
GSM8K,4,4.0,20,3.5,30
GSM8K,2,2.0,15,5.0,41
GSM8K,5,6.0,18,2.0,31
GSM8K,3,3.0,21,2.0,36
GSM8K,3,3.0,11,1.0,26
GSM8K,2,2.0,13,3.5,25
GSM8K,2,3.0,19,2.0,41
GSM8K,3,3.0,14,3.5,24
GSM8K,3,4.0,34,6.5,73
GSM8K,4,5.0,29,5.0,63
GSM8K,3,3.0,23,6.0,40
GSM8K,2,2.0,14,2.5,28
GSM8K,3,4.0,28,6.5,54
GSM8K,3,3.0,20,12.0,36
GSM8K,2,2.0,14,1.0,30
GSM8K,5,5.0,27,3.5,58
GSM8K,3,3.0,32,2.5,61
GSM8K,5,5.0,37,6.5,77
GSM8K,5,6.0,25,2.0,50
GSM8K,4,4.0,19,2.5,38
GSM8K,2,2.0,15,4.5,31
GSM8K,1,7.0,12,1.5,24
GSM8K,3,3.0,14,4.0,26
GSM8K,5,5.0,20,6.5,37
GSM8K,3,3.0,26,6.5,40
GSM8K,3,3.0,41,10.0,66
GSM8K,8,8.0,43,4.0,81
GSM8K,2,2.0,11,1.5,22
GSM8K,4,4.0,13,1.5,24
GSM8K,5,5.0,23,5.5,32
GSM8K,2,2.0,21,3.5,40
GSM8K,2,2.0,21,2.5,52
GSM8K,3,3.0,22,6.0,53
GSM8K,4,4.0,26,9.5,43
GSM8K,3,3.0,17,3.0,39
GSM8K,4,4.0,40,5.5,64
GSM8K,3,3.0,14,1.5,45
GSM8K,6,6.0,32,5.0,61
GSM8K,4,4.0,24,6.0,36
GSM8K,2,2.0,30,3.0,59
GSM8K,4,4.0,26,11.0,62
GSM8K,6,6.0,27,6.0,68
GSM8K,2,2.0,18,1.5,47
GSM8K,1,2.0,31,5.0,68
GSM8K,2,2.0,13,1.5,28
GSM8K,4,4.0,27,4.0,63
GSM8K,5,5.0,26,6.0,46
GSM8K,2,2.0,8,1.0,15
GSM8K,3,3.0,21,3.0,42
GSM8K,3,3.0,24,4.0,50
GSM8K,3,4.0,19,2.0,41
GSM8K,3,3.0,31,6.0,51
GSM8K,4,4.0,31,3.0,72
GSM8K,4,5.0,23,6.0,36
GSM8K,2,2.0,14,4.0,23
GSM8K,3,4.0,25,2.0,48
GSM8K,5,5.0,26,3.0,41
GSM8K,4,4.0,25,4.0,49
GSM8K,3,3.0,14,2.5,29
GSM8K,3,3.0,19,2.5,36
GSM8K,3,4.0,21,7.0,58
GSM8K,4,4.0,18,2.0,36
GSM8K,2,2.0,11,0.5,26
GSM8K,4,4.0,24,5.0,38
GSM8K,3,3.0,36,7.0,58
GSM8K,1,2.0,24,3.5,50
GSM8K,6,6.0,27,6.5,60
GSM8K,3,3.0,27,3.0,57
GSM8K,4,4.0,20,1.0,53
GSM8K,3,3.0,17,4.5,31
GSM8K,2,2.0,14,1.5,27
GSM8K,3,3.0,35,2.0,62
GSM8K,7,7.0,45,5.5,77
GSM8K,1,2.0,13,1.5,29
GSM8K,3,3.0,33,3.0,53
GSM8K,2,2.0,29,7.0,42
GSM8K,2,2.0,21,2.5,40
GSM8K,5,5.0,24,4.5,37
GSM8K,3,3.0,15,1.0,31
GSM8K,2,2.0,20,8.5,44
GSM8K,5,5.0,15,6.5,30
GSM8K,2,2.0,43,4.5,102
GSM8K,4,6.0,27,4.0,57
GSM8K,1,2.0,22,2.5,45
GSM8K,3,3.0,21,3.0,47
GSM8K,3,3.0,29,4.0,42
GSM8K,3,3.0,15,1.5,24
GSM8K,3,3.0,29,3.0,50
GSM8K,3,3.0,15,3.0,28
GSM8K,2,3.0,25,2.0,46
GSM8K,3,3.0,26,3.0,47
GSM8K,1,3.0,45,10.5,62
GSM8K,3,3.0,25,2.0,56
GSM8K,2,2.0,17,3.0,34
GSM8K,5,5.0,27,3.5,53
GSM8K,4,4.0,25,2.5,62
GSM8K,3,3.0,23,4.0,52
GSM8K,4,5.0,29,6.5,51
GSM8K,4,4.0,27,4.0,59
GSM8K,3,4.0,25,6.0,45
GSM8K,4,4.0,23,3.0,47
GSM8K,5,5.0,41,7.5,71
GSM8K,5,5.0,34,4.0,61
GSM8K,4,4.0,23,3.5,54
GSM8K,2,2.0,25,4.0,36
GSM8K,2,2.0,10,2.0,25
GSM8K,2,2.0,27,4.0,52
GSM8K,3,4.0,24,2.0,64
GSM8K,3,3.0,14,1.0,23
GSM8K,6,6.0,30,9.5,69
GSM8K,2,2.0,18,4.0,31
GSM8K,4,4.0,41,3.0,75
GSM8K,3,3.0,22,2.5,39
GSM8K,2,2.0,23,2.0,46
GSM8K,2,2.0,19,7.5,33
GSM8K,2,2.0,22,7.0,44
GSM8K,4,4.0,14,2.0,31
GSM8K,4,4.0,30,3.5,59
GSM8K,3,3.0,18,3.0,36
GSM8K,2,2.0,14,1.5,27
GSM8K,3,3.0,14,3.5,30
GSM8K,3,4.0,17,3.5,27
GSM8K,5,5.0,20,2.5,38
GSM8K,5,5.0,32,6.5,72
GSM8K,2,3.0,10,1.0,20
GSM8K,2,3.0,34,6.0,70
GSM8K,2,2.0,28,3.0,52
GSM8K,2,3.0,11,2.0,18
GSM8K,2,2.0,19,3.5,37
GSM8K,3,3.0,35,6.0,58
GSM8K,2,2.0,27,8.0,58
GSM8K,4,4.0,15,4.0,32
GSM8K,5,5.0,25,1.5,46
GSM8K,3,4.0,15,1.5,29
GSM8K,2,3.0,14,2.0,34
GSM8K,4,4.0,27,3.5,50
GSM8K,3,3.0,16,3.0,28
GSM8K,1,2.0,14,0.5,35
GSM8K,4,4.0,19,5.0,39
GSM8K,3,3.0,18,3.0,31
GSM8K,2,2.0,16,2.5,28
GSM8K,3,3.0,17,9.0,32
GSM8K,5,5.0,29,6.5,50
GSM8K,5,5.0,28,4.0,50
GSM8K,4,4.0,16,3.5,30
GSM8K,4,4.0,35,9.5,67
GSM8K,5,5.0,27,5.0,54
GSM8K,4,4.0,27,8.0,71
GSM8K,4,4.0,26,3.5,64
GSM8K,7,7.0,29,7.0,53
GSM8K,3,4.0,28,2.5,65
GSM8K,5,5.0,18,3.0,50
GSM8K,2,2.0,23,3.0,56
GSM8K,1,3.0,19,4.0,47
GSM8K,3,3.0,14,4.0,28
GSM8K,7,7.0,41,5.5,91
GSM8K,1,6.0,21,3.0,31
GSM8K,4,4.0,46,9.0,69
GSM8K,2,2.0,20,4.0,33
GSM8K,2,2.0,39,6.0,80
GSM8K,2,3.0,18,2.5,40
GSM8K,4,4.0,18,2.0,37
GSM8K,5,6.0,27,3.5,62
GSM8K,6,6.0,37,5.5,87
GSM8K,4,4.0,22,2.5,44
GSM8K,4,4.0,41,9.5,80
GSM8K,4,4.0,25,3.5,50
GSM8K,3,4.0,25,1.5,56
GSM8K,4,4.0,28,5.0,56
GSM8K,3,4.0,18,6.5,32
GSM8K,4,4.0,23,2.0,48
GSM8K,2,3.0,24,2.0,53
GSM8K,3,3.0,37,4.0,67
GSM8K,1,4.0,15,2.5,29
GSM8K,5,5.0,23,1.5,37
GSM8K,2,2.0,12,1.5,26
GSM8K,3,3.0,13,3.5,28
GSM8K,3,3.0,17,3.0,29
GSM8K,4,5.0,27,2.0,60
GSM8K,3,3.0,43,3.0,87
GSM8K,2,3.0,14,4.5,28
GSM8K,5,5.0,32,5.0,53
GSM8K,5,5.0,34,6.5,58
GSM8K,7,7.0,34,4.0,60
GSM8K,3,4.0,20,3.0,30
GSM8K,5,5.0,28,3.0,54
GSM8K,4,4.0,24,4.0,50
GSM8K,3,3.0,18,2.5,30
GSM8K,5,5.0,24,1.5,50
GSM8K,3,3.0,24,3.0,41
GSM8K,2,3.0,33,4.0,70
GSM8K,3,3.0,21,3.5,47
GSM8K,4,5.0,21,4.5,32
GSM8K,4,4.0,17,3.0,31
GSM8K,2,2.0,13,3.5,20
GSM8K,4,4.0,30,7.0,57
GSM8K,4,4.0,17,6.5,38
GSM8K,3,3.0,26,2.5,57
GSM8K,2,3.0,19,4.0,28
GSM8K,6,6.0,61,11.5,109
GSM8K,4,4.0,33,4.0,51
GSM8K,3,3.0,17,3.0,25
GSM8K,2,2.0,7,0.5,16
GSM8K,2,2.0,15,6.5,34
GSM8K,4,4.0,21,4.0,44
GSM8K,5,5.0,36,10.0,61
GSM8K,6,6.0,22,6.0,35
GSM8K,4,4.0,22,9.0,43
GSM8K,5,5.0,24,4.0,43
GSM8K,2,2.0,23,6.5,45
GSM8K,4,4.0,18,3.5,36
GSM8K,4,4.0,22,3.5,46
GSM8K,2,2.0,21,2.0,57
GSM8K,2,3.0,19,5.5,26
GSM8K,1,2.0,19,3.0,31
GSM8K,2,2.0,19,3.5,50
GSM8K,2,2.0,20,7.0,38
GSM8K,2,2.0,16,2.0,36
GSM8K,3,3.0,19,4.0,44
GSM8K,5,5.0,23,3.0,49
GSM8K,3,3.0,22,3.0,43
GSM8K,2,2.0,27,4.5,41
GSM8K,1,2.0,23,1.0,51
GSM8K,4,4.0,25,4.5,47
GSM8K,2,2.0,22,5.5,43
GSM8K,2,2.0,12,2.0,25
GSM8K,2,2.0,14,1.5,26
GSM8K,4,4.0,25,3.5,44
GSM8K,2,2.0,16,5.5,25
GSM8K,2,3.0,22,5.0,42
GSM8K,2,2.0,18,3.0,42
GSM8K,2,2.0,17,3.5,32
GSM8K,2,2.0,15,3.5,28
GSM8K,2,3.0,24,3.5,48
GSM8K,3,3.0,25,3.0,57
GSM8K,2,2.0,18,6.0,39
GSM8K,2,2.0,11,1.5,27
GSM8K,3,3.0,24,6.0,48
GSM8K,4,4.0,24,3.5,41
GSM8K,5,9.0,20,4.0,27
GSM8K,1,3.0,18,2.5,42
GSM8K,3,3.0,27,5.0,53
GSM8K,4,4.0,16,2.0,36
GSM8K,3,3.0,31,5.0,78
GSM8K,4,5.0,35,6.0,76
GSM8K,3,3.0,20,3.0,38
GSM8K,3,3.0,16,3.5,29
GSM8K,3,3.0,19,3.0,43
GSM8K,3,3.0,29,3.0,46
GSM8K,3,3.0,28,4.0,56
GSM8K,1,2.0,10,3.0,29
GSM8K,2,2.0,20,6.0,39
GSM8K,4,4.0,15,6.0,26
GSM8K,1,2.0,11,1.5,24
GSM8K,4,4.0,18,4.0,33
GSM8K,2,2.0,13,3.0,22
GSM8K,2,2.0,22,4.0,34
GSM8K,6,6.0,26,2.0,54
GSM8K,2,2.0,38,3.5,73
GSM8K,4,4.0,26,3.0,60
GSM8K,3,3.0,51,5.5,72
GSM8K,3,3.0,25,2.5,44
GSM8K,3,3.0,19,3.0,38
GSM8K,2,2.0,37,4.0,63
GSM8K,6,6.0,24,5.0,50
GSM8K,3,3.0,12,2.0,25
GSM8K,6,6.0,27,3.0,43
GSM8K,2,2.0,15,1.0,36
GSM8K,6,6.0,31,4.5,61
GSM8K,4,4.0,30,4.5,59
GSM8K,5,5.0,14,2.0,31
GSM8K,3,3.0,17,1.5,34
GSM8K,5,5.0,42,5.5,84
GSM8K,2,2.0,13,2.0,25
GSM8K,2,2.0,13,2.0,24
GSM8K,3,3.0,27,5.0,55
GSM8K,2,2.0,25,4.0,48
GSM8K,3,3.0,10,3.0,29
GSM8K,5,5.0,21,6.0,57
GSM8K,1,7.0,17,4.0,52
GSM8K,5,5.0,19,7.0,33
GSM8K,2,2.0,15,7.0,27
GSM8K,2,2.0,14,1.5,26
GSM8K,2,2.0,13,3.0,30
GSM8K,4,4.0,15,4.0,42
GSM8K,3,4.0,21,4.0,42
GSM8K,2,3.0,14,4.5,26
GSM8K,2,2.0,18,2.0,42
GSM8K,5,5.0,41,6.5,74
GSM8K,5,5.0,30,7.5,45
GSM8K,3,4.0,25,5.5,44
GSM8K,3,3.0,23,3.5,61
GSM8K,4,5.0,18,2.0,47
GSM8K,3,3.0,16,1.5,37
GSM8K,1,2.0,19,6.0,30
GSM8K,4,4.0,18,5.0,31
GSM8K,2,2.0,19,3.5,32
GSM8K,3,4.0,28,4.0,55
GSM8K,3,3.0,19,1.0,33
GSM8K,4,4.0,20,2.0,32
GSM8K,2,2.0,28,3.5,67
GSM8K,4,4.0,18,2.0,36
GSM8K,4,4.0,23,3.0,44
GSM8K,4,4.0,14,1.5,26
GSM8K,3,3.0,12,1.5,25
GSM8K,4,4.0,40,7.5,74
GSM8K,4,4.0,23,4.0,38
GSM8K,2,2.0,27,2.5,52
GSM8K,6,6.0,30,9.0,61
GSM8K,3,3.0,16,3.0,34
GSM8K,6,6.0,38,8.0,57
GSM8K,3,3.0,15,3.0,28
GSM8K,3,3.0,32,6.5,45
GSM8K,3,3.0,37,4.0,82
GSM8K,5,6.0,28,3.5,66
GSM8K,4,4.0,37,3.0,72
GSM8K,5,5.0,20,4.0,42
GSM8K,2,2.0,10,3.5,21
GSM8K,3,5.0,20,4.0,39
GSM8K,4,5.0,25,3.0,41
GSM8K,3,3.0,20,3.0,37
GSM8K,6,6.0,21,3.0,50
GSM8K,6,6.0,24,6.5,37
GSM8K,5,7.0,30,2.5,57
GSM8K,3,3.0,30,13.0,42
GSM8K,5,6.0,37,8.5,73
GSM8K,3,3.0,26,3.0,55
GSM8K,2,2.0,28,6.0,43
GSM8K,4,4.0,27,3.5,72
GSM8K,2,3.0,36,4.0,78
GSM8K,4,4.0,22,2.5,53
GSM8K,3,3.0,23,4.5,42
GSM8K,3,3.0,19,3.0,32
GSM8K,2,5.0,7,1.5,19
GSM8K,4,4.0,24,3.5,70
GSM8K,2,5.0,20,7.0,40
GSM8K,4,6.0,16,3.0,28
GSM8K,4,4.0,14,1.5,24
GSM8K,1,2.0,16,3.5,48
GSM8K,6,6.0,40,4.5,84
GSM8K,2,2.0,12,2.0,25
GSM8K,5,5.0,25,2.5,48
GSM8K,4,4.0,17,1.0,52
GSM8K,5,5.0,27,3.0,52
GSM8K,4,4.0,21,3.5,34
GSM8K,2,2.0,21,4.0,39
GSM8K,4,4.0,26,3.0,58
GSM8K,1,2.0,20,4.0,45
GSM8K,3,3.0,15,2.0,30
GSM8K,6,6.0,26,4.0,52
GSM8K,2,2.0,36,5.5,60
GSM8K,2,2.0,16,3.5,30
GSM8K,3,3.0,18,3.0,34
GSM8K,4,4.0,28,4.0,51
GSM8K,2,3.0,23,4.0,40
GSM8K,2,2.0,22,3.0,44
GSM8K,5,5.0,25,4.5,51
GSM8K,3,3.0,27,9.0,44
GSM8K,3,3.0,19,2.0,44
GSM8K,3,3.0,18,3.5,44
GSM8K,4,6.0,37,4.5,78
GSM8K,2,2.0,8,2.0,18
GSM8K,2,3.0,20,4.0,38
GSM8K,2,2.0,16,4.5,33
GSM8K,3,3.0,23,2.5,39
GSM8K,4,5.0,22,5.0,41
GSM8K,2,2.0,19,1.5,45
GSM8K,5,5.0,17,3.0,39
GSM8K,2,2.0,24,4.0,51
GSM8K,1,3.0,25,5.0,50
GSM8K,3,3.0,35,6.0,56
GSM8K,2,2.0,15,2.0,30
GSM8K,2,2.0,16,1.5,25
GSM8K,2,2.0,19,4.0,49
GSM8K,3,3.0,19,3.0,36
GSM8K,3,4.0,19,1.5,29
GSM8K,5,5.0,16,2.5,24
GSM8K,2,2.0,17,3.0,40
GSM8K,2,3.0,59,6.5,97
GSM8K,5,5.0,15,3.0,36
GSM8K,6,6.0,24,4.0,45
GSM8K,3,3.0,28,3.0,48
GSM8K,3,3.0,21,2.0,40
GSM8K,2,2.0,18,4.5,30
GSM8K,3,4.0,19,3.5,29
GSM8K,4,4.0,19,2.5,48
GSM8K,2,2.0,26,6.0,59
GSM8K,3,3.0,23,2.5,48
GSM8K,6,6.0,32,3.0,69
GSM8K,4,4.0,25,6.0,60
GSM8K,6,7.0,20,5.0,36
GSM8K,2,2.0,23,3.0,54
GSM8K,3,3.0,19,2.0,41
GSM8K,2,2.0,11,3.5,26
GSM8K,2,2.0,21,4.0,39
GSM8K,4,4.0,16,2.0,49
GSM8K,4,4.0,34,3.0,61
GSM8K,3,6.0,25,6.0,41
GSM8K,2,8.0,20,4.0,34
GSM8K,5,5.0,24,3.0,72
GSM8K,3,3.0,19,1.0,37
GSM8K,2,2.0,20,3.5,33
GSM8K,3,3.0,22,3.5,41
GSM8K,3,3.0,27,4.5,48
GSM8K,5,5.0,22,4.0,39
GSM8K,2,2.0,17,5.0,35
GSM8K,2,2.0,16,10.0,28
GSM8K,2,3.0,19,3.0,33
GSM8K,2,2.0,25,4.0,42
GSM8K,4,4.0,30,3.0,49
GSM8K,4,4.0,33,5.5,68
GSM8K,1,5.0,11,2.0,23
GSM8K,3,3.0,17,1.5,29
GSM8K,4,5.0,35,5.0,89
GSM8K,5,5.0,21,3.5,37
GSM8K,2,2.0,57,4.0,97
GSM8K,3,3.0,14,1.5,26
GSM8K,2,2.0,11,1.5,18
GSM8K,3,3.0,21,6.0,42
GSM8K,4,4.0,23,3.0,38
GSM8K,1,6.0,25,2.0,57
GSM8K,3,3.0,28,3.5,49
GSM8K,2,2.0,23,2.0,50
GSM8K,4,4.0,21,3.5,39
GSM8K,3,3.0,22,2.0,43
GSM8K,5,11.0,21,5.5,33
GSM8K,3,3.0,28,2.5,54
GSM8K,4,6.0,17,3.5,25
GSM8K,6,6.0,24,3.0,41
GSM8K,4,4.0,20,1.5,41
GSM8K,6,6.0,34,3.0,77
GSM8K,2,6.0,27,6.0,45
GSM8K,4,4.0,19,2.0,41
GSM8K,6,6.0,45,7.0,83
GSM8K,2,2.0,36,4.0,65
GSM8K,4,4.0,20,3.0,45
GSM8K,1,2.0,12,3.0,27
GSM8K,4,4.0,30,3.0,61
GSM8K,5,5.0,41,9.0,74
GSM8K,2,2.0,37,4.5,62
GSM8K,4,4.0,28,9.5,45
GSM8K,5,5.0,13,2.0,23
GSM8K,2,2.0,16,5.0,26
